method,records,molecules,v3d_overall,posebusters_overall,bond_raw_mae,angle_cosine_raw_mae,raw_source_displacement_rms,kabsch_source_rmsd,reference_rmsd,xtb_success,xtb_failures,xtb_delta_median,xtb_delta_lower_fraction,xtb_delta_5pct_trimmed_mean,xtb_delta_mean,xtb_delta_p90,xtb_delta_p95,xtb_delta_p99,xtb_delta_gt25,xtb_delta_gt50,xtb_delta_gt100,tau_median,tau_p99,tau_max,mmff_success_rate
source,5000,2500,0.2226,0.9314,0.02681223476412446,0.04800266463185441,0.0,1.884042001544622e-15,1.4232389687961942,5000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,
restricted_seed307,5000,2500,0.4812,0.9318,0.023753159753677578,0.0467373972024231,0.008247687723301275,0.008247626702396878,1.4236101009671032,5000,0,-3.4744973286072662,0.9988,-3.8535854417746775,-4.012257841265325,-1.7974551438411936,-1.4837865759042768,-0.9525621822737225,4,4,3,0.008354696445167065,0.009998239213600754,0.009999999776482582,
restricted_seed331,5000,2500,0.4802,0.9318,0.023768849177308055,0.04662077074709319,0.008097077820541603,0.008096973190945078,1.4235881612536603,5000,0,-3.5062714619024007,0.999,-3.878347801498987,-4.029061543944671,-1.840310456075947,-1.525426748581498,-1.030373072695687,3,3,2,0.008195098489522934,0.00999775563366711,0.009999999776482582,
restricted_seed353,5000,2500,0.4856,0.9318,0.023642858671887625,0.04662026543557304,0.008041098153112458,0.008041005410136729,1.4235931960771162,5000,0,-3.4991682582784946,0.999,-3.879591922445686,-4.001206474300695,-1.848120876294791,-1.5209620636051997,-1.0349995040332711,4,2,2,0.008095393422991037,0.009999330472201109,0.009999999776482582,
unrestricted_seed307,5000,2500,0.5036,0.9318,0.023253363253394086,0.04665749946128981,0.009455905788391828,0.009455905788391833,1.4238343144817236,5000,0,-3.568300896401512,0.9988,-4.009160301116145,-3.905012039561678,-1.8393575389488805,-1.5282293455112959,-0.9893356537911137,6,5,5,0.008829496800899506,0.020586121138185347,0.22131465375423431,
unrestricted_seed331,5000,2500,0.5002,0.9324,0.023241469124059874,0.04653321136684449,0.009961507586762309,0.009961507586762312,1.4237909677373073,5000,0,-3.6027888948972286,0.999,-4.0466816213833345,-4.419898383091672,-1.8641964851003618,-1.5397724496200615,-1.004317540475948,5,4,4,0.009372239001095295,0.020367301441729088,0.13565507531166077,
unrestricted_seed353,5000,2500,0.5058,0.9322,0.02357896858593476,0.04640285725467482,0.009785824886895717,0.009785824886895717,1.423564719834739,5000,0,-3.6193323773953985,0.9988,-4.067283397233315,-4.50382143425043,-1.8861075464701198,-1.5679271331777465,-1.0508038094446732,4,4,4,0.009202753659337759,0.020395358875393874,0.06554114073514938,
mmff94s,5000,2500,0.2226,0.9314,0.02681223476412446,0.04800266463185441,0.0,1.884042001544622e-15,1.4232389687961942,5000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,0.0
