variant,seed,partition,molecule_id,reference_objective,reference_bond_objective,reference_angle_objective,reference_gradient_rms,reference_projected_movement,reference_projected_objective,source_objective,source_bond_objective,source_angle_objective,source_gradient_rms,source_projected_movement,source_projected_objective,source_minus_reference_objective
B,173,dev_a,O=C(NCCc1ccccc1)C1CCCN(S(=O)(=O)c2cccs2)C1,-2.958298958515375,-3.454688963291491,-2.4619089537392593,0.44147472402025517,0.0010000000000000163,-2.975111787455668,-2.528730377654963,-2.9912880401752306,-2.0661727151346945,1.7546928608107655,0.0009999999999999781,-2.6050226179561404,0.4295685808604124
B,173,dev_a,COc1cc(C(=O)OCC(=O)N2CCOCC2)c([N+](=O)[O-])cc1OC,-2.7043248434286697,-3.25929252000803,-2.149357166849309,1.2023214379107106,0.001000000000000018,-2.75020447007371,-2.3257758239439545,-2.813876356970573,-1.837675290917336,2.220095825427881,0.0010000000000000109,-2.415179229703015,0.3785490194847152
B,173,dev_a,CCC1(C)Cc2c(sc3[nH]c(=O)[nH]c(=O)c23)CS1,-2.5571931451103933,-3.215836163223592,-1.8985501269971947,1.1585081197130587,0.000999999999999984,-2.588997633849539,-2.3109432406631694,-3.018857253752248,-1.6030292275740907,1.9698339042425788,0.0009999999999999816,-2.368678543697621,0.24624990444722394
B,173,dev_a,COc1ccc([N+](=O)[O-])cc1N(CC(=O)N1CCCCC1)S(C)(=O)=O,-2.800581849885625,-3.357281381156271,-2.2438823186149794,0.8096158895011782,0.0010000000000000295,-2.83264725329679,-2.621533941371011,-3.090881456780096,-2.1521864259619257,1.5405050216872354,0.0009999999999999755,-2.686290092043164,0.17904790851461438
B,173,dev_a,Cc1cc(NC(=O)CN2C(=O)CC(c3ccco3)Sc3ccccc32)no1,-2.7765652834386083,-3.348499795488271,-2.204630771388945,0.8217171316059866,0.001000000000000006,-2.8067142867083987,-2.731690386704409,-3.2328260243940874,-2.2305547490147304,1.1749240721031402,0.0010000000000000226,-2.7777763740791546,0.04487489673419942
B,173,dev_a,CC1(C)C2([N+](=O)[O-])CN3CC1([N+](=O)[O-])CN(C2)C3c1ccccc1,-2.8574369552808934,-3.3501822723037966,-2.36469163825799,0.982513556214297,0.0010000000000000104,-2.895465236698538,-2.3861021813745893,-2.685393252353178,-2.0868111103960008,2.1794128547250775,0.0010000000000000085,-2.476503669963517,0.47133477390630407
B,173,dev_a,Cc1ccnc(N=Cc2nc(-c3ccccc3Br)oc2O)c1,-1.7309530173540073,-2.7035876451584078,-0.7583183895496068,3.251092450643255,0.0009999999999999955,-1.8350112279144315,-1.8254879686011032,-2.3689743484877406,-1.2820015887144658,3.661876235826111,0.000999999999999969,-1.9435331734204524,-0.09453495124709588
B,173,dev_a,C=CCN1CC[NH+](C(c2ccc(Cl)cc2)c2nnnn2CCc2ccc(OC)c(OC)c2)CC1,-2.822597757732561,-3.3061406451197435,-2.339054870345379,0.5641382442785393,0.0010000000000000015,-2.8549038425105193,-2.592703638680545,-3.015834008554227,-2.1695732688068627,1.1404568246963895,0.0009999999999999905,-2.661853339089049,0.22989411905201607
B,173,dev_a,O=C(COc1ccccc1[N+](=O)[O-])Nc1ccc2oc(=O)ccc2c1,-2.6646867090533144,-3.214100299565296,-2.1152731185413325,1.9947015336187546,0.000999999999999986,-2.7314372843526895,-1.9380340518534163,-3.0648901705649623,-0.8111779331418703,2.528327259066009,0.001000000000000018,-2.024695617590278,0.7266526571998981
B,173,dev_a,Cc1ccnc(N2CCC(C(=O)Nc3nnc(C)s3)CC2)n1,-2.742676175800363,-3.146105132909612,-2.3392472186911135,0.8025507866738436,0.001000000000000001,-2.769515821725914,-2.4366146443541075,-3.0088267072395736,-1.8644025814686418,1.4199460655329896,0.0010000000000000159,-2.488324771457121,0.3060615314462556
B,173,dev_a,O=C(CN1C(=O)COc2ccc(Cl)cc21)Nc1ccc(N2CCOCC2)cc1,-2.8063721546507145,-3.420170897278694,-2.192573412022735,0.8913863595669883,0.0010000000000000018,-2.8434276700539804,-2.469728489466855,-3.020830229995796,-1.9186267489379139,1.9223826835500295,0.0010000000000000041,-2.555274951152069,0.3366436651838596
B,173,dev_a,O=C(NNC(=O)c1cc2ccccc2cc1O)Nc1ccc(F)cc1F,-2.7679179443155784,-3.14887189628855,-2.3869639923426065,1.6442976290853726,0.0010000000000000176,-2.825521180341088,-2.3859081646614095,-2.4619527119884754,-2.309863617334344,2.851640630983467,0.0010000000000000044,-2.490556189071191,0.3820097796541688
B,173,dev_a,CN(C)C(CNC(=O)c1cnc(Cl)c(Cl)c1)c1ccccc1,-2.8121761047105265,-3.243710704565821,-2.3806415048552316,0.8393156412072954,0.000999999999999999,-2.8405088525864945,-2.722813739373609,-3.0030239824631617,-2.442603496284056,1.6369563553714095,0.0009999999999999577,-2.780642660885815,0.08936236533691755
B,173,dev_a,N#CCN1CCN(c2ccc(C(F)(F)F)cc2)CC1,-2.957891192303476,-3.438269907814869,-2.4775124767920826,1.0095839603635983,0.0010000000000000165,-2.98690636080003,-2.8120659850493026,-3.1734429000238533,-2.450689070074752,2.0393821427340377,0.0010000000000000048,-2.873867770758679,0.14582520725417325
B,173,dev_a,CCOC(=O)N1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1,-2.9059874521882145,-3.421497041300001,-2.3904778630764283,0.6143185701913529,0.0010000000000000054,-2.926593496802419,-2.6764743287507153,-3.080889320259253,-2.272059337242178,2.0201310842274847,0.0009999999999999894,-2.7511430117851425,0.2295131234374992
B,173,dev_a,O=C(O)_C=C_c1ccc2c(c1)OCCO2,-2.353923980959362,-3.456889072960231,-1.2509588889584933,1.969909596757129,0.00100000000000001,-2.3970672039189127,-2.102209461264921,-3.056179155009802,-1.14823976752004,3.634026087609284,0.0010000000000000057,-2.1866304321196215,0.25171451969444103
B,173,dev_a,COc1ccc(-c2nc([NH2+]CCCN(C)C)c3ccccc3n2)cc1,-2.5822265548131584,-2.98700826273586,-2.1774448468904564,1.1910793916555693,0.0010000000000000096,-2.6367089863809063,-2.3989059030749473,-2.849833749953252,-1.9479780561966433,1.6513716679120467,0.0010000000000000156,-2.4752894801851744,0.1833206517382111
B,173,dev_b,COc1ccc(NC(=O)C(F)(F)F)cc1OC,-2.608171620460853,-3.1367151532342374,-2.079628087687468,2.1838525524455874,0.0009999999999999796,-2.661537979284982,-2.0883714092421166,-2.9376283714427998,-1.2391144470414337,3.2931598890411884,0.0010000000000000024,-2.171784200102735,0.5198002112187363
B,173,dev_b,c1cc2c(cc1-c1csc(N[NH2+]C3=NCCCCC3)n1)OCCO2,-1.913263639263494,-3.0004441469480576,-0.8260831315789305,1.8471765264369628,0.000999999999999989,-1.990539730564672,-0.9163956628771371,-2.2092693197787368,0.3764779940244624,2.8593683446612683,0.000999999999999982,-1.0396103536909336,0.9968679763863569
B,173,dev_b,O=C(N_N=C_c1cccc2ccccc12)c1cc2ccccc2o1,-2.7561870074412607,-3.3580649990897036,-2.154309015792818,1.4348396947424187,0.0010000000000000317,-2.8040899950958065,-2.599425036578135,-3.0057388714301725,-2.193111201726097,2.451395861012929,0.0010000000000000009,-2.685221052398763,0.15676197086312582
B,173,dev_b,CCCCNc1nc2ccccc2n1CC(=O)Nc1c(C)cccc1CC,-2.851339022883408,-3.274216341769822,-2.428461703996994,0.47115897546806185,0.000999999999999997,-2.8725675392796095,-2.667415301631834,-2.96984386356998,-2.3649867396936877,1.2779778690448205,0.0009999999999999937,-2.73168109233728,0.18392372125157408
B,173,dev_b,CCOC(=O)CSc1nc2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2c(=O)n1C1CCCCC1,-2.8694042734435747,-3.3782121454593734,-2.360596401427776,0.44900371288774743,0.0009999999999999961,-2.8947023740572724,-2.4703460645584983,-2.97517576834781,-1.9655163607691861,1.1561867465884212,0.0009999999999999972,-2.5419932382413695,0.3990582088850765
B,173,dev_b,CCOC(=O)C1CCCN(C(=O)c2cc(Nc3ccc(OC)cc3)nc3ccccc23)C1,-2.7035822061391843,-3.2347317783994876,-2.172432633878881,1.0181484029797092,0.0009999999999999892,-2.7574810189825385,-2.471216029911049,-2.735930681329044,-2.206501378493054,1.6650487054086505,0.0010000000000000098,-2.5632227832462613,0.2323661762281355
B,173,dev_b,Cc1ccc(N(C)C(=O)CCNC(=O)Cn2cnc3ccccc3c2=O)cc1C,-2.8319208711956856,-3.226873582767465,-2.436968159623907,0.6889275655240144,0.0010000000000000239,-2.8629521437371737,-2.4144084440796156,-2.702364849829888,-2.126452038329343,1.78383028591006,0.000999999999999995,-2.502652098552833,0.41751242711606995
B,173,dev_b,COc1ccccc1NC(=O)_C(C#N)=C_c1cc([N+](=O)[O-])ccc1N1CCCC1,-2.5981907281780736,-3.2982086830572195,-1.8981727732989278,0.8903847164385778,0.0010000000000000065,-2.6361006556154374,-1.9254456815988574,-2.6601177452465934,-1.1907736179511215,1.8629789123464373,0.000999999999999993,-2.0107713667621385,0.6727450465792162
B,173,dev_b,Cc1nn(C)cc1CN(C)C(=O)c1cc(COc2ccc(F)cc2F)on1,-2.467220707240417,-3.2440151864713207,-1.6904262280095137,0.9755512272111787,0.0009999999999999725,-2.5059864720370273,-2.6640402604699647,-3.017537364286045,-2.310543156653885,1.3709906276902872,0.001000000000000002,-2.719954346059186,-0.19681955322954758
B,173,dev_b,COc1ccc(C(=O)NCc2nnc(SCC(=O)N3CCc4ccccc43)o2)cc1OC,-2.504830635046272,-3.2708528100267578,-1.7388084600657865,0.7610380193174507,0.0010000000000000059,-2.5402894912806495,-2.1835647841063226,-2.9278495969975165,-1.439279971215129,1.4965326741836202,0.0010000000000000115,-2.258469985557857,0.3212658509399495
B,173,dev_b,O=C(Nc1cccc2ncccc12)c1cc(Br)ccc1Cl,-2.919924159674925,-3.2400006436937123,-2.5998476756561377,1.8790109380946738,0.0009999999999999855,-2.9711124139940637,-2.7175216791717194,-3.208429077564484,-2.226614280778955,2.0958106383863995,0.0010000000000000193,-2.7763770731779793,0.20240248050320542
B,173,dev_b,O=c1c(_C=N_O)coc2ccc3ccccc3c12,-1.702413582494095,-3.1728889864021657,-0.23193817858602428,3.4053236489129657,0.0010000000000000267,-1.7880395209603093,-1.5443996996228166,-2.8630925604757005,-0.2257068387699329,4.191753008779606,0.0010000000000000048,-1.651158293006466,0.15801388287127827
B,173,dev_b,O=C(_C=C_c1ccccc1Cl)Nc1ccncc1,-2.963914597403795,-3.3581828289069326,-2.5696463659006574,0.8483863212588934,0.0010000000000000065,-2.984005917844699,-2.880062479696791,-3.1960623857709036,-2.564062573622678,1.8285814520732984,0.0009999999999999924,-2.9267469936175576,0.08385211770700396
