method,baseline,metric,effect_candidate_minus_baseline,ci95_low,ci95_high,molecule_win,molecule_tie,molecule_loss,resampling_unit,records_per_cluster
equal_ba_seed331,unrestricted_seed331,reference_rmsd,-0.00025810910387042877,-0.00026508825437677357,-0.00025166523252493066,2436,0,64,molecule,2
equal_ba_seed353,unrestricted_seed353,validity3d,-0.0102,-0.0178,-0.0026,176,2191,133,molecule,2
equal_ba_seed353,unrestricted_seed353,PB,0.0002,0.0,0.0006,0,2499,1,molecule,2
equal_ba_seed353,unrestricted_seed353,internal_post_objective,-0.11228209386200133,-0.12284593215722235,-0.10294704667122218,1972,0,528,molecule,2
equal_ba_seed353,unrestricted_seed353,direction_improvement,0.11228209386200136,0.10304142732456732,0.12263512802814523,528,0,1972,molecule,2
equal_ba_seed353,unrestricted_seed353,bond_raw_mae,-0.0002664588811728218,-0.0002868219393480381,-0.00024634559605770664,1794,0,706,molecule,2
equal_ba_seed353,unrestricted_seed353,angle_cosine_raw_mae,3.714974300310285e-05,2.102461322212476e-05,5.330232150862518e-05,1153,0,1347,molecule,2
equal_ba_seed353,unrestricted_seed353,raw_source_displacement_rms,0.0002999702371656902,0.00027041888603009296,0.0003311434904206545,617,0,1883,molecule,2
equal_ba_seed353,unrestricted_seed353,reference_rmsd,0.00017924286549286558,0.0001723831681083453,0.00018610176385006213,220,0,2280,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,validity3d,-0.1378,-0.1506,-0.1254,662,1737,101,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,PB,0.0002,-0.0004,0.001,1,2497,2,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,internal_post_objective,0.29667552604737185,0.20058679215703995,0.3523742417939487,172,0,2328,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,direction_improvement,-0.29667552604737174,-0.35348902181414643,-0.20242179261222992,2328,0,172,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,bond_raw_mae,0.0011838418158593193,0.0011397833393432118,0.0012244760163643384,188,0,2312,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,angle_cosine_raw_mae,0.0003452975603700503,0.0003101225460675989,0.0003797550956346008,776,0,1724,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,raw_source_displacement_rms,-0.004294341437472031,-0.004425841926414287,-0.004183481156518683,2492,0,8,molecule,2
fixed_sigma_action_seed307,unrestricted_seed307,reference_rmsd,-0.0003016718936566079,-0.00031722384981493435,-0.0002874180588250066,2327,0,173,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,validity3d,-0.1236,-0.1362,-0.1116,622,1765,113,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,PB,-0.0004,-0.001,0.0,2,2498,0,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,internal_post_objective,0.29314885785095984,0.2744098841999471,0.3105038275040983,261,0,2239,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,direction_improvement,-0.29314885785095984,-0.31064057315369215,-0.2748538385238359,2239,0,261,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,bond_raw_mae,0.001033129982155068,0.0009949649491812617,0.001071107000712049,271,0,2229,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,angle_cosine_raw_mae,0.0003474968917986481,0.00031616201811464654,0.000377951660799194,785,0,1715,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,raw_source_displacement_rms,-0.004536639179708436,-0.004622709823177429,-0.004454978909215424,2492,0,8,molecule,2
fixed_sigma_action_seed331,unrestricted_seed331,reference_rmsd,-0.00025481282830076623,-0.0002720571417402,-0.00024096783706936017,2307,0,193,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,validity3d,-0.1248,-0.137,-0.1128,635,1748,117,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,PB,-0.0004,-0.001,0.0,2,2498,0,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,internal_post_objective,0.1831725373511306,0.1675229255356642,0.19925451276776837,492,0,2008,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,direction_improvement,-0.1831725373511306,-0.19917671697006617,-0.16796046074805102,2008,0,492,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,bond_raw_mae,0.0006745935042257796,0.0006421667056112066,0.0007073403104466019,454,0,2046,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,angle_cosine_raw_mae,0.0002964839001931633,0.000267899487121851,0.00032632200406348814,857,0,1643,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,raw_source_displacement_rms,-0.003715679151099175,-0.003783912370922044,-0.003649576358529739,2494,0,6,molecule,2
fixed_sigma_action_seed353,unrestricted_seed353,reference_rmsd,-0.00012324033436670603,-0.00013496097190100544,-0.00011359207129117639,2010,0,490,molecule,2
bond_only_seed307,unrestricted_seed307,validity3d,-0.0136,-0.0206,-0.0068,168,2226,106,molecule,2
bond_only_seed307,unrestricted_seed307,PB,0.0002,0.0,0.0006,0,2499,1,molecule,2
bond_only_seed307,unrestricted_seed307,internal_post_objective,0.08650528085013112,0.03994175059028366,0.17116435897492469,854,0,1646,molecule,2
bond_only_seed307,unrestricted_seed307,direction_improvement,-0.08650528085013114,-0.1726492756365751,-0.03990069710523106,1646,0,854,molecule,2
bond_only_seed307,unrestricted_seed307,bond_raw_mae,-9.71643675203087e-05,-0.0001393694589204242,-2.8422483509246506e-05,1639,0,861,molecule,2
bond_only_seed307,unrestricted_seed307,angle_cosine_raw_mae,0.0006966428731864589,0.0006597736392594699,0.0007433052468652529,274,0,2226,molecule,2
