variant,metric,mean_across_seeds,seed_sd_ddof1,seed_values
reliability_off,v3d_overall,0.3662666666666667,0.02682859171356807,0.3434;0.3596;0.3958
reliability_off,posebusters_overall,0.9318,0.00020000000000003348,0.9316;0.9318;0.932
reliability_off,internal_post_objective,6.508093772221952,0.0844946793542993,6.528706471227329;6.415199964113424;6.580374881325102
reliability_off,direction_improvement,0.9546164560569107,0.08449467935429947,0.9340037570515335;1.0475102641654384;0.8823353469537604
reliability_off,bond_raw_mae,0.024095983708273466,0.0003311510783918034,0.024058889652330405;0.0237849415070819;0.024444119965408094
reliability_off,angle_cosine_raw_mae,0.04701573114590316,2.4824038885560114e-05,0.04704342824881487;0.047008276792936204;0.04699548839595841
reliability_off,raw_source_displacement_rms,0.006849240995307143,0.00017870302938016982,0.006660660480847582;0.007016076513472944;0.006870985991600901
reliability_off,reference_rmsd,1.4236120377385204,0.00011680841587295653,1.423581722078787;1.4237410152793337;1.4235133758574408
equal_ba,v3d_overall,0.4954,0.001708800749063513,0.497;0.4936;0.4956
equal_ba,posebusters_overall,0.9322,0.00019999999999997797,0.932;0.9322;0.9324
equal_ba,internal_post_objective,6.149746684334336,0.06393198405118093,6.198360362702132;6.173552538812142;6.077327151488737
equal_ba,direction_improvement,1.3129635439445257,0.06393198405118054,1.2643498655767307;1.2891576894667207;1.3853830767901258
equal_ba,bond_raw_mae,0.0234376013156045,0.00011119037477634467,0.023525194398632612;0.02347509984341894;0.023312509704761935
equal_ba,angle_cosine_raw_mae,0.04649726466873331,5.763023916095276e-05,0.04655526038687959;0.046496526621642394;0.04644000699767793
equal_ba,raw_source_displacement_rms,0.009601373980970431,0.0004554272790405565,0.009181917468458414;0.009536409350391477;0.010085795124061405
equal_ba,reference_rmsd,1.423652953419267,0.00010851592832067506,1.4236820389241325;1.4235328586334368;1.4237439627002317
fixed_sigma_action,v3d_overall,0.37446666666666667,0.007821338333899974,0.3658;0.3766;0.381
fixed_sigma_action,posebusters_overall,0.9319333333333333,0.00011547005383797653,0.932;0.932;0.9318
fixed_sigma_action,internal_post_objective,6.413841231459483,0.049812104994181435,6.469254147417359;6.39948776425922;6.372781782701869
fixed_sigma_action,direction_improvement,1.0488689968193805,0.04981210499418147,0.9934560808615046;1.063222464019643;1.089928445576994
fixed_sigma_action,bond_raw_mae,0.024321788755209628,0.00010050538876949411,0.024437205069253405;0.02427459910621494;0.024253562090160538
fixed_sigma_action,angle_cosine_raw_mae,0.04686094881172367,0.00015268985748740092,0.04700279702165985;0.04688070825864314;0.04669934115486799
fixed_sigma_action,raw_source_displacement_rms,0.005552192831256737,0.00046748119211908215,0.005161564350919798;0.005424868407053873;0.006070145735796541
fixed_sigma_action,reference_rmsd,1.423503425665815,5.3675689650009724e-05,1.423532642588067;1.4235361549090062;1.4234414795003723
bond_only,v3d_overall,0.4916,0.002271563338320101,0.49;0.4906;0.4942
bond_only,posebusters_overall,0.9321333333333334,0.00011547005383791244,0.932;0.9322;0.9322
bond_only,internal_post_objective,6.222786608930779,0.050177576678002454,6.259083902220118;6.165526978200081;6.243748946372139
bond_only,direction_improvement,1.2399236193480843,0.05017757667800297,1.2036263260587454;1.2971832500787832;1.2189612819067241
bond_only,bond_raw_mae,0.023171448566466846,0.00020223058749886807,0.02315619888587378;0.022977274506985675;0.023380872306541095
bond_only,angle_cosine_raw_mae,0.04734265195940283,1.0767752588674657e-05,0.04735414233447626;0.04734102052396303;0.047332793019769205
bond_only,raw_source_displacement_rms,0.009705041139883299,0.0002526505548908298,0.009432568183541297;0.009931561442371457;0.009750993793737143
bond_only,reference_rmsd,1.4238510109701215,0.00014789716823878445,1.4239510639033888;1.4239208412107742;1.4236811277962016
angle_only,v3d_overall,0.29606666666666664,0.005185878260558503,0.2938;0.302;0.2924
angle_only,posebusters_overall,0.9316666666666666,0.00050332229568472,0.9312;0.9322;0.9316
angle_only,internal_post_objective,7.012627354938275,0.033584018129085305,7.041991694032637;7.019881182424698;6.976009188357492
angle_only,direction_improvement,0.4500828733405879,0.03358401812908454,0.4207185342462273;0.44282904585416527;0.48670103992137104
angle_only,bond_raw_mae,0.026016751659433148,8.863886523560762e-05,0.02596947123034935;0.026119006562166855;0.025961777185783238
angle_only,angle_cosine_raw_mae,0.04611478970606784,0.00012854215944227957,0.04624265741072187;0.04611612816283103;0.04598558354465063
angle_only,raw_source_displacement_rms,0.00964747794366752,0.0002559453449984153,0.009368435254041105;0.009871316562220454;0.009702682014741004
angle_only,reference_rmsd,1.423224454981023,1.7555160757581865e-05,1.4232269366620793;1.423240637246233;1.423205791034756
fixed_tau,v3d_overall,0.39233333333333337,0.0034312291286554214,0.3918;0.3892;0.396
fixed_tau,posebusters_overall,0.9318,0.0,0.9318;0.9318;0.9318
fixed_tau,internal_post_objective,6.66981463507625,0.025307404781223796,6.65331171646037;6.6571805732121225;6.698951615556259
fixed_tau,direction_improvement,0.7928955932026125,0.025307404781224677,0.8093985118184933;0.8055296550667417;0.7637586127226026
fixed_tau,bond_raw_mae,0.02472523835255286,0.00010507733583108568,0.024650315835205036;0.024680048484186316;0.024845350738267227
fixed_tau,angle_cosine_raw_mae,0.04704767899766907,6.397575958883773e-05,0.04710896173192726;0.04705276181949296;0.046981313441586986
fixed_tau,raw_source_displacement_rms,0.00432154256850481,0.0,0.00432154256850481;0.00432154256850481;0.00432154256850481
fixed_tau,reference_rmsd,1.4234420374943262,6.862240562097598e-05,1.4234984950714031;1.4234619588983741;1.4233656585132006
