variant,v3d_mean,v3d_sd,pb_mean,pb_sd,reference_rmsd_mean,source_rmsd_mean
reliability_off,0.3662666666666667,0.02682859171356808,0.9318,0.00020000000000004736,1.4236120377385204,0.006849240995307142
equal_ba,0.4954,0.0017088007490635017,0.9322,0.00019999999999997797,1.423652953419267,0.009601373980970431
fixed_sigma_action,0.37446666666666667,0.00782133833389999,0.9319333333333333,0.00011547005383799255,1.423503425665815,0.005552192831256737
bond_only,0.4916,0.002271563338320111,0.9321333333333334,0.00011547005383791243,1.4238510109701217,0.009705041139883299
angle_only,0.29606666666666664,0.005185878260558499,0.9316666666666666,0.0005033222956847439,1.423224454981023,0.00964747794366752
fixed_tau,0.39233333333333337,0.003431229128655431,0.9318,0.0,1.4234420374943262,0.00432154256850481
