method,variant,seed,matched_records,median_delta_e,lower_fraction,trimmed_mean_5pct,p90,p95,p99,gt25,gt50,gt100
reliability_off_seed307,reliability_off,307,1500,-2.440303627843503,0.9993333333333333,-2.695172058893702,-1.261573807237064,-1.003953400674436,-0.656253510395145,0,0,0
reliability_off_seed331,reliability_off,331,1500,-2.5605057153631123,0.9993333333333333,-2.8445079448756063,-1.3034147890630052,-1.058700795523056,-0.6762686751532199,0,0,0
reliability_off_seed353,reliability_off,353,1500,-2.535330257089109,0.9986666666666667,-2.8136166284340254,-1.3578540285986929,-1.0757554727510492,-0.7234381181659573,0,0,0
equal_ba_seed307,equal_ba,307,1500,-3.660129613747997,0.9993333333333333,-4.2065527133161895,-1.9424069011725733,-1.5874430008277636,-0.9930520979810286,1,1,0
equal_ba_seed331,equal_ba,331,1500,-3.6750568376669577,1.0,-4.226969210446794,-1.9318784416683508,-1.58938234973354,-1.004595369854687,0,0,0
equal_ba_seed353,equal_ba,353,1500,-3.591668778798352,1.0,-4.152734228038669,-1.884160084492066,-1.4990557955612862,-0.9617481948616103,0,0,0
fixed_tau_seed307,fixed_tau,307,1500,-2.584270640583192,1.0,-2.7994752713988484,-1.551693920664944,-1.3210747833013152,-0.8967865775521742,0,0,0
fixed_tau_seed331,fixed_tau,331,1500,-2.5881731850680403,1.0,-2.7973372866356763,-1.5578815759135107,-1.3340937431529496,-0.8674799141023603,0,0,0
fixed_tau_seed353,fixed_tau,353,1500,-2.5872226057934515,0.9993333333333333,-2.787810355230982,-1.5526627606573478,-1.3412090916549642,-0.919294394068859,0,0,0
