dimension,group,records,mean_rotatable_bond_count,p50_rotatable_bond_count,p90_rotatable_bond_count,p95_rotatable_bond_count,mean_input_to_target_aligned_RMSD,p50_input_to_target_aligned_RMSD,p90_input_to_target_aligned_RMSD,p95_input_to_target_aligned_RMSD,mean_aligned_rms_displacement,p50_aligned_rms_displacement,p90_aligned_rms_displacement,p95_aligned_rms_displacement,mean_mean_atom_displacement,p50_mean_atom_displacement,p90_mean_atom_displacement,p95_mean_atom_displacement,mean_max_atom_displacement,p50_max_atom_displacement,p90_max_atom_displacement,p95_max_atom_displacement,mean_torsion_circular_change,p50_torsion_circular_change,p90_torsion_circular_change,p95_torsion_circular_change,mean_max_rotatable_torsion_change,p50_max_rotatable_torsion_change,p90_max_rotatable_torsion_change,p95_max_rotatable_torsion_change,mean_bond_validity_gain,p50_bond_validity_gain,p90_bond_validity_gain,p95_bond_validity_gain,mean_angle_validity_gain,p50_angle_validity_gain,p90_angle_validity_gain,p95_angle_validity_gain,mean_ring_validity_gain,p50_ring_validity_gain,p90_ring_validity_gain,p95_ring_validity_gain,mean_clash_validity_gain,p50_clash_validity_gain,p90_clash_validity_gain,p95_clash_validity_gain,mean_total_validity_gain,p50_total_validity_gain,p90_total_validity_gain,p95_total_validity_gain,mean_energy_drop,p50_energy_drop,p90_energy_drop,p95_energy_drop,mean_optimization_iterations,p50_optimization_iterations,p90_optimization_iterations,p95_optimization_iterations,mean_optimizer_status_code,p50_optimizer_status_code,p90_optimizer_status_code,p95_optimizer_status_code
all,all,600,5.173333333333333,4.5,10.0,12.0,0.19850813353123764,0.18749554455280304,0.27912738621234895,0.29107984751462934,0.19850813353123764,0.18749554455280304,0.27912738621234895,0.29107984751462934,0.17754038865367572,0.16677288711071014,0.2577260762453079,0.26795088797807687,0.354082307262967,0.3718641847372055,0.45434682369232177,0.48269558101892474,0.09045425610810828,0.08530060946941376,0.15701879113912584,0.17998225465416906,0.17665659422714575,0.16067864000797272,0.32217809557914734,0.367534802854061,0.0772919988182063,0.03111360687762499,0.1659208655357361,0.17727630212903017,0.05811192366760224,0.03589958883821964,0.11955746710300445,0.1313044674694538,0.06314791394087176,0.024003183469176292,0.1495926544070244,0.1739348642528057,1.7805668625214822e-06,0.0,0.0,0.0,0.19855361699354282,0.0983396414667368,0.4245430409908295,0.46090175434947,679.1849236364322,51.4049752581655,1792.3906459518214,2121.9763569503725,50.0,50.0,50.0,50.0,0.9933333333333333,1.0,1.0,1.0
source_type,cartesian_teacher_100k,300,7.806666666666667,7.0,12.0,14.0,0.2692182233929634,0.2602929472923279,0.2911019593477249,0.3037682071328163,0.2692182233929634,0.2602929472923279,0.2911019593477249,0.3037682071328163,0.24042621249953905,0.23248649388551712,0.2680109947919846,0.27925903499126437,0.4601119804382324,0.4252506047487259,0.48269743025302886,0.5029412031173706,0.10317449357360602,0.09569767117500305,0.1534680590033532,0.17178186550736427,0.2362904569134116,0.2186102196574211,0.36128689050674445,0.4008953839540482,0.14062833952407042,0.14112814515829086,0.17732409387826922,0.19232958704233172,0.09483226483066877,0.09141777455806732,0.13132864683866502,0.1417335145175457,0.10969649135445556,0.11331408470869064,0.17396261245012284,0.19226090237498283,3.5611337250429644e-06,0.0,0.0,0.0,0.3451606568429198,0.34556371718645096,0.46103308051824576,0.5059856222744656,1347.7592285868416,1234.6296644367408,2122.660275016485,2335.6627801409636,50.0,50.0,50.0,50.0,1.0,1.0,1.0,1.0
source_type,upstream_etflow_formal,300,2.54,2.0,5.0,6.0,0.12779804366951186,0.1371239647269249,0.17456713020801548,0.1812679782509804,0.12779804366951186,0.1371239647269249,0.17456713020801548,0.1812679782509804,0.11465456480781237,0.12085215374827385,0.1610477790236473,0.16872714161872865,0.24805263408770165,0.26708686351776123,0.330941241979599,0.34396857768297195,0.07773401864261056,0.06947201117873192,0.16130997687578214,0.2004705376923085,0.11702273154087986,0.11430525407195091,0.23141853511333466,0.2764950200915337,0.01395565811234216,0.013464212417602539,0.017542644031345846,0.0195515351369977,0.021391582504535715,0.020872507244348526,0.026277526281774044,0.028692644741386174,0.01659933652728796,0.01625477522611618,0.021274043992161755,0.022457035258412365,0.0,0.0,0.0,0.0,0.05194657714416583,0.05082051130011678,0.06266379291191698,0.06798821445554495,10.610618686022699,9.345090679185763,17.403513397951865,20.851698267703714,50.0,50.0,50.0,50.0,0.9866666666666667,1.0,1.0,1.0
convergence_status,accepted_but_not_converged,595,5.173109243697479,5.0,10.0,12.0,0.19278870702040296,0.18952614068984985,0.27900989055633546,0.2909203827381134,0.19278870702040296,0.18952614068984985,0.27900989055633546,0.2909203827381134,0.17248681405199176,0.16730836033821106,0.25766735076904296,0.26768575310707093,0.34107081229571534,0.374065637588501,0.4541984498500824,0.4822779595851898,0.08816294587029441,0.08544789254665375,0.15660268962383272,0.17994772344827653,0.17288136757761552,0.16124072670936584,0.322065532207489,0.36517693400382983,0.07749561271121522,0.04400844871997833,0.1658918708562851,0.1769655495882034,0.05819267779119125,0.036540817469358444,0.1193822130560875,0.1311264544725418,0.06322408250431304,0.023755168542265892,0.14941802918910982,0.17301285117864604,1.76026698945785e-06,0.0,0.0,0.0,0.19891413327370897,0.10672399029135704,0.4235990166664124,0.4591947078704833,674.2370571381988,90.18763134766441,1791.4546979371105,2120.4385053062742,50.0,50.0,50.0,50.0,1.0,1.0,1.0,1.0
convergence_status,converged,4,0.0,0.0,0.0,0.0,0.026598711032420397,0.026590043678879738,0.029450572840869427,0.029566049482673405,0.026598711032420397,0.026590043678879738,0.029450572840869427,0.029566049482673405,0.024947975296527147,0.024847013875842094,0.027912484668195247,0.027996016759425403,0.045353686437010765,0.045252446085214615,0.046547073498368265,0.04682294819504022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015564882894977927,0.015641781967133284,0.020292004197835924,0.020534538477659226,0.01892443746328354,0.018855204805731773,0.020318283699452877,0.020605085883289576,0.019542151363566518,0.020185875706374645,0.025682555884122847,0.025682806223630904,0.0,0.0,0.0,0.0,0.054031471721827984,0.0546828624792397,0.06629284378141165,0.0668224305845797,3.3277259762411764,3.3226856785737198,4.6644484787452,4.713331243753103,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0
convergence_status,fallback_to_soft_reference,1,26.0,26.0,26.0,26.0,4.2892045974731445,4.2892045974731445,4.2892045974731445,4.2892045974731445,4.2892045974731445,4.2892045974731445,4.2892045974731445,4.2892045974731445,3.7947869300842285,3.7947869300842285,3.7947869300842285,3.7947869300842285,9.330836296081543,9.330836296081543,9.330836296081543,9.330836296081543,1.815600872039795,1.815600872039795,1.815600872039795,1.815600872039795,3.129542827606201,3.129542827606201,3.129542827606201,3.129542827606201,0.20305019617080688,0.20305019617080688,0.20305019617080688,0.20305019617080688,0.16681316494941711,0.16681316494941711,0.16681316494941711,0.16681316494941711,0.19225066900253296,0.19225066900253296,0.19225066900253296,0.19225066900253296,2.0981258785468526e-05,2.0981258785468526e-05,2.0981258785468526e-05,2.0981258785468526e-05,0.5621350113815424,0.5621350113815424,0.5621350113815424,0.5621350113815424,6326.594280726115,6326.594280726115,6326.594280726115,6326.594280726115,50.0,50.0,50.0,50.0,1.0,1.0,1.0,1.0
flexibility_group,high,244,8.901639344262295,8.0,12.0,15.0,0.26854532865471525,0.2615385949611664,0.29099887013435366,0.30456960350275036,0.26854532865471525,0.2615385949611664,0.29099887013435366,0.30456960350275036,0.2406188446539836,0.23275292664766312,0.26873227655887605,0.2798685759305954,0.45674103187000165,0.4252937585115433,0.48254143297672275,0.5027535349130631,0.1037757317764593,0.09361346065998077,0.15307185798883438,0.1705680839717388,0.24653894564167397,0.22853288054466248,0.3623941779136658,0.4280862063169479,0.13404191036510174,0.1429232656955719,0.17860863655805587,0.19307466894388198,0.09137102589774572,0.09141777455806732,0.13121435940265655,0.14330125898122786,0.10341186389769809,0.1096770353615284,0.16946469694375993,0.19063552692532537,1.780160163598637e-06,0.0,0.0,0.0,0.32882658032070916,0.34556371718645096,0.4633554495871068,0.5200732372701168,1392.8550945438028,1327.3279353537873,2174.850098269332,2389.1617394908108,50.0,50.0,50.0,50.0,1.0,1.0,1.0,1.0
flexibility_group,low,178,1.202247191011236,1.0,2.0,2.0,0.1179844362535671,0.12792127579450607,0.1712678223848343,0.18429987579584123,0.1179844362535671,0.12792127579450607,0.1712678223848343,0.18429987579584123,0.1050021221045028,0.1122874803841114,0.15603357702493667,0.1689769469201565,0.23272827081382275,0.2590889036655426,0.3459570139646531,0.39774644672870646,0.06973917367528036,0.03848159313201904,0.17573594301939013,0.2169865727424622,0.08437824659598886,0.054284702986478806,0.22182080745697022,0.25050021782517434,0.018534431359573698,0.013755584601312876,0.019475789181888106,0.02175902668386698,0.02462130200034112,0.02089588437229395,0.029009301401674757,0.036802969872951535,0.02072702053139049,0.01666087470948696,0.022902121208608153,0.028510937374085193,2.4086769096019646e-06,0.0,0.0,0.0,0.06388516256821491,0.05181745206937194,0.06774228578433394,0.0841241396963597,35.08154258526049,8.263727226197181,19.01229944683593,36.0982018728709,50.0,50.0,50.0,50.0,0.9775280898876404,1.0,1.0,1.0
flexibility_group,medium,178,4.033707865168539,4.0,5.0,5.0,0.18302578805537706,0.17259510606527328,0.2617524325847626,0.27727438509464264,0.18302578805537706,0.17259510606527328,0.2617524325847626,0.27727438509464264,0.16361155821366258,0.15648232400417328,0.23942507058382037,0.2501396909356118,0.3347131481833672,0.312614768743515,0.4299665272235871,0.450379502773285,0.09290843931016292,0.08582856878638268,0.1477831989526749,0.1704492896795273,0.17314115677321895,0.15870267152786255,0.2708925694227219,0.3606298565864563,0.0582575526957013,0.015743859112262726,0.14081328958272935,0.15487512573599818,0.04601141643511613,0.02461661957204342,0.09728403985500336,0.11916659884154798,0.050375527634254,0.018790937960147858,0.13059752285480503,0.17290446758270264,1.1530143128408545e-06,0.0,0.0,0.0,0.15464564977938428,0.05833214754238725,0.36909885630011563,0.4326084550470114,344.99885692693897,16.290738750729243,999.8623011623862,1199.2051188518938,50.0,50.0,50.0,50.0,1.0,1.0,1.0,1.0
