step,learning_rate
50,3.767535070140281e-05
100,5.5711422845691386e-05
150,7.374749498997996e-05
200,9.178356713426854e-05
250,0.00010981963927855712
300,0.0001278557114228457
350,0.0001458917835671343
400,0.00016392785571142285
450,0.00018196392785571145
500,0.0002
550,0.00019998769744932222
600,0.00019995079316068335
650,0.00019988929722334744
700,0.00019980322644968973
750,0.0001996926043706003
800,0.00019955746122905105
850,0.00019939783397182744
900,0.0001992137662394278
950,0.00019900530835413217
1000,0.00019877251730624501
1050,0.00019851545673851443
1100,0.00019823419692873286
1150,0.00019792881477052396
1200,0.00019759939375232053
1250,0.00019724602393453975
1300,0.00019686880192496139
1350,0.00019646783085231636
1400,0.0001960432203380922
1450,0.00019559508646656385
1500,0.00019512355175305712
1550,0.00019462874511045453
1600,0.0001941108018139515
1650,0.00019356986346407364
1700,0.00019300607794796464
1750,0.00019241959939895518
1800,0.00019181058815442463
1850,0.00019117921071196633
1900,0.0001905256396838687
1950,0.00018985005374992506
2000,0.000189152637608584
2050,0.00018843358192645494
2100,0.00018769308328618167
2150,0.0001869313441326985
2200,0.00018614857271788418
2250,0.00018534498304362759
2300,0.00018452079480332182
2350,0.00018367623332180233
2400,0.00018281152949374527
2450,0.00018192691972054322
2500,0.00018102264584567545
2550,0.00018009895508859015
2600,0.00017915609997711733
2650,0.00017819433827843015
2700,0.00017721393292857387
2750,0.00017621515196058186
2800,0.00017519826843119803
2850,0.00017416356034622574
2900,0.000173111310584524
2950,0.00017204180682067093
3000,0.00017095534144631673
3050,0.00016985221149024634
3100,0.00016873271853717518
3150,0.0001675971686452985
3200,0.00016644587226261835
3250,0.00016527914414207013
3300,0.00016409730325547226
3350,0.0001629006727063226
3400,0.00016168957964146494
3450,0.00016046435516165055
3500,0.00015922533423101844
3550,0.00015797285558551944
3600,0.00015670726164030937
3650,0.00015542889839613596
3700,0.00015413811534474575
3750,0.00015283526537333665
3800,0.00015152070466808193
3850,0.00015019479261675262
3900,0.00014885789171046435
3950,0.00014751036744457615
4000,0.00014615258821876727
4050,0.0001447849252363207
4100,0.00014340775240263986
4150,0.0001420214462230265
4200,0.0001406263856997479
4250,0.00013922295222842154
4300,0.0001378115294937453
4350,0.00013639250336460186
4400,0.000134966261788566
4450,0.00013353319468584378
4500,0.00013209369384267194
4550,0.00013064815280420766
4600,0.00012919696676693724
4650,0.00012774053247063323
4700,0.00012627924808988991
4750,0.00012481351312526606
4800,0.00012334372829406578
4850,0.00012187029542078622
4900,0.00012039361732726278
4950,0.00011891409772254167
5000,0.00011743214109250993
5050,0.00011594815258931295
5100,0.00011446253792059
5150,0.00011297570323855774
5200,0.00011148805502897228
5250,0.00011
5300,0.00010851194497102774
5350,0.00010702429676144227
5400,0.00010553746207940999
5450,0.00010405184741068706
5500,0.0001025678589074901
5550,0.00010108590227745837
5600,9.960638267273726e-05
5650,9.812970457921379e-05
5700,9.665627170593422e-05
5750,9.518648687473394e-05
5800,9.372075191011013e-05
5850,9.225946752936678e-05
5900,9.08030332330628e-05
5950,8.935184719579237e-05
6000,8.790630615732808e-05
6050,8.646680531415623e-05
6100,8.503373821143401e-05
6150,8.360749663539819e-05
6200,8.218847050625475e-05
6250,8.07770477715785e-05
6300,7.937361430025213e-05
6350,7.797855377697351e-05
6400,7.659224759736012e-05
6450,7.521507476367933e-05
6500,7.384741178123277e-05
6550,7.248963255542388e-05
6600,7.114210828953565e-05
6650,6.980520738324743e-05
6700,6.847929533191812e-05
6750,6.716473462666338e-05
6800,6.58618846552543e-05
6850,6.457110160386409e-05
6900,6.329273835969067e-05
6950,6.202714441448059e-05
7000,6.0774665768981596e-05
7050,5.953564483834947e-05
7100,5.831042035853508e-05
7150,5.7099327293677434e-05
7200,5.590269674452775e-05
7250,5.47208558579299e-05
7300,5.3554127737381676e-05
7350,5.24028313547015e-05
7400,5.126728146282482e-05
7450,5.014778850975365e-05
7500,4.904465855368332e-05
7550,4.795819317932909e-05
7600,4.688868941547603e-05
7650,4.583643965377427e-05
7700,4.4801731568802e-05
7750,4.378484803941816e-05
7800,4.278606707142618e-05
7850,4.1805661721569904e-05
7900,4.084390002288271e-05
7950,3.9901044911409894e-05
8000,3.897735415432459e-05
8050,3.807308027945678e-05
8100,3.718847050625474e-05
8150,3.632376667819769e-05
8200,3.54792051966782e-05
8250,3.4655016956372436e-05
8300,3.38514272821158e-05
8350,3.3068655867301484e-05
8400,3.230691671381835e-05
8450,3.156641807354504e-05
8500,3.084736239141599e-05
8550,3.0149946250074938e-05
8600,2.947436031613129e-05
8650,2.88207892880337e-05
8700,2.8189411845575375e-05
8750,2.7580400601044826e-05
8800,2.6993922052035375e-05
8850,2.6430136535926373e-05
8900,2.5889198186048534e-05
8950,2.5371254889545497e-05
9000,2.4876448246942883e-05
9050,2.4404913533436186e-05
9100,2.3956779661907815e-05
9150,2.353216914768367e-05
9200,2.313119807503863e-05
9250,2.275397606546027e-05
9300,2.2400606247679485e-05
9350,2.2071185229476067e-05
9400,2.176580307126716e-05
9450,2.1484543261485588e-05
9500,2.1227482693754994e-05
9550,2.0994691645867836e-05
9600,2.0786233760572233e-05
9650,2.0602166028172568e-05
9700,2.0442538770948975e-05
9750,2.0307395629399715e-05
9800,2.0196773550310295e-05
9850,2.0110702776652576e-05
9900,2.0049206839316658e-05
9950,2.001230255067779e-05
10000,2e-05
