molecule_id,sample_id,source,severity,target_residual_rms,target_residual_max,correction_rms,correction_max_atom,raw_atom_mean,raw_atom_p95,raw_atom_max,raw_graph_rms,clipped_atom_mean,clipped_atom_p95,clipped_atom_max,clipped_graph_rms,atom_clipped_fraction,graph_clipped_fraction,accepted,status,bond_count,rank,condition,linear_residual_norm,relative_linear_residual,translation_norm
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,ETFlow_formal_upstream,normal,0.005525091545519635,0.016938843180327456,0.0038235436659306288,0.01170383207499981,0.002610256429761648,0.006743133533746004,0.01170383207499981,0.0038235436659306288,0.002610256429761648,0.006743133533746004,0.01170383207499981,0.0038235436659306288,0.0,0.0,True,SOLVED,36,36,9.716682434683857,1.6329225358424947e-06,4.9257782198096245e-05,2.938605768521867e-20
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,ETFlow_formal_upstream,normal,0.003504243955646814,0.00910626236097678,0.0024208775721490383,0.005040429066866636,0.0016622281400486827,0.004760901443660259,0.005040429066866636,0.0024208780378103256,0.0016622281400486827,0.004760901443660259,0.005040429066866636,0.0024208780378103256,0.0,0.0,True,SOLVED,27,27,10.10364517667611,8.477646429897384e-07,4.6558511244710456e-05,0.0
C#CCOCOCC#CCN(CC)CC,val::C#CCOCOCC#CCN(CC)CC__gen0001,ETFlow_formal_upstream,normal,0.013139140473565918,0.04179421194482846,0.00918117817491293,0.029586808755993843,0.006445547100156546,0.01511872373521328,0.029586808755993843,0.00918117817491293,0.006445547100156546,0.01511872373521328,0.029586808755993843,0.00918117817491293,0.0,0.0,True,SOLVED,33,33,9.731860527172154,4.277756369175377e-06,5.667507726199899e-05,3.826595902890016e-20
C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.007151066387952864,0.019269550322741136,0.004748436622321606,0.01021078135818243,0.0032867048867046833,0.0091630257666111,0.01021078135818243,0.004748436156660318,0.0032867048867046833,0.0091630257666111,0.01021078135818243,0.004748436156660318,0.0,0.0,True,SOLVED,32,32,9.29501875277831,1.8268541198364532e-06,4.5160430147563484e-05,1.7704947337376542e-20
C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.021213212423636964,0.03943684773707723,0.01495376043021679,0.024980973452329636,0.01285604853183031,0.02393215522170067,0.024980973452329636,0.01495376043021679,0.01285604853183031,0.02393215522170067,0.024980973452329636,0.01495376043021679,0.0,0.0,True,SOLVED,32,32,9.587233157876867,7.591994628128927e-06,6.326659509499943e-05,2.0443912222444988e-19
C=CC(=O)O,val::C=CC(=O)O__gen0001::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.03762986242636582,0.073941899059901,0.030761072412133217,0.04276493564248085,0.029010143131017685,0.041077107191085815,0.04276493564248085,0.030761072412133217,0.029010143131017685,0.041077107191085815,0.04276493564248085,0.030761072412133217,0.0,0.0,True,SOLVED,8,8,5.52992714736618,9.95847425779373e-06,9.356537898240843e-05,2.1549775635827022e-19
C=CC(=O)O,val::C=CC(=O)O__gen0001::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.048211242154957985,0.10345208738299205,0.042988840490579605,0.0602426640689373,0.04124213010072708,0.05710528418421745,0.0602426640689373,0.042988844215869904,0.04124213010072708,0.05710528418421745,0.0602426640689373,0.042988844215869904,0.0,0.0,True,SOLVED,8,8,5.715192525458553,1.5196794992475464e-05,0.00011144451284767497,5.189873229411299e-19
C=CCCCCCCCCc1nc(=S)[nH][nH]1,val::C=CCCCCCCCCc1nc(=S)[nH][nH]1__gen0001,ETFlow_formal_upstream,normal,0.007091876389372365,0.025276185962729736,0.004688509274274111,0.014028206467628479,0.002976675983518362,0.011922992765903473,0.014028206467628479,0.004688510205596685,0.002976675983518362,0.011922992765903473,0.014028206467628479,0.004688510205596685,0.0,0.0,True,SOLVED,37,37,6.136400537932151,2.1666779412861784e-06,5.022643371197111e-05,1.2237192430676079e-19
C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O,val::C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O__gen0001,ETFlow_formal_upstream,normal,0.01039424028990862,0.028039654420480287,0.007563081569969654,0.01610550470650196,0.005595301743596792,0.013858441263437271,0.01610550470650196,0.007563081569969654,0.005595301743596792,0.013858441263437271,0.01610550470650196,0.007563081569969654,0.0,0.0,True,SOLVED,44,44,11.256612981081437,3.936653674158132e-06,5.709632014110608e-05,4.5303978344254626e-20
C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,mild,0.014924680134285707,0.040115705491114984,0.011685246601700783,0.024126989766955376,0.010027931071817875,0.021645933389663696,0.024126989766955376,0.011685246601700783,0.010027931071817875,0.021645933389663696,0.024126989766955376,0.011685246601700783,0.0,0.0,True,SOLVED,65,65,9.102507053274977,8.865351326531675e-06,7.367739133653939e-05,1.2618256569016868e-19
