method,records,success,failure,timeout,nonfinite,runtime_seconds
Source,600,600,0,0,0,100.40061283111572
B_seed173,600,600,0,0,0,98.97037482261658
A_seed173,600,600,0,0,0,95.14607357978821
BA_seed173,600,600,0,0,0,96.18438410758972
B_seed181,600,600,0,0,0,102.97648692131042
A_seed181,600,600,0,0,0,98.50567865371704
BA_seed181,600,600,0,0,0,88.47681283950806
B_seed193,600,600,0,0,0,95.08447241783142
A_seed193,600,600,0,0,0,99.98593282699585
BA_seed193,600,600,0,0,0,96.61009812355042
