method,records,paired_success,failure,timeout,nonfinite,mean_delta_energy_kcal_mol,median_delta_energy_kcal_mol,improved_fraction,p75,p90,p95,p99,maximum,positive_tail_mean
B_seed173,600,600,0,0,0,-0.7088211469701061,-0.6456167788238363,0.9183333333333333,-0.4284679473802098,-0.12689528184554474,0.0,0.0,0.0526766003140233,0.0526766003140233
A_seed173,600,600,0,0,0,-0.21578997138901002,-0.17286670554174322,0.7383333333333333,0.0,0.05119321147284377,0.12693343097143975,0.27322595657157256,0.5410356677356409,0.11354343237283575
BA_seed173,600,600,0,0,0,-0.7075900063282828,-0.6591771038733594,0.9033333333333333,-0.4158502557685513,-0.09870777621634506,0.0,0.0,0.13678470214272453,0.05430043690983416
B_seed181,600,600,0,0,0,-0.7048892021186529,-0.6433769810197982,0.9183333333333333,-0.4145868153270833,-0.12436909725239553,0.0,0.0,0.04426446119048712,0.04426446119048712
A_seed181,600,600,0,0,0,-0.2253813776646886,-0.19112742545203326,0.7416666666666667,0.0,0.031321330047875566,0.10815956290236424,0.277378200209042,0.5587799049861294,0.10476852282959606
BA_seed181,600,600,0,0,0,-0.712392924400144,-0.649016626405045,0.9066666666666666,-0.4135879198633227,-0.10595812873605892,0.0,0.0,0.1414879559322098,0.08210539875059188
B_seed193,600,600,0,0,0,-0.7065067766958439,-0.6501418949103688,0.915,-0.43276943054399863,-0.13522014167957835,0.0,0.0,0.12376503328591702,0.06993672435966206
A_seed193,600,600,0,0,0,-0.22080822602277042,-0.1894423146482881,0.7416666666666667,0.0,0.05408361159387776,0.12815603369042952,0.2915859978508949,0.5667158823907426,0.11561564837432761
BA_seed193,600,600,0,0,0,-0.7084178683282754,-0.6599328311059451,0.9033333333333333,-0.4169223230743623,-0.07231878151486788,0.0,0.0,0.15558708038384933,0.13496149281682382
