formulation,seed,mean,std,median,p90,p95,p99,p99_5,p99_9,max
restricted,307,1.3196411439015718,0.6154135817354115,1.2458777439599675,2.125023629231818,2.3929334090922514,3.0254594567045863,3.3178783096105136,4.381098917448461,5.604160029727291
restricted,331,1.3196380859096508,0.6154093796370561,1.2458708861660868,2.1250000744655004,2.392885503637156,3.025537712168058,3.3178885579759823,4.381047258047152,5.604151299534974
restricted,353,1.3196444063128803,0.6154138136249401,1.2458504781096331,2.1249925699787586,2.392914594839856,3.025484074675732,3.3178552968760533,4.381056376285826,5.604169932140945
unrestricted,307,1.3196261427763398,0.6154172747175093,1.2458510327821146,2.1249925608226743,2.3929039609149108,3.0256590934663086,3.317890608608141,4.381216161941598,5.6042570358659525
unrestricted,331,1.3196459018631452,0.6154128602062895,1.245878877189585,2.124996531972617,2.392900577883549,3.025596257300727,3.317899293268615,4.381049540946355,5.604241340209451
unrestricted,353,1.3196450106722732,0.6154171868988461,1.2458446003552748,2.1250360889746207,2.39293181307196,3.0255521893550044,3.3179119632784784,4.381164040599921,5.604200035371707
