formulation,seed,w_B_mean,w_B_std,bond_sigma_mean,angle_sigma_mean,bond_reliability_mean,angle_reliability_mean
restricted,307,0.5052601039052009,0.0067255480535739365,0.004812464842674507,0.01909321677468766,0.048695683682320495,0.09715910458076929
restricted,331,0.4928470976114273,0.008310143318006273,0.0060632976127094965,0.01926560324103705,0.10119544513105755,0.15005899769310857
restricted,353,0.5083455941557884,0.006181889616759676,0.005970199066422514,0.019531332490217327,0.0678164249509151,0.12034565908833804
unrestricted,307,0.49232423605918885,0.008018654127924475,0.005389401789993223,0.018891465611165986,0.0030813100188928685,0.005017229398666919
unrestricted,331,0.48423709497451783,0.0082952142402623,0.005807074158632964,0.01860070356608678,0.00392299800331997,0.0061990023421848225
unrestricted,353,0.4674296870470047,0.008520244994463503,0.006653116679641369,0.019596045406703733,0.005088340414156295,0.007329531497532808
