formulation,seed,tail_gt_25,tail_gt_50,tail_gt_100,p90,p95,p99
restricted,307,1,1,0,-0.6907807648075692,-0.5415226605808691,-0.33169251578332154
restricted,331,1,1,1,-0.6788820669547284,-0.5380009291936826,-0.3299777090840294
restricted,353,1,1,0,-0.6788607949505095,-0.5352517947791194,-0.33402744371536397
unrestricted,307,2,1,1,-0.6827252760872681,-0.530433197406623,-0.2691435292194419
unrestricted,331,1,1,1,-0.6829435363067797,-0.5230440705781813,-0.25744627017185545
unrestricted,353,2,1,1,-0.6620344644361805,-0.5146770969804075,-0.26555765519544566
