formulation,metric,seed_mean,seed_sd,seed_median
restricted,V3D,0.5645333333333333,0.0016653327995729095,0.564
restricted,PB,0.9323333333333333,0.00011547005383791244,0.9324
restricted,reference_rmsd,1.3196412120413676,3.1607525242499226e-06,1.3196411439015718
restricted,source_rmsd,0.005549881019401238,3.1634184097184656e-05,0.005538826137941897
unrestricted,V3D,0.5680666666666666,0.001101514109457267,0.568
unrestricted,PB,0.9324,0.0,0.9324
unrestricted,reference_rmsd,1.3196390184372528,1.1159549195704189e-05,1.3196450106722732
unrestricted,source_rmsd,0.006164364865406727,9.836237485995763e-05,0.006177730882493779
