formulation,seed,records,molecules,V3D,PB,reference_rmsd,source_rmsd,internal_post,direction_improvement,bond_raw_mae,angle_raw_mae,xtb_success,xtb_failures,xtb_median,xtb_lower_fraction,xtb_trimmed_mean_5pct,xtb_p90,xtb_p95,xtb_p99,xtb_tail_gt_25,xtb_tail_gt_50,xtb_tail_gt_100,xtb_mean_secondary
restricted,307,5000,2500,0.564,0.9324,1.3196411439015718,0.005525257775222693,0.6378734638351682,0.3990024505842399,0.0036651099468137417,0.014244872325334536,5000,0,-1.3350748728826898,0.9988,-1.43002844901873,-0.6907807648075692,-0.5415226605808691,-0.33169251578332154,1,1,0,-1.5818520888372816
restricted,331,5000,2500,0.5632,0.9322,1.3196380859096508,0.005538826137941897,0.6384092381200057,0.3984666762994023,0.0038183536067693297,0.014102167999034328,5000,0,-1.3260541681700881,0.9984,-1.4184752498975957,-0.6788820669547284,-0.5380009291936826,-0.3299777090840294,1,1,1,-1.5502833929644926
restricted,353,5000,2500,0.5664,0.9324,1.3196444063128803,0.005585559145039124,0.63694208661671,0.39993382780269815,0.0037940065323640894,0.014076879519693448,5000,0,-1.3362607111110283,0.9986,-1.425273818105911,-0.6788607949505095,-0.5352517947791194,-0.33402744371536397,1,1,0,-1.5746403579593948
unrestricted,307,5000,2500,0.567,0.9324,1.3196261427763398,0.006060002949321642,0.6215373866374303,0.4153385277819778,0.0036413158082347465,0.014077388926891211,5000,0,-1.3651997167478416,0.9974,-1.454665766300005,-0.6827252760872681,-0.530433197406623,-0.2691435292194419,2,1,1,-1.570312882795349
unrestricted,331,5000,2500,0.568,0.9324,1.3196459018631452,0.006177730882493779,0.6202729686037154,0.4166029458156927,0.0036895252378977375,0.013964860746975475,5000,0,-1.359748875472358,0.9978,-1.4536774571010638,-0.6829435363067797,-0.5230440705781813,-0.25744627017185545,1,1,1,-1.6274419277587169
unrestricted,353,5000,2500,0.5692,0.9324,1.3196450106722732,0.006255360764404759,0.6201614736067895,0.4167144408126186,0.003825465665844146,0.013854786079758258,5000,0,-1.337816213911401,0.9976,-1.4310945805221587,-0.6620344644361805,-0.5146770969804075,-0.26555765519544566,2,1,1,-1.5116092381691908
