seed,delta_V3D_unrestricted_minus_restricted,delta_PB_unrestricted_minus_restricted,delta_reference_rmsd,delta_source_rmsd,delta_xtb_median,delta_xtb_trimmed_mean,delta_xtb_tail_gt_25,delta_xtb_tail_gt_50,delta_xtb_tail_gt_100
307,0.0030000000000000027,0.0,-1.5001125232005919e-05,0.0005347451740989493,-0.030124843865151796,-0.02463731728127505,1,0,1
331,0.0047999999999999154,0.00019999999999997797,7.815953494416661e-06,0.000638904744551882,-0.033694707302269755,-0.03520220720346812,0,0,0
353,0.0028000000000000247,0.0,6.043593929749846e-07,0.0006698016193656346,-0.0015555028003726434,-0.005820762416247627,1,0,1
