formulation,seed,tau_mean,tau_std,tau_median,tau_p90,tau_p95,tau_p99,tau_p99_5,tau_p99_9,tau_max,atom_displacement_mean,atom_displacement_std,atom_displacement_median,atom_displacement_p90,atom_displacement_p95,atom_displacement_p99,atom_displacement_p99_5,atom_displacement_p99_9,atom_displacement_max,finite_coordinate_rate,fraction_tau_gt_0_01,fraction_tau_gt_0_02,fraction_tau_gt_0_05,fraction_tau_gt_0_1,fraction_tau_gt_0_2
restricted,307,0.005527152886474505,0.000899393665186308,0.005436190403997898,0.006625592429190874,0.007065109629184008,0.008392329951748257,0.009178505865857015,0.009997811225242913,0.009999999776482582,0.004642953430366554,0.00332199896899915,0.0038560825717662613,0.009105066099165048,0.011051973780575713,0.01531626355553363,0.01714032596615544,0.022167794529698314,0.03005315117949154,1.0,0.0,0.0,0.0,0.0,0.0
restricted,331,0.0055415575256105515,0.0009103368859380096,0.005456228740513325,0.006679968629032374,0.0070801343303173786,0.008471595291048293,0.00924260518047959,0.009999303622171283,0.009999999776482582,0.004645552800578967,0.0033324962848672083,0.003817113303576137,0.009138993477481832,0.011124043893151319,0.015541210727593674,0.01746608920390331,0.022724439585170744,0.030069030822012066,1.0,0.0,0.0,0.0,0.0,0.0
restricted,353,0.005588104441901669,0.0009146762326205665,0.005506231915205717,0.006719636544585228,0.007153183384798468,0.00848602455109358,0.009345538159832363,0.009999969062395394,0.009999999776482582,0.004700235324970772,0.003356356953957559,0.003866397189127853,0.009219990163726998,0.011232893268879702,0.015658649534109267,0.01755557464581649,0.022706230520551943,0.030054987004614314,1.0,0.0,0.0,0.0,0.0,0.0
unrestricted,307,0.006060002949321642,0.0013347538975528746,0.005921839037910104,0.00714298919774592,0.0076547740725800405,0.009244887186214346,0.01093804326374084,0.02292762717604641,0.038546543568372726,0.005094377034898463,0.0038556246321401065,0.004162834538125458,0.010042456549364616,0.012207871023915604,0.01697453775507539,0.019132824656668553,0.02777217154366031,0.1823133530834269,1.0,0.007,0.0014,0.0,0.0,0.0
unrestricted,331,0.006177730882493779,0.0013626255545560444,0.006040411069989204,0.007328985864296556,0.007844909653067588,0.00958585343323648,0.01123582435306162,0.021406754581258552,0.03839307650923729,0.005209425123284209,0.0039163684186852375,0.004258391599493962,0.010227123181614922,0.012455046692194221,0.017335626862745833,0.019594809700705453,0.027640762191870775,0.1827738086905058,1.0,0.0078,0.0012,0.0,0.0,0.0
unrestricted,353,0.006255360764404759,0.0013216315485219876,0.00611510151065886,0.007448709104210139,0.007994951866567136,0.009891094546765093,0.011390556218102596,0.020512278385460585,0.038666967302560806,0.00528055914072961,0.003952318554351912,0.004295306294924174,0.010348662414365889,0.012671624772902903,0.01781329808510908,0.020180998561486016,0.029044899432976633,0.20916417989412384,1.0,0.0092,0.0014,0.0,0.0,0.0
