formulation,seed,success,failures,median,lower_fraction,trimmed_mean_5pct,p90,p95,p99,tail_gt_25,tail_gt_50,tail_gt_100,mean_secondary
restricted,307,5000,0,-1.3350748728826898,0.9988,-1.43002844901873,-0.6907807648075692,-0.5415226605808691,-0.33169251578332154,1,1,0,-1.5818520888372816
restricted,331,5000,0,-1.3260541681700881,0.9984,-1.4184752498975957,-0.6788820669547284,-0.5380009291936826,-0.3299777090840294,1,1,1,-1.5502833929644926
restricted,353,5000,0,-1.3362607111110283,0.9986,-1.425273818105911,-0.6788607949505095,-0.5352517947791194,-0.33402744371536397,1,1,0,-1.5746403579593948
unrestricted,307,5000,0,-1.3651997167478416,0.9974,-1.454665766300005,-0.6827252760872681,-0.530433197406623,-0.2691435292194419,2,1,1,-1.570312882795349
unrestricted,331,5000,0,-1.359748875472358,0.9978,-1.4536774571010638,-0.6829435363067797,-0.5230440705781813,-0.25744627017185545,1,1,1,-1.6274419277587169
unrestricted,353,5000,0,-1.337816213911401,0.9976,-1.4310945805221587,-0.6620344644361805,-0.5146770969804075,-0.26555765519544566,2,1,1,-1.5116092381691908
