molecule_id,record_id,cartesian_target_cosine,bond_target_cosine,combined_target_cosine,cartesian_norm_ratio,bond_norm_ratio,combined_norm_ratio,constructive,cancellation,same_sign,opposite_sign,overcorrection,cartesian_already_fixed_bond_duplicates,cartesian_correct_bond_harms,bond_correct_cartesian_cancels,both_wrong,cartesian_alone_gain,bond_alone_gain,additive_combined_gain,interaction_gain,safety_gate_loss,acceptance_gain
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,0.3529575282858963,0.000884880991411334,0.27790479488669684,1.208173330659185,0.626565429410921,1.536455348108878,0.6111111111111112,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.3611111111111111,0.3333333333333333,0.1388888888888889,0.1111111111111111,0.2777777777777778,0.0,0.0,0.0,0.0,0.1111111119389534,0.0
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,0.19036242295536254,0.09570678705870722,0.17577283423348627,1.7162674686718833,1.0460616094637774,2.4282934922475654,0.5185185185185185,0.48148148148148145,0.5185185185185185,0.48148148148148145,0.2962962962962963,0.25925925925925924,0.14814814814814814,0.2222222222222222,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0
C#CCOCOCC#CCN(CC)CC,val::C#CCOCOCC#CCN(CC)CC__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39393940567970276,0.0
C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s1_u0.350,-0.00803113901584297,0.15715639343047486,0.08475570174933938,0.12906131497847395,0.10935704808162976,0.19054352187790385,0.53125,0.46875,0.53125,0.46875,0.21875,0.25,0.09375,0.25,0.28125,0.0,0.0,-0.03125,-0.03125,0.0625,0.03125
C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s2_u0.350,0.2949163690856539,0.32073303340473447,0.37095056435260965,0.1388764640073745,0.10701761226997863,0.20294085832966266,0.5625,0.4375,0.5625,0.4375,0.15625,0.34375,0.1875,0.15625,0.21875,0.0625,0.03125,0.03125,-0.0625,0.03125,0.03125
C=CC(=O)O,val::C=CC(=O)O__gen0001::cartesian_s1_u0.350,-0.12685530610851725,0.44722859479865434,0.20546854281342392,0.21105159553086703,0.15798509597546959,0.213572535803343,0.25,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.0,0.0,0.125,0.0,-0.125,0.0,0.0
C=CC(=O)O,val::C=CC(=O)O__gen0001::cartesian_s2_u0.350,-0.1519068862583123,0.4926287231091913,0.03478482619759521,0.18903524911056854,0.0692114142359118,0.15465865787593316,0.125,0.875,0.125,0.875,0.0,0.125,0.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCCCCCCCCc1nc(=S)[nH][nH]1,val::C=CCCCCCCCCc1nc(=S)[nH][nH]1__gen0001,0.10505749412773216,-0.022305303295786855,0.0312311944399848,0.5147605089360231,0.7543641196320117,1.192817928640885,0.6216216216216216,0.3783783783783784,0.6216216216216216,0.3783783783783784,0.32432432432432434,0.2702702702702703,0.21621621621621623,0.05405405405405406,0.35135135135135137,0.02702702209353447,0.02702702209353447,0.0,-0.05405404418706894,0.18918918073177338,0.02702702209353447
C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O,val::C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04545454680919647,0.0
C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s1_u0.350,0.34171951846510834,0.45184185027089685,0.4185115001782054,0.34168664548792843,0.3884427911936783,0.6983695916001904,0.676923076923077,0.3230769230769231,0.676923076923077,0.3230769230769231,0.2923076923076923,0.5076923076923077,0.07692307692307693,0.2,0.16923076923076924,0.0615384578704834,0.13846153020858765,0.16923075914382935,-0.0307692289352417,-0.0307692289352417,0.0
C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,0.5319035600007405,0.627524669599142,0.6068007550032734,0.19317394046560865,0.20015864156041052,0.37632516136932986,0.7846153846153846,0.2153846153846154,0.7846153846153846,0.2153846153846154,0.13846153846153847,0.6461538461538462,0.06153846153846154,0.15384615384615385,0.13846153846153847,0.01538461446762085,0.01538461446762085,0.0615384578704834,0.0307692289352417,-0.07692307233810425,0.0
C=CCc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12,val::C=CCc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12__gen0000,-0.07168798850633694,0.07828217916748446,0.015152634535470385,0.19667446272453787,0.26170625192045954,0.42155963465288426,0.5636363636363636,0.43636363636363634,0.5636363636363636,0.43636363636363634,0.23636363636363636,0.23636363636363636,0.18181818181818182,0.14545454545454545,0.32727272727272727,0.0,0.0,-0.036363646388053894,-0.036363646388053894,0.01818181574344635,0.036363646388053894
C=CCc1ccccc1OCC(O)CN1CC[NH+](c2ccccc2F)CC1,val::C=CCc1ccccc1OCC(O)CN1CC[NH+](c2ccccc2F)CC1__gen0000,0.05113500243781142,0.17031353377102895,0.12562985908599075,1.857313204294856,2.233578139752633,3.7839913586068787,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.30357142857142855,0.30357142857142855,0.07142857142857142,0.08928571428571429,0.3392857142857143,0.0,0.0,0.0,0.0,0.05263158679008484,0.0
C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s1_u0.350,0.49367110711999534,0.3720458995004585,0.46049044980131076,0.25148762143479614,0.2928347055209752,0.5061996921364376,0.6792452830188679,0.32075471698113206,0.6792452830188679,0.32075471698113206,0.1320754716981132,0.41509433962264153,0.16981132075471697,0.09433962264150944,0.2641509433962264,0.0,0.0,0.03773584961891174,0.03773584961891174,-0.11320754885673523,0.0
C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s2_u0.350,0.5714235698001697,0.46082918315776783,0.5590095156416963,2.703044856613926,2.8674823123883475,5.126930745970674,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5686274509803921,0.5294117647058824,0.13725490196078433,0.058823529411764705,0.13725490196078433,0.0,-0.018867909908294678,-0.018867909908294678,0.0,-0.018867909908294678,0.0
C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1,val::C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1__gen0001::cartesian_s1_u0.350,0.15224053151107816,0.39483948426660953,0.31278901179425933,0.2432444134733599,0.21477385498584953,0.3895049133343155,0.6,0.4,0.6,0.4,0.21666666666666667,0.36666666666666664,0.21666666666666667,0.11666666666666667,0.23333333333333334,0.016393452882766724,0.016393452882766724,0.03278687596321106,-2.9802322387695312e-08,0.03278687596321106,0.0
C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1,val::C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1__gen0001::cartesian_s2_u0.350,0.42144289870925267,0.4524594340393324,0.5168034750309994,0.5736622967114487,0.4520353604444943,0.8635653321255082,0.5901639344262295,0.4098360655737705,0.5901639344262295,0.4098360655737705,0.3770491803278688,0.47540983606557374,0.21311475409836064,0.09836065573770492,0.11475409836065574,0.04918032884597778,0.04918032884597778,0.08196723461151123,-0.016393423080444336,-0.04918032884597778,0.0
C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2,val::C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2__gen0000::cartesian_s1_u0.350,0.2986406049247799,0.4226218617210298,0.4136635155074602,2.523039794188246,1.9316824769956096,3.7950008067345093,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.46153846153846156,0.40384615384615385,0.1346153846153846,0.057692307692307696,0.28846153846153844,0.07692307233810425,0.05769228935241699,0.11538460850715637,-0.019230753183364868,-0.11538460850715637,0.0
C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2,val::C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2__gen0000::cartesian_s2_u0.350,0.2835022208395783,0.572256414563798,0.4660536633465718,0.2610274954442131,0.19652933127148306,0.40009779944590745,0.6730769230769231,0.3269230769230769,0.6730769230769231,0.3269230769230769,0.1346153846153846,0.5384615384615384,0.1346153846153846,0.17307692307692307,0.1346153846153846,0.0,0.0,0.05769234895706177,0.05769234895706177,-0.01923072338104248,0.0
CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1,val::CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1__gen0000::cartesian_s1_u0.350,0.49144026853147826,0.29773147721236437,0.510175594389824,0.30742671124330573,0.15255856256610753,0.38516807523178725,0.6136363636363636,0.38636363636363635,0.6136363636363636,0.38636363636363635,0.1590909090909091,0.5,0.20454545454545456,0.18181818181818182,0.11363636363636363,0.1363636553287506,0.11363637447357178,0.1363636553287506,-0.11363637447357178,-0.09090907871723175,0.0
CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1,val::CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1__gen0000::cartesian_s2_u0.350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727251052856445,0.022727251052856445,0.022727251052856445,-0.022727251052856445
