group,bonds,residual_mae,residual_rmse,pearson,spearman,residual_sign_accuracy,nonzero_detection_precision,nonzero_detection_recall,nonzero_detection_f1,outlier_detection_precision,outlier_detection_recall,outlier_detection_f1,predicted_target_norm_ratio,solver_achieved_requested_ratio,top10_target_capture,severe_outlier_repair_recall,mild_outlier_repair_recall,zero_target_false_positive_rate,mean_confidence,mean_uncertainty,target_available_improvement,bond_improvement,recovery_ratio,newly_broken_bonds,cancellation_fraction
ring_all,11649,0.007563482326927476,0.013013561064894494,0.14242356225437272,0.11063598833803452,0.5122828656593689,0.4840764331210191,0.0365912373615792,0.06803939122649956,0.0,0.0,0.0,0.16983669386564368,0.999690365284963,0.16652360515021458,0.0,0.042080378250591015,0.0171875,0.15049254562693284,0.014430473896547934,0.47256857855361595,0.035743973399833776,0.07563764291996487,3,0.5678599021375226
ring_aromatic,9125,0.006944437318635745,0.012063975975359626,0.08694085931651915,0.07967632430047174,0.4947047921630924,0.0,0.0,0.0,0.0,0.0,0.0,0.14771132610013557,0.9997021774587904,0.09529025191675794,0.0,0.04782608695652174,0.0,0.1459906403593821,0.015221025981825509,0.4977049180327869,0.041311475409836165,0.08300395256917016,3,0.5444383561643835
ring_nonaromatic,2524,0.009801511526872819,0.01598263654840081,0.18303343070488667,0.1823382421843573,0.5733333333333334,0.4840764331210191,0.1419234360410831,0.21949458483754508,0.0,0.0,0.0,0.20608535290082614,0.9996294861007997,0.15810276679841898,0.0,0.031292517006802724,0.09455587392550144,0.16676825306211523,0.01157239632992437,0.4290578887627696,0.026106696935300846,0.06084656084656096,0,0.6525356576862124
nonring_all,20961,0.00955274260857594,0.013471421593543594,0.327047086916689,0.3423900105302147,0.6381007194244604,0.4392070887001005,0.5481076151390789,0.48765150362594456,0.0,0.0,0.0,0.5011166309375452,0.9998840695730056,0.2613257033857892,0.0,0.1914491108588725,0.4425543781372002,0.1938391501040161,0.007612129529493523,0.5892015943954584,0.16233844667230338,0.2755227552275522,174,0.14083297552597682
nonring_attached_to_ring,10909,0.008138868009028877,0.011903073336991784,0.2835657556493179,0.3344425657494544,0.6174951211112386,0.3896499238964992,0.3490909090909091,0.3682570127067849,0.0,0.0,0.0,0.4015694406218335,0.9998748932396289,0.1008249312557287,0.0,0.2078843626806833,0.2916287534121929,0.17954233024726596,0.009125620695941703,0.6550104384133612,0.16701461377870558,0.25498007968127484,151,0.08726739389494913
nonring_local_only,10052,0.01108715944168964,0.014988933341529734,0.2270808625838302,0.2919454843719704,0.6588180978762697,0.46709493219129194,0.7483989021043,0.5751955700096686,0.0,0.0,0.0,0.5518390241706252,0.999896306700141,0.14512922465208747,0.0,0.1762851600387973,0.6815561959654178,0.20935486914672274,0.005969603153172075,0.532493816055768,0.15830897234090396,0.29729729729729726,23,0.19896538002387584
