molecule_id,upstream_bond_outlier_rate,upstream_bond_outlier_magnitude,upstream_angle_outlier_rate,upstream_angle_outlier_magnitude,upstream_ring_bond_outlier_rate,upstream_ring_planarity_outlier_rate,upstream_clash_penetration,upstream_severe_clash_rate,upstream_chirality_error,upstream_total_thresholded_validity_score,upstream_aligned_RMSD,upstream_mean_displacement,upstream_rms_displacement,upstream_high_flex_torsion_change,raw_proposal_bond_outlier_rate,raw_proposal_bond_outlier_magnitude,raw_proposal_angle_outlier_rate,raw_proposal_angle_outlier_magnitude,raw_proposal_ring_bond_outlier_rate,raw_proposal_ring_planarity_outlier_rate,raw_proposal_clash_penetration,raw_proposal_severe_clash_rate,raw_proposal_chirality_error,raw_proposal_total_thresholded_validity_score,raw_proposal_aligned_RMSD,raw_proposal_mean_displacement,raw_proposal_rms_displacement,raw_proposal_high_flex_torsion_change,atom_clipped_proposal_bond_outlier_rate,atom_clipped_proposal_bond_outlier_magnitude,atom_clipped_proposal_angle_outlier_rate,atom_clipped_proposal_angle_outlier_magnitude,atom_clipped_proposal_ring_bond_outlier_rate,atom_clipped_proposal_ring_planarity_outlier_rate,atom_clipped_proposal_clash_penetration,atom_clipped_proposal_severe_clash_rate,atom_clipped_proposal_chirality_error,atom_clipped_proposal_total_thresholded_validity_score,atom_clipped_proposal_aligned_RMSD,atom_clipped_proposal_mean_displacement,atom_clipped_proposal_rms_displacement,atom_clipped_proposal_high_flex_torsion_change,trust_clipped_proposal_bond_outlier_rate,trust_clipped_proposal_bond_outlier_magnitude,trust_clipped_proposal_angle_outlier_rate,trust_clipped_proposal_angle_outlier_magnitude,trust_clipped_proposal_ring_bond_outlier_rate,trust_clipped_proposal_ring_planarity_outlier_rate,trust_clipped_proposal_clash_penetration,trust_clipped_proposal_severe_clash_rate,trust_clipped_proposal_chirality_error,trust_clipped_proposal_total_thresholded_validity_score,trust_clipped_proposal_aligned_RMSD,trust_clipped_proposal_mean_displacement,trust_clipped_proposal_rms_displacement,trust_clipped_proposal_high_flex_torsion_change,safety_gated_proposal_bond_outlier_rate,safety_gated_proposal_bond_outlier_magnitude,safety_gated_proposal_angle_outlier_rate,safety_gated_proposal_angle_outlier_magnitude,safety_gated_proposal_ring_bond_outlier_rate,safety_gated_proposal_ring_planarity_outlier_rate,safety_gated_proposal_clash_penetration,safety_gated_proposal_severe_clash_rate,safety_gated_proposal_chirality_error,safety_gated_proposal_total_thresholded_validity_score,safety_gated_proposal_aligned_RMSD,safety_gated_proposal_mean_displacement,safety_gated_proposal_rms_displacement,safety_gated_proposal_high_flex_torsion_change,accepted_bond_outlier_rate,accepted_bond_outlier_magnitude,accepted_angle_outlier_rate,accepted_angle_outlier_magnitude,accepted_ring_bond_outlier_rate,accepted_ring_planarity_outlier_rate,accepted_clash_penetration,accepted_severe_clash_rate,accepted_chirality_error,accepted_total_thresholded_validity_score,accepted_aligned_RMSD,accepted_mean_displacement,accepted_rms_displacement,accepted_high_flex_torsion_change,minimal_target_bond_outlier_rate,minimal_target_bond_outlier_magnitude,minimal_target_angle_outlier_rate,minimal_target_angle_outlier_magnitude,minimal_target_ring_bond_outlier_rate,minimal_target_ring_planarity_outlier_rate,minimal_target_clash_penetration,minimal_target_severe_clash_rate,minimal_target_chirality_error,minimal_target_total_thresholded_validity_score,minimal_target_aligned_RMSD,minimal_target_mean_displacement,minimal_target_rms_displacement,minimal_target_high_flex_torsion_change,rotatable_bond_count,atom_count,bond_count,accepted,selected_step,atom_clipped_any,graph_clipped_any,atom_clipping_fraction,graph_clip_scale_min,global_safety_gate_mean,raw_velocity_norm_mean,clipped_velocity_norm_mean,raw_target_cosine_similarity,raw_target_norm_ratio,raw_direction_norm,target_direction_norm,bond_local_projection_recovery,diagnostic_oracle_bond_outlier_rate,diagnostic_oracle_bond_outlier_magnitude,record_count,source_distribution,severity_distribution,target_status_distribution,has_ring,repaired_bond_count,unchanged_bad_bond_count,new_outlier_count,threshold_near_fraction,bond_observation_count,target_available_gain,raw_potential_gain,atom_clipping_loss,graph_clipping_loss,clipping_loss,safety_gate_loss,acceptance_loss,accepted_gain,target_gap,failure_category,model_to_target_recovery_ratio
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,0.0833333358168602,0.10540902614593506,0.015384615398943424,0.07312533259391785,0.05000000074505806,0.0,0.0,0.0,0.0,0.1933515416458249,1.4835084676742554,2.3158226269970328e-07,2.614604284190136e-07,0.0,0.0833333358168602,0.12742485105991364,0.015384615398943424,0.06562711298465729,0.0,0.0,0.0,0.0,0.0,0.14698094222694635,1.4843854904174805,0.0021009384654462337,0.002552567981183529,0.0,0.0833333358168602,0.12742485105991364,0.015384615398943424,0.06562711298465729,0.0,0.0,0.0,0.0,0.0,0.14698094222694635,1.4843854904174805,0.0021009384654462337,0.002552567981183529,0.0,0.0833333358168602,0.12742485105991364,0.015384615398943424,0.06562711298465729,0.0,0.0,0.0,0.0,0.0,0.14698094222694635,1.4843854904174805,0.0021009384654462337,0.002552567981183529,0.0,0.0833333358168602,0.12340185046195984,0.015384615398943424,0.0662536695599556,0.0,0.0,0.0,0.0,0.0,0.14613183122128248,1.4843119382858276,0.0019256066298112273,0.002339516533538699,0.0,0.0833333358168602,0.12340185046195984,0.015384615398943424,0.0662536695599556,0.0,0.0,0.0,0.0,0.0,0.14613183122128248,1.4843119382858276,0.0019256066298112273,0.002339516533538699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4837738275527954,0.002498556161299348,0.004192505497485399,0.0,1.0,33.0,36.0,1.0,4.0,0.0,0.0,0.0,1.0,0.9164068251848221,0.002116024901624769,0.002116024901624769,0.0763125810289105,0.6105346298650877,0.014703980647027493,0.024083778262138367,0.11522923768125337,0.0833333358168602,0.10270175337791443,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",True,1,2,1,0.05555555555555555,36,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,CANCELLATION_OR_NEW_OUTLIER,0.0
Brc1cccc(-c2nnc3n2CCC3)c1,0.18518517911434174,0.47644683718681335,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.37096355855464935,0.9318870306015015,3.75341102198945e-07,4.170390468516416e-07,0.0,0.2222222238779068,0.5175493955612183,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.41827624291181564,0.9334377646446228,0.0022706424351781607,0.0028144875541329384,0.0,0.2222222238779068,0.5175493955612183,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.41827624291181564,0.9334377646446228,0.0022706424351781607,0.0028144875541329384,0.0,0.2222222238779068,0.5175493955612183,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.41827624291181564,0.9334377646446228,0.0022706424351781607,0.0028144875541329384,0.0,0.2222222238779068,0.5112878084182739,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.41671084612607956,0.9333124160766602,0.0020874175243079662,0.00258736708201468,0.0,0.18518517911434174,0.47644683718681335,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.37096355855464935,0.9318870306015015,3.75341102198945e-07,4.170390468516416e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9321411848068237,0.00214214320294559,0.002785369521006942,0.0,1.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.919291079044342,0.002225623989943415,0.002225623989943415,-0.05081791198253036,1.015176447230269,0.01413832325488329,0.013926961459219456,0.05635940524435032,0.18518517911434174,0.4764758348464966,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",True,0,5,0,0.037037037037037035,27,0.18518517911434174,-0.037037044763565063,0.0,0.0,0.0,0.0,-0.037037044763565063,0.0,0.18518517911434174,MODEL_PROPOSAL_LIMITED,0.0
C#CCOCOCC#CCN(CC)CC,0.09090909361839294,0.1329912692308426,0.07017543911933899,0.3330903649330139,0.0,0.0,0.0,0.0,0.0,0.27760494127869606,1.3468668460845947,3.3082505979109555e-07,3.5662509390022024e-07,0.0,0.12121212482452393,0.1516295224428177,0.07017543911933899,0.33304622769355774,0.0,0.0,0.0,0.0,0.0,0.31255650147795677,1.3481377363204956,0.002195008099079132,0.0025696447119116783,0.0006241798400878906,0.12121212482452393,0.1516295224428177,0.07017543911933899,0.33304622769355774,0.0,0.0,0.0,0.0,0.0,0.31255650147795677,1.3481377363204956,0.002195008099079132,0.0025696447119116783,0.0006241798400878906,0.12121212482452393,0.1516295224428177,0.07017543911933899,0.33304622769355774,0.0,0.0,0.0,0.0,0.0,0.31255650147795677,1.3481377363204956,0.002195008099079132,0.0025696447119116783,0.0006241798400878906,0.12121212482452393,0.14834186434745789,0.07017543911933899,0.33305075764656067,0.0,0.0,0.0,0.0,0.0,0.31173571944236755,1.3480201959609985,0.0019921716302633286,0.0023322193883359432,0.0005669593811035156,0.09090909361839294,0.1329912692308426,0.07017543911933899,0.3330903649330139,0.0,0.0,0.0,0.0,0.0,0.27760494127869606,1.3468668460845947,3.3082505979109555e-07,3.5662509390022024e-07,0.0,0.0,0.0,0.07017543911933899,0.2671588659286499,0.0,0.0,0.0,0.0,0.0,0.13696515560150146,1.3470264673233032,0.014575830660760403,0.024259064346551895,0.04565441608428955,9.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9076434075832367,0.0022057987516745925,0.0022057987516745925,-0.049117393678133794,0.10600070048209433,0.014994113706052303,0.14145296812057495,0.00815028549504062,0.09090909361839294,0.1343058943748474,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",False,0,3,0,0.030303030303030304,33,0.09090909361839294,-0.03030303120613098,0.0,0.0,0.0,0.0,-0.03030303120613098,0.0,0.09090909361839294,MODEL_PROPOSAL_LIMITED,0.0
C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,0.296875,1.2918266654014587,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.9010816663503647,0.050078997388482094,7.117887719232385e-07,7.660835592560034e-07,0.0,0.28125,1.2204994559288025,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.8363748639822006,0.047721486538648605,0.00265732454136014,0.0032832821598276496,0.0,0.28125,1.2204994559288025,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.8363748639822006,0.047721486538648605,0.00265732454136014,0.0032832821598276496,0.0,0.28125,1.2204994559288025,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.8363748639822006,0.047721486538648605,0.00265732454136014,0.0032832821598276496,0.0,0.28125,1.220833033323288,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.836458258330822,0.0479501374065876,0.0023971556802280247,0.0029621514258906245,0.0,0.28125,1.220833033323288,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.836458258330822,0.0479501374065876,0.0023971556802280247,0.0029621514258906245,0.0,0.0625,0.019276805222034454,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.1923192013055086,0.04707741364836693,0.00895499822217971,0.01094675692729652,0.0,3.0,30.0,32.0,1.0,4.0,0.0,0.0,0.0,1.0,0.9052295386791229,0.0026589513872750103,0.0026589513872750103,0.15632944896951187,0.3658688955844626,0.0179874487221241,0.059957727789878845,-0.0035376574142247826,0.28125,1.220833033323288,2,"{""Cartesian_teacher_100k"":2}","{""mild"":1,""normal"":1}","{""minimal_validity_success"":2}",True,3,16,2,0.109375,64,0.234375,0.015625,0.0,0.0,0.0,0.0,0.0,0.015625,0.21875,CANCELLATION_OR_NEW_OUTLIER,0.06666666666666667
C=CC(=O)O,0.6875,8.902504444122314,0.20000000298023224,0.5465677976608276,0.0,0.0,0.0,0.0,0.0,3.2497680634260178,0.8492681980133057,4.1791284388636996e-07,4.626446212796509e-07,0.0,0.6875,9.255385875701904,0.20000000298023224,0.5544269233942032,0.0,0.0,0.0,0.0,0.0,3.339953202754259,0.8480016887187958,0.0050527077983133495,0.005558492033742368,0.0,0.6875,9.255385875701904,0.20000000298023224,0.5544269233942032,0.0,0.0,0.0,0.0,0.0,3.339953202754259,0.8480016887187958,0.0050527077983133495,0.005558492033742368,0.0,0.6875,9.255385875701904,0.20000000298023224,0.5544269233942032,0.0,0.0,0.0,0.0,0.0,3.339953202754259,0.8480016887187958,0.0050527077983133495,0.005558492033742368,0.0,0.6875,9.217594861984253,0.20000000298023224,0.5535502433776855,0.0,0.0,0.0,0.0,0.0,3.330286279320717,0.8481405973434448,0.0044572147889994085,0.004902779473923147,0.0,0.6875,8.79638409614563,0.20000000298023224,0.5449275970458984,0.0,0.0,0.0,0.0,0.0,3.2228279262781143,0.8494224548339844,0.0008069091600191314,0.0009164448490537325,0.0,0.5,0.9430530071258545,0.10000000149011612,0.08850555121898651,0.0,0.0,0.0,0.0,0.0,0.8578896410763264,0.8592995405197144,0.03819829411804676,0.03981252573430538,0.0,2.0,9.0,8.0,0.5,2.0,0.0,0.0,0.0,1.0,0.8759914860129356,0.004930894123390317,0.004930894123390317,-0.20409183577714277,0.13218988477727367,0.017003768123686314,0.11943706125020981,-0.015704642543189925,0.6875,8.89175009727478,2,"{""Cartesian_teacher_100k"":2}","{""mild"":1,""normal"":1}","{""minimal_validity_success"":2}",False,0,11,0,0.0,16,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,MODEL_PROPOSAL_LIMITED,0.0
C=CCCCCCCCCc1nc(=S)[nH][nH]1,0.0810810774564743,0.38946548104286194,0.014925372786819935,0.22645403444766998,0.0,0.0,0.0,0.0,0.0,0.24998632911592722,1.2725961208343506,1.0046297802546178e-06,1.0630272981870803e-06,0.0,0.10810811072587967,0.3070485293865204,0.014925372786819935,0.2260269969701767,0.0,0.0,0.0,0.0,0.0,0.2563023651018739,1.2737998962402344,0.0024282182566821575,0.0027808286249637604,0.0007013678550720215,0.10810811072587967,0.3070485293865204,0.014925372786819935,0.2260269969701767,0.0,0.0,0.0,0.0,0.0,0.2563023651018739,1.2737998962402344,0.0024282182566821575,0.0027808286249637604,0.0007013678550720215,0.10810811072587967,0.3070485293865204,0.014925372786819935,0.2260269969701767,0.0,0.0,0.0,0.0,0.0,0.2563023651018739,1.2737998962402344,0.0024282182566821575,0.0027808286249637604,0.0007013678550720215,0.0810810774564743,0.3122952878475189,0.014925372786819935,0.2260635644197464,0.0,0.0,0.0,0.0,0.0,0.23059616331011057,1.2736961841583252,0.0022191565949469805,0.0025414354167878628,0.0006411075009964406,0.054054055362939835,0.3439640402793884,0.014925372786819935,0.2262592911720276,0.0,0.0,0.0,0.0,0.0,0.21153526101261377,1.2731496095657349,0.0011182422749698162,0.0012799976393580437,0.0003237128257751465,0.0,0.0,0.014925372786819935,0.1837482452392578,0.0,0.0,0.0,0.0,0.0,0.06086243409663439,1.2731149196624756,0.0031074415892362595,0.005317629314959049,0.010769665241241455,9.0,37.0,37.0,1.0,2.0,0.0,0.0,0.0,1.0,0.9139493256807327,0.0024334531044587493,0.0024334531044587493,0.1209393651698175,0.5232914885704588,0.016926374286413193,0.0323459766805172,0.005602333113460426,0.054054055362939835,0.3439640402793884,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",True,1,2,0,0.16216216216216217,37,0.0810810774564743,-0.027027033269405365,0.0,0.0,0.0,-0.027027033269405365,-0.02702702209353447,0.02702702209353447,0.054054055362939835,MODEL_PROPOSAL_LIMITED,0.33333328738808427
C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O,0.1818181872367859,0.5608115792274475,0.05714285746216774,0.08274798095226288,0.0,0.0,0.0,0.0,0.0,0.3998509347438812,0.8841422200202942,5.569809786720725e-07,5.87931992868107e-07,0.0,0.1818181872367859,0.6461887359619141,0.05714285746216774,0.08490040153265,0.0,0.0,0.0,0.0,0.0,0.42173332907259464,0.8850936889648438,0.001982450019568205,0.0023939902894198895,0.0047533512115478516,0.1818181872367859,0.6461887359619141,0.05714285746216774,0.08490040153265,0.0,0.0,0.0,0.0,0.0,0.42173332907259464,0.8850936889648438,0.001982450019568205,0.0023939902894198895,0.0047533512115478516,0.1818181872367859,0.6461887359619141,0.05714285746216774,0.08490040153265,0.0,0.0,0.0,0.0,0.0,0.42173332907259464,0.8850936889648438,0.001982450019568205,0.0023939902894198895,0.0047533512115478516,0.1818181872367859,0.6391357779502869,0.05714285746216774,0.08472325652837753,0.0,0.0,0.0,0.0,0.0,0.41992580331861973,0.8850147128105164,0.0018182831117883325,0.00219574267975986,0.004361927509307861,0.1818181872367859,0.5608115792274475,0.05714285746216774,0.08274798095226288,0.0,0.0,0.0,0.0,0.0,0.3998509347438812,0.8841422200202942,5.569809786720725e-07,5.87931992868107e-07,0.0,0.0,0.0,0.02857142873108387,0.009134791791439056,0.0,0.0,0.0,0.0,0.0,0.030855126678943634,0.8846530318260193,0.006134775932878256,0.008456630632281303,0.015211641788482666,9.0,42.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.917249396443367,0.0019820714951492846,0.0019820714951492846,-0.005117041258965229,0.28359821238671334,0.015542682260274887,0.05480528995394707,-0.0019634595595600006,0.1818181872367859,0.5803031325340271,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",True,0,8,0,0.045454545454545456,44,0.1818181872367859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181872367859,MODEL_PROPOSAL_LIMITED,0.0
C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,0.6076923161745071,2.791263997554779,0.05982906185090542,0.10611442197114229,0.5555555522441864,0.0,0.0,0.0,0.0,1.9474215351510793,3.0037730932235718,6.78309277191147e-07,7.698852186877048e-07,0.0,0.5076923221349716,2.132099062204361,0.05982906185090542,0.09433065727353096,0.5,0.0,0.0,0.0,0.0,1.62412881385535,3.0057872533798218,0.00471366080455482,0.0054396463092416525,0.004318356630392373,0.5076923221349716,2.132099062204361,0.05982906185090542,0.09433065727353096,0.5,0.0,0.0,0.0,0.0,1.62412881385535,3.0057872533798218,0.00471366080455482,0.0054396463092416525,0.004318356630392373,0.5076923221349716,2.132099062204361,0.05982906185090542,0.09433065727353096,0.5,0.0,0.0,0.0,0.0,1.62412881385535,3.0057872533798218,0.00471366080455482,0.0054396463092416525,0.004318356630392373,0.5076923221349716,2.2256985902786255,0.05982906185090542,0.0961970817297697,0.5,0.0,0.0,0.0,0.0,1.6479953019879758,3.0055030584335327,0.004048379021696746,0.004672505659982562,0.0037096738815307617,0.5076923221349716,2.2256985902786255,0.05982906185090542,0.0961970817297697,0.5,0.0,0.0,0.0,0.0,1.6479953019879758,3.0055030584335327,0.004048379021696746,0.004672505659982562,0.0037096738815307617,0.16153846867382526,0.15216802805662155,0.04273504437878728,0.06371409044368193,0.0833333358168602,0.0,0.0,0.0,0.0,0.3415773784945486,3.0077887773513794,0.019121839199215174,0.0206309724599123,0.04224789049476385,12.0,63.0,65.0,1.0,4.0,0.0,0.0,0.0,1.0,0.8664092719554901,0.004704905994003639,0.004704905994003639,0.5234584794011721,0.2801865649692467,0.043203722685575485,0.16375359147787094,0.08987384109222768,0.5076923221349716,2.2256985902786255,2,"{""Cartesian_teacher_100k"":2}","{""medium"":1,""mild"":1}","{""minimal_validity_success"":2}",True,13,66,0,0.1076923076923077,130,0.4461538475006819,0.09999999403953552,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.34615385346114635,MODEL_PROPOSAL_LIMITED,0.22413791699820024
C=CCc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12,0.145454540848732,0.37097397446632385,0.010638297535479069,0.006398329045623541,0.08695652335882187,0.0,0.0,0.0,0.0,0.3373924376210198,2.192209243774414,5.370777671487303e-07,6.263408636186796e-07,0.0,0.1818181872367859,0.44696134328842163,0.010638297535479069,0.006404334679245949,0.08695652335882187,0.0,0.0,0.0,0.0,0.3927544276230037,2.193072557449341,0.00198828405700624,0.002453373745083809,0.0008273273706436157,0.1818181872367859,0.44696134328842163,0.010638297535479069,0.006404334679245949,0.08695652335882187,0.0,0.0,0.0,0.0,0.3927544276230037,2.193072557449341,0.00198828405700624,0.002453373745083809,0.0008273273706436157,0.1818181872367859,0.44696134328842163,0.010638297535479069,0.006404334679245949,0.08695652335882187,0.0,0.0,0.0,0.0,0.3927544276230037,2.193072557449341,0.00198828405700624,0.002453373745083809,0.0008273273706436157,0.1818181872367859,0.4390809237957001,0.010638297535479069,0.006403796840459108,0.08695652335882187,0.0,0.0,0.0,0.0,0.3907841882901266,2.1929991245269775,0.0018195969751104712,0.002245123963803053,0.0007573254406452179,0.145454540848732,0.37097397446632385,0.010638297535479069,0.006398329045623541,0.08695652335882187,0.0,0.0,0.0,0.0,0.3373924376210198,2.192209243774414,5.370777671487303e-07,6.263408636186796e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1922080516815186,0.004359409678727388,0.007586521562188864,0.012440799735486507,6.0,52.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9149101376533508,0.0019902256899513304,0.0019902256899513304,-0.001797450989364721,0.3234384445025978,0.01769435964524746,0.05470703914761543,-0.005732017998604313,0.16363635659217834,0.38049355149269104,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",True,0,8,0,0.01818181818181818,55,0.145454540848732,-0.036363646388053894,0.0,0.0,0.0,0.0,-0.036363646388053894,0.0,0.145454540848732,MODEL_PROPOSAL_LIMITED,0.0
C=CCc1ccccc1OCC(O)CN1CC[NH+](c2ccccc2F)CC1,0.15789473056793213,0.23877349495887756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21758810430765152,1.2422800064086914,6.50647564270912e-07,6.955926323826134e-07,0.0,0.08771929889917374,0.24778065085411072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14966446161270142,1.2433120012283325,0.0019878919702023268,0.0023584465961903334,0.0008914470672607422,0.08771929889917374,0.24778065085411072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14966446161270142,1.2433120012283325,0.0019878919702023268,0.0023584465961903334,0.0008914470672607422,0.08771929889917374,0.24778065085411072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14966446161270142,1.2433120012283325,0.0019878919702023268,0.0023584465961903334,0.0008914470672607422,0.08771929889917374,0.24410051107406616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14874442666769028,1.2432160377502441,0.0018035315442830324,0.002139708725735545,0.0008091925992630422,0.08771929889917374,0.24410051107406616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14874442666769028,1.2432160377502441,0.0018035315442830324,0.002139708725735545,0.0008091925992630422,0.05263157933950424,0.07082010060548782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703366044908762,1.2424415349960327,0.0012059984728693962,0.0017612621886655688,0.003179013729095459,9.0,55.0,57.0,1.0,4.0,0.0,0.0,0.0,1.0,0.9071430563926697,0.001983555092010647,0.001983555092010647,0.09942306431678137,1.3401802230124484,0.017505111172795296,0.013061759062111378,0.07839144633583567,0.08771929889917374,0.24410051107406616,1,"{""ETFlow_formal_upstream"":1}","{""normal"":1}","{""minimal_validity_success"":1}",True,4,5,0,0.05263157894736842,57,0.10526315122842789,0.07017543166875839,0.0,0.0,0.0,0.0,0.0,0.07017543166875839,0.035087719559669495,MODEL_PROPOSAL_LIMITED,0.6666666430731599
