full_relative_improvement,leave_one_out_relative_improvement,influence_score,absolute_influence,anonymous_molecule_id
0.09983529008081551,0.09921006993173676,0.000625220149078759,0.000625220149078759,a6f74d5253172c9e
0.09983529008081551,0.09926080324521147,0.0005744868356040433,0.0005744868356040433,95bc85fbdebb77c6
0.09983529008081551,0.09927918727107034,0.0005561028097451765,0.0005561028097451765,c0648a8628df7660
0.09983529008081551,0.09928378857717841,0.0005515015036371002,0.0005515015036371002,449515769c033e09
0.09983529008081551,0.0992879391878823,0.0005473508929332155,0.0005473508929332155,b923c6dc1118ac86
0.09983529008081551,0.09930302774344396,0.0005322623373715529,0.0005322623373715529,1d1e29c6c193f568
0.09983529008081551,0.10036193462974054,-0.0005266445489250232,0.0005266445489250232,59665130c5d6cb3b
0.09983529008081551,0.099316869231581,0.0005184208492345077,0.0005184208492345077,c62655787540b9a6
0.09983529008081551,0.09932978370592319,0.0005055063748923283,0.0005055063748923283,ce6916aecd33c898
0.09983529008081551,0.0993499369460248,0.0004853531347907142,0.0004853531347907142,5eac5206548b639d
0.09983529008081551,0.09935990315261585,0.0004753869281996642,0.0004753869281996642,455b038a3115eb8c
0.09983529008081551,0.0993655134420498,0.0004697766387657121,0.0004697766387657121,9ad70213cb256098
0.09983529008081551,0.09936907796892362,0.00046621211189189216,0.00046621211189189216,5797e0d851d2f4ec
0.09983529008081551,0.09936934758646118,0.0004659424943543322,0.0004659424943543322,8ac698983dac8887
0.09983529008081551,0.09937482538410838,0.0004604646967071302,0.0004604646967071302,ed64aa0b87fe104b
0.09983529008081551,0.09939226830265722,0.0004430217781582896,0.0004430217781582896,144df9cbd47c3086
0.09983529008081551,0.10026458085832335,-0.00042929077750783473,0.00042929077750783473,2eecd53f0a2862d9
0.09983529008081551,0.09941948098192036,0.00041580909889515905,0.00041580909889515905,0abb5b58db9c1106
0.09983529008081551,0.10024562476153165,-0.00041033468071613455,0.00041033468071613455,0579d2d01cb56c45
0.09983529008081551,0.09942939676364254,0.00040589331717297283,0.00040589331717297283,b12daaf7e0b6ff8e
