molecule_index,sample_id,steps,update_scale,atom_index,atomic_number,aligned_displacement
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,22,6,2.811545414260763e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,23,6,3.3717478231665154e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,24,1,4.2981520209650625e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,25,1,2.980232238769531e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,26,8,1.862645149230957e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,27,6,1.212866607147589e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,28,6,2.384185791015625e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,29,1,2.602375843707705e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,30,1,2.6656007889869215e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,31,1,1.3328003944934608e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,32,1,2.5463114639023843e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,33,1,4.995779363525799e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,34,1,3.3717478231665154e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,35,7,2.920019426255749e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,36,6,2.980232238769531e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,37,1,5.462856051963172e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,38,1,2.4575624024691933e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,39,6,4.915124804938387e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,40,7,7.152557373046875e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,41,6,6.848052294117224e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,42,8,5.840038852511498e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,43,6,8.780312441558635e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,44,7,3.5762786865234375e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,45,7,3.5762786865234375e-07
0,val::C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1__gen0000,0,0.5,46,7,2.5463114639023843e-07
