applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,bootstrap_draws,cohort,effect_direction,loss_count,median_difference,method,metric,paired_mean_difference,row_type,significance_status,tie_count,win_count
20,-0.013439873908646408,-0.047205271311104295,10000,active_clash,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,bond_delta,-0.029110495932400227,paired_comparison,SIGNIFICANT_V8_12P5K_better,11,9
17,-0.0004943153985282954,-0.004650197343846016,10000,active_clash,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,angle_delta,-0.0022914532900733106,paired_comparison,SIGNIFICANT_V8_12P5K_better,12,5
17,-0.0004943153985282954,-0.004650197343846016,10000,active_clash,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,active_angle_delta,-0.0022914532900733106,paired_comparison,SIGNIFICANT_V8_12P5K_better,12,5
20,2.030699761235155e-07,-4.130390946102125e-06,10000,active_clash,V8_12P5K_better,2,0.0,V8 Full 12.5K minus Source,clash_delta,-1.8957983229483944e-06,paired_comparison,NOT_SIGNIFICANT,10,8
15,-0.003921568393707275,-0.0323427255731076,10000,active_clash,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,ring_delta,-0.016570442045728367,paired_comparison,SIGNIFICANT_V8_12P5K_better,10,5
18,0.0,0.0,10000,active_clash,tie,0,0.0,V8 Full 12.5K minus Source,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,18,0
20,0.009703998084878549,0.0030988233370590024,10000,active_clash,V8_12P5K_worse,10,0.0014933334896340966,V8 Full 12.5K minus Source,mean_displacement,0.006245718605350703,paired_comparison,SIGNIFICANT_V8_12P5K_worse,10,0
20,0.03161938187666237,0.011128830742090942,10000,active_clash,V8_12P5K_worse,10,0.009264174848794937,V8 Full 12.5K minus Source,max_atom_displacement,0.021210129372775555,paired_comparison,SIGNIFICANT_V8_12P5K_worse,10,0
20,0.0,0.0,10000,active_clash,tie,0,0.0,V8 Full 12.5K minus Source,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,20,0
20,-0.00024895057082176226,-0.0023076771199703216,10000,active_clash,V8_12P5K_better,3,0.0,V8 Full 12.5K minus Source,rmsd,-0.001176077127456665,paired_comparison,SIGNIFICANT_V8_12P5K_better,10,7
20,3.458696861343924e-05,5.540395709999757e-06,10000,active_clash,V8_12P5K_worse,9,0.0,V8 Full 12.5K minus Source,target_loss,1.7595186885444037e-05,paired_comparison,SIGNIFICANT_V8_12P5K_worse,10,1
3761,-0.012230789683594789,-0.020207391651156606,10000,ring_risk,V8_12P5K_worse,61,0.0,V8 Full 12.5K minus Source,accepted,-0.0162190906673757,paired_comparison,SIGNIFICANT_V8_12P5K_worse,3700,0
3761,-0.2593412075407752,-0.2691688663333411,10000,ring_risk,V8_12P5K_better,0,-0.2504069022834301,V8 Full 12.5K minus Source,weighted_bac_delta,-0.26420051901935987,paired_comparison,SIGNIFICANT_V8_12P5K_better,61,3700
3761,-0.10069789254070428,-0.10432646797664862,10000,ring_risk,V8_12P5K_better,0,-0.10204081796109676,V8 Full 12.5K minus Source,bond_delta,-0.10248693830648878,paired_comparison,SIGNIFICANT_V8_12P5K_better,191,3570
2502,-0.006748803971931979,-0.0075758001371928905,10000,ring_risk,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,angle_delta,-0.007156423454974695,paired_comparison,SIGNIFICANT_V8_12P5K_better,1422,1080
2502,-0.006748803971931979,-0.0075758001371928905,10000,ring_risk,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,active_angle_delta,-0.007156423454974695,paired_comparison,SIGNIFICANT_V8_12P5K_better,1422,1080
15,4.3983406309659284e-07,-5.114244025511046e-06,10000,ring_risk,V8_12P5K_better,2,0.0,V8 Full 12.5K minus Source,clash_delta,-2.2555421310244126e-06,paired_comparison,NOT_SIGNIFICANT,6,7
3761,-0.05091327383261936,-0.05443680420154159,10000,ring_risk,V8_12P5K_better,7,-0.0476190485060215,V8 Full 12.5K minus Source,ring_delta,-0.05266541102294417,paired_comparison,SIGNIFICANT_V8_12P5K_better,1235,2519
1613,0.0,0.0,10000,ring_risk,tie,0,0.0,V8 Full 12.5K minus Source,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,1613,0
3761,0.004550019210805734,0.004360878975126052,10000,ring_risk,V8_12P5K_worse,3700,0.003654504893347621,V8 Full 12.5K minus Source,mean_displacement,0.004454057611120437,paired_comparison,SIGNIFICANT_V8_12P5K_worse,61,0
3761,0.025838134170169575,0.024576621642135827,10000,ring_risk,V8_12P5K_worse,3700,0.01877998188138008,V8 Full 12.5K minus Source,max_atom_displacement,0.025200152409109923,paired_comparison,SIGNIFICANT_V8_12P5K_worse,61,0
3761,0.0,0.0,10000,ring_risk,tie,0,0.0,V8 Full 12.5K minus Source,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,3761,0
3761,0.00023900815955571467,0.0001867673312452773,10000,ring_risk,V8_12P5K_worse,2487,0.00017154216766357422,V8 Full 12.5K minus Source,rmsd,0.00021244142287725527,paired_comparison,SIGNIFICANT_V8_12P5K_worse,61,1213
3761,5.800571580640919e-07,-3.507522615396124e-07,10000,ring_risk,V8_12P5K_worse,1334,-7.680350790906232e-07,V8 Full 12.5K minus Source,target_loss,1.213235476708914e-07,paired_comparison,NOT_SIGNIFICANT,61,2366
7366,-0.010996470268802606,-0.01629106706489275,10000,high_flexibility,V8_12P5K_worse,100,0.0,V8 Full 12.5K minus Source,accepted,-0.013575889220743959,paired_comparison,SIGNIFICANT_V8_12P5K_worse,7266,0
7366,-0.195935934851142,-0.20141430626562928,10000,high_flexibility,V8_12P5K_better,0,-0.18129062601474288,V8 Full 12.5K minus Source,weighted_bac_delta,-0.19863317570355962,paired_comparison,SIGNIFICANT_V8_12P5K_better,100,7266
7366,-0.09296724217546651,-0.0953048489848645,10000,high_flexibility,V8_12P5K_better,0,-0.09302325546741486,V8 Full 12.5K minus Source,bond_delta,-0.09411291391751848,paired_comparison,SIGNIFICANT_V8_12P5K_better,377,6989
4289,-0.007197775406553198,-0.007777752736447096,10000,high_flexibility,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,angle_delta,-0.007485253619337157,paired_comparison,SIGNIFICANT_V8_12P5K_better,2251,2038
4289,-0.007197775406553198,-0.007777752736447096,10000,high_flexibility,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,active_angle_delta,-0.007485253619337157,paired_comparison,SIGNIFICANT_V8_12P5K_better,2251,2038
20,2.030699761235155e-07,-4.130390946102125e-06,10000,high_flexibility,V8_12P5K_better,2,0.0,V8 Full 12.5K minus Source,clash_delta,-1.8957983229483944e-06,paired_comparison,NOT_SIGNIFICANT,10,8
2622,-0.05084938452347139,-0.05487215580489035,10000,high_flexibility,V8_12P5K_better,3,-0.0476190485060215,V8 Full 12.5K minus Source,ring_delta,-0.052855949038334196,paired_comparison,SIGNIFICANT_V8_12P5K_better,841,1778
