method,records,paired_success,failure,timeout,nonfinite,mean_delta_energy_kcal_mol,median_delta_energy_kcal_mol,improved_fraction,p75,p90,p95,p99,maximum,positive_tail_mean
A-G,600,600,0,0,0,-0.6587765225081862,-0.47516995437960985,0.8683333333333333,-0.24063829615807367,0.0,0.09018599653462406,0.3103442863263199,0.6163184669017471,0.17255209111767064
B-G_seed173,600,600,0,0,0,-0.9617545447617196,-0.7988802402539897,0.9383333333333334,-0.5719937119341518,-0.24402382890703847,0.0,0.0,0.0,0.0
B-G_seed181,600,600,0,0,0,-0.9741260266330403,-0.8082798819368415,0.9383333333333334,-0.5751256608199867,-0.28000909010669206,0.0,0.0,0.028883463525247798,0.028883463525247798
B-G_seed193,600,600,0,0,0,-0.9669034165237607,-0.8064171777934033,0.9316666666666666,-0.5671820554153728,-0.24085907567333567,0.0,0.0,0.0948245191159804,0.04237975091944158
