split,group,bonds,mean_optimal_scale,mean_original_confidence,mean_calibrated_confidence,original_mae,calibrated_mae,original_brier,calibrated_brier
fit,all,1113960,0.20701407874288552,0.15155275789293218,0.3215854262726114,0.24387575684380688,0.32302434529742596,0.11853899797414859,0.12790704869465508
fit,active_target,500773,0.4119992583869852,0.15451759976103205,0.32340571298041115,0.3681068908856013,0.35722062499900914,0.23005860858797456,0.17090746368798643
fit,outlier,458489,0.36642404579563814,0.1636525353682924,0.3292589340249323,0.33199226377066293,0.34019927768885355,0.19748077381436208,0.15550020098866155
fit,severe_outlier,24612,0.8912725499756217,0.16126144021142702,0.32743755447873574,0.759398654196879,0.6315139849949652,0.6268931494726673,0.41238476819212866
fit,ring,398212,0.21195139836634122,0.12460974099924065,0.30399547902831486,0.2446253836076049,0.3267442300176129,0.13273276762794217,0.1335326366447946
fit,nonring,715748,0.20426716233949296,0.16654271615096528,0.33137173105033463,0.24345869612849136,0.3209547583279963,0.11064218317148562,0.12477720882251991
fit,zero_target,83567,0.0021288015179043575,0.15837926106006275,0.32671342616991667,0.15717006255922783,0.3251215926780217,0.026698325647189103,0.10659521088759638
internal_check,all,280640,0.20650750615702962,0.15137534340432027,0.32147059782829535,0.24324996459109258,0.32261199520738354,0.11812014868572285,0.1276234166615007
internal_check,active_target,125265,0.41197284659267364,0.1541747847890883,0.3231670186696333,0.3683696644757194,0.357883102752214,0.23047668699889154,0.1712743361213703
internal_check,outlier,114950,0.36371794138586133,0.16352713012402945,0.3291729982026167,0.33065099970830253,0.3406267791634453,0.19660714675635307,0.15553192993911222
internal_check,severe_outlier,5951,0.9067383633002857,0.1621043674397998,0.32790516798326985,0.7692553275036367,0.6364710108171892,0.6362459126133162,0.4172022692366561
internal_check,ring,100192,0.21119258289014844,0.12441724755323216,0.3038613829193257,0.2437569092005057,0.32602518230304534,0.1321586276989935,0.13312046151940393
internal_check,nonring,180448,0.2039061627891638,0.16634356438494743,0.33124794343566966,0.24296848851872654,0.32071685621172535,0.11032541951555962,0.1245712358758836
internal_check,zero_target,20588,0.0024371005504725454,0.15832315250879683,0.3267124833162228,0.1570688406209788,0.324991644282748,0.02670548332022809,0.10653781615841221
