upstream,method,seed,records,reference_records,V3D,PB,source_rmsd_mean,source_rmsd_median,source_rmsd_p95,source_rmsd_p99,reference_rmsd,finite_coordinate_rate,tau_median,tau_p95,tau_p99,tau_max,xtb_median_delta_e,xtb_trimmed_mean_delta_e,xtb_lower_fraction,xtb_p90,xtb_p95,xtb_p99,xtb_gt25,xtb_gt50,xtb_gt100,COV_P,COV_R,AMR_P,AMR_R,bond_raw_mae,angle_cosine_mae,bond_angle_status,authoritative_source,xtb_attempted,xtb_valid,xtb_failed,V3D_seed_sd,PB_seed_sd,source_rmsd_mean_seed_sd,reference_rmsd_seed_sd,finite_coordinate_rate_seed_sd,COV_P_seed_sd,COV_R_seed_sd,AMR_P_seed_sd,AMR_R_seed_sd,xtb_median_delta_e_seed_sd,xtb_lower_fraction_seed_sd
avgflow,AVGFLOW_RAW,,10000,7908,0.5472,0.9529,0.0,0.0,0.0,0.0,0.6759700617388053,,,,,,,,,,,,,,,0.6275624210628582,0.212002215758887,0.681062217893108,1.3659168445969705,,,NOT_EVALUATED__NO_UNIQUE_ATOM_PERMUTATION_FOR_ALL_SYMMETRY_MAPPINGS,reports/ecir_mvr/sixs_final_cross_upstream_unrestricted/avgflow/METHOD_SUMMARY.csv; reports/ecir_mvr/final_evidence_closure/AVG_REFERENCE_METRICS.csv,,,,,,,,,,,,,,
avgflow,AVGFLOW_SIXS_U_SEED307,307.0,10000,7908,0.5708,0.953,0.0034811634243233,0.003339214483276,0.0043102632509544,0.0053494637319818,0.6760316396578695,1.0,0.003339214483276,0.0043102632509544,0.0053494637319818,0.0543897785246372,0.2822487664305929,0.2960552359929438,0.018,0.4980385419872394,0.5817818991397422,0.8983121282954737,0.0,0.0,0.0,0.6276595744680851,0.211946605846853,0.6811178646772086,1.365919519119294,,,NOT_EVALUATED__NO_UNIQUE_ATOM_PERMUTATION_FOR_ALL_SYMMETRY_MAPPINGS,reports/ecir_mvr/sixs_final_cross_upstream_unrestricted/avgflow/METHOD_SUMMARY.csv; reports/ecir_mvr/final_evidence_closure/AVG_REFERENCE_METRICS.csv,10000.0,10000.0,0.0,,,,,,,,,,,
avgflow,AVGFLOW_SIXS_U_SEED331,331.0,10000,7908,0.5751,0.9531,0.0035957203081343,0.0034612490562722,0.0043420689878985,0.0054536923393607,0.6760193543307206,1.0,0.0034612490562722,0.0043420689878985,0.0054536923393607,0.0519641526043415,0.3015569954307664,0.3136023638751387,0.0169,0.5096411516232806,0.5972036166129634,0.8939189742853576,0.0,0.0,0.0,0.6276595744680851,0.2119660365278983,0.681104960508179,1.3658939004650976,,,NOT_EVALUATED__NO_UNIQUE_ATOM_PERMUTATION_FOR_ALL_SYMMETRY_MAPPINGS,reports/ecir_mvr/sixs_final_cross_upstream_unrestricted/avgflow/METHOD_SUMMARY.csv; reports/ecir_mvr/final_evidence_closure/AVG_REFERENCE_METRICS.csv,10000.0,10000.0,0.0,,,,,,,,,,,
avgflow,AVGFLOW_SIXS_U_SEED353,353.0,10000,7908,0.5806,0.9531,0.0034598346612416,0.0033144635381176,0.0045158107997849,0.0058823023177683,0.6760364634008103,1.0,0.0033144635381177,0.0045158107997849,0.0058823023177683,0.0537509396672248,0.2614315591215157,0.2784739009316411,0.0161,0.4917894795502176,0.5949209507302468,0.9729181021971924,1.0,0.0,0.0,0.6278053045759254,0.2120139066602919,0.6811206479608616,1.3659273364067763,,,NOT_EVALUATED__NO_UNIQUE_ATOM_PERMUTATION_FOR_ALL_SYMMETRY_MAPPINGS,reports/ecir_mvr/sixs_final_cross_upstream_unrestricted/avgflow/METHOD_SUMMARY.csv; reports/ecir_mvr/final_evidence_closure/AVG_REFERENCE_METRICS.csv,10000.0,10000.0,0.0,,,,,,,,,,,
avgflow,AVGFLOW_SIXS_U_THREE_SEED_MEAN_SD,,10000,7908,0.5755,0.9530666666666666,0.0035122394645663996,,,,0.6760291524631334,1.0,,,,,0.2817457736609583,,0.017,,,,,,,0.6277081511706984,0.2119755163450144,0.6811144910487498,1.3659135853303894,,,NOT_EVALUATED__NO_UNIQUE_ATOM_PERMUTATION_FOR_ALL_SYMMETRY_MAPPINGS,same authoritative per-seed rows; sample SD across seeds,,,,0.004912229636326071,5.773502691895622e-05,7.307884417363874e-05,8.821545957179006e-06,0.0,8.413731699066408e-05,3.4637408560702346e-05,8.370189343769014e-06,1.7489938166273273e-05,0.020067446550238073,0.0009539392014169452
