variant,v3d_mean,v3d_sd,pb_mean,pb_sd,reference_rmsd_mean,source_rmsd_mean,xtb_subset_records,xtb_median_delta_e_mean,xtb_median_delta_e_seed_sd,xtb_lower_fraction_mean,xtb_lower_fraction_seed_sd,conclusion,authoritative_source
full_unrestricted,0.5032,0.0028213471959332046,0.9321333333333333,0.00030550504633041625,1.42373000068459,0.009734412754016599,,,,,,reference operating point,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
reliability_off,0.3662666666666667,0.026828591713568,0.9318,0.0002,1.4236120377385204,0.0068492409953071,4500.0,-2.512046533431908,0.06339348784793772,0.9991111111111111,0.00038490017945957993,Reliability has a measurable strong independent effect,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv; reports/ecir_mvr/sixs_final_matched_ablation/08_XTB_SUBSET_RESULTS.csv
equal_ba,0.4954,0.0017088007490635,0.9322,0.0001999999999999,1.423652953419267,0.0096013739809704,4500.0,-3.642285076737769,0.04446586012100255,0.9997777777777778,0.00038490017945982827,Adaptive BA adds a smaller consistent gain,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv; reports/ecir_mvr/sixs_final_matched_ablation/08_XTB_SUBSET_RESULTS.csv
fixed_sigma_action,0.3744666666666666,0.0078213383338999,0.9319333333333332,0.0001154700538379,1.423503425665815,0.0055521928312567,,,,,,Predictive sigma materially affects inference-time action weighting; this does not isolate sigma training necessity,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv; reports/ecir_mvr/sixs_final_matched_ablation/08_XTB_SUBSET_RESULTS.csv
bond_only,0.4916,0.0022715633383201,0.9321333333333334,0.0001154700538379,1.4238510109701217,0.0097050411398832,,,,,,Bond is the dominant action contribution,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv; reports/ecir_mvr/sixs_final_matched_ablation/08_XTB_SUBSET_RESULTS.csv
angle_only,0.2960666666666666,0.0051858782605584,0.9316666666666666,0.0005033222956847,1.423224454981023,0.0096474779436675,,,,,,Angle alone is insufficient; comparison with Bond-only/full shows complementary measurable contribution,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv; reports/ecir_mvr/sixs_final_matched_ablation/08_XTB_SUBSET_RESULTS.csv
fixed_tau,0.3923333333333333,0.0034312291286554,0.9318,0.0,1.4234420374943262,0.0043215425685048,4500.0,-2.5865554771482278,0.002035008313499889,0.9997777777777778,0.00038490017945985234,Learned tau materially affects inference-time action execution; this does not isolate tau training necessity,reports/ecir_mvr/sixs_final_matched_ablation/09_FINAL_ABLATION_TABLE.csv; reports/ecir_mvr/sixs_final_matched_ablation/08_XTB_SUBSET_RESULTS.csv
