section,entity,metric,value,authoritative_source
CURRENT_FINAL,restricted_seed353,angle_cosine_raw_mae,0.046620265435573,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_seed353,kabsch_source_rmsd,0.0080410054101367,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_seed353,reference_rmsd,1.4235931960771162,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_seed353,xtb_delta_median,-3.499168258278494,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_seed353,xtb_delta_lower_fraction,0.999,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,restricted_seed353,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,records,5000.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,v3d_overall,0.5036,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,posebusters_overall,0.9318,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,bond_raw_mae,0.023253363253394,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,angle_cosine_raw_mae,0.0466574994612898,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,kabsch_source_rmsd,0.0094559057883918,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,reference_rmsd,1.4238343144817236,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,xtb_delta_median,-3.568300896401512,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,xtb_delta_lower_fraction,0.9988,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed307,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,records,5000.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,v3d_overall,0.5002,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,posebusters_overall,0.9324,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,bond_raw_mae,0.0232414691240598,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,angle_cosine_raw_mae,0.0465332113668444,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,kabsch_source_rmsd,0.0099615075867623,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,reference_rmsd,1.4237909677373073,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_seed331,xtb_delta_median,-3.6027888948972286,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
