method,bond_delta,angle_delta,active_angle_delta,clash_delta,ring_delta,chirality_delta,weighted_bac_delta,rmsd_delta,mat_p_delta,mat_r_delta,cov_p_delta,cov_r_delta,acceptance,rollback,mean_displacement,training_seconds,evaluation_seconds,total_runtime_seconds,checkpoint_sha256
D1,-0.09156972821347154,-0.0023325831134570763,-0.004497660657770074,-8.624567726656096e-11,-0.008831042290694313,0.0,-0.16842084546055838,0.00041132526985165896,0.0004113229297217913,0.0007191404620243702,0.0,0.0,0.97265625,0.02734375,0.006701364111253216,0.0,0.0,867.9379999999946,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426
V5-B,-0.09441000466176774,-0.0029979796340739995,-0.005717280983600689,0.0,-0.01159740782532026,0.0,-0.182898949772665,0.0004064798959007021,0.0004064765671500936,0.0007166422910813708,0.0,0.0,0.974609375,0.025390625,0.007392999982241799,0.0,94.81200000000536,94.81200000000536,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426
V7,-0.09019949750017986,-0.003939960648040142,-0.007204624562548985,-5.373408384912182e-09,-0.009276240434701322,0.0,-0.17147032616272287,0.0004125162940908922,0.00041251238144468516,0.0007117681379895657,0.0,0.0,0.9638671875,0.0361328125,0.00709327684905825,0.0,135.18700000000536,135.18700000000536,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426
