upstream,method,seed,records,reference_records,V3D,PB,source_rmsd_mean,source_rmsd_median,source_rmsd_p95,source_rmsd_p99,reference_rmsd,finite_coordinate_rate,tau_median,tau_p95,tau_p99,tau_max,xtb_median_delta_e,xtb_trimmed_mean_delta_e,xtb_lower_fraction,xtb_p90,xtb_p95,xtb_p99,xtb_gt25,xtb_gt50,xtb_gt100
ditmc,DITMC_RAW,,10000,10000,0.1612,0.9186,0.0,0.0,0.0,0.0,2.1530341930371497,,,,,,,,,,,,,,
ditmc,DITMC_SIXS_U_SEED307,307.0,10000,10000,0.3931,0.919,4.234868201605044,0.009558595251291997,0.015323648648336543,201.2843560791019,7.25753373102246,1.0,0.00955859525129199,0.015323648648336503,201.2843560791019,398.68023681640625,-4.134578275162294,-4.509268660209881,0.9992827133927656,-1.8986642603543993,-1.5073633196618819,-0.940606171156162,3.0,3.0,3.0
ditmc,DITMC_SIXS_U_SEED331,331.0,10000,10000,0.3843,0.9191,0.010744801137922332,0.010273060295730836,0.014780794316902744,0.02345812851563101,2.1528222153519136,1.0,0.01027306029573083,0.014780794316902756,0.023458128515631,0.1095421239733696,-4.109284922922197,-4.500534695366161,0.9903553299492386,-1.8158668236362057,-1.4037216745904777,-0.31613444876586405,2.0,2.0,1.0
ditmc,DITMC_SIXS_U_SEED353,353.0,10000,10000,0.3936,0.919,0.010521518821455538,0.009905309416353682,0.01384160416200757,0.022439224999398013,2.152979520710159,1.0,0.009905309416353703,0.013841604162007567,0.022439224999398006,0.16472628712654114,-4.112788786787846,-4.50173900848009,0.9905545399146861,-1.8387246669672117,-1.4016389165867138,-0.4012868113872944,1.0,1.0,1.0
