group,method,molecule_id,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity
all,upstream,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1,10.0,2.2954500913619995,0.0,0.11666667088866234,0.31751082837581635,0.004999999888241291,0.0006679371581412852,0.0,0.0,0.0,0.0,0.0,3.351194009558841,0.20121136216039304,0.0,1.4783220194658497e-06,1.6004253780010913e-06,2.7615700446403935e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.295450210571289,2.6105284690856934,4.991306781768799
all,upstream,CC(=O)Nc1ccc(NC(=O)CSc2nnc3c4ccccc4n(C)c3n2)cc1,9.0,0.912732869386673,0.0,0.12999999895691872,0.34139304608106613,0.012195121496915817,0.0006292448961175978,0.02380952425301075,0.0,0.0,0.0,0.0,3.5561708698835472,0.2515102174511412,0.0,7.567967088562e-07,8.168590568402578e-07,1.6824847648422292e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1071428582072258,0.9127328395843506,1.9491682052612305,3.2504453659057617
all,upstream,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1[N+](=O)[O-],8.0,0.5348554849624634,0.0,0.07500000111758709,0.22828654944896698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.862965789457662,0.13207163847982883,0.0,7.139051945159736e-07,7.967937847297435e-07,1.6812260241749755e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2380952388048172,0.5348554849624634,1.8056442737579346,2.2340662479400635
all,upstream,CC(=O)Nc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccccc2N2CCOCC2)cc1,11.0,1.8380133509635925,0.0,0.1525423675775528,0.47759538888931274,0.004854368977248669,0.0010728922206908464,0.02777777798473835,0.0,0.0,0.0,0.0,3.3918384511457207,0.3048415848170407,0.0,1.74629730054221e-06,1.9739281356123684e-06,3.831395588349551e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8380134105682373,3.086383104324341,2.8695380687713623
all,upstream,CC(=O)Nc1cccc(OCC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1,9.0,0.7699231207370758,0.0,0.03658536449074745,0.035105711314827204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.969927333839453,0.04536179231945425,0.0,7.344087009641953e-07,7.939224815345369e-07,1.4905924672348192e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333507180214,0.7699230909347534,2.533535957336426,1.059110403060913
all,upstream,CC(=O)Nc1ccccc1C(=O)C(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,11.0,0.9103415310382843,0.0,0.10000000149011612,0.6032264828681946,0.015957446303218603,0.21419912576675415,0.0,0.0,0.0,0.0,0.0,3.136601626692597,0.3203138499520719,0.0,6.789120163830376e-07,7.636275825007033e-07,1.315874328611244e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,0.9103415012359619,1.9583303928375244,3.112602472305298
all,upstream,CC(=O)Oc1cccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)c1,5.0,0.6801557540893555,0.0,0.13953488692641258,0.3257759064435959,0.014285714365541935,0.009628659579902887,0.0,0.25,0.0,0.0,0.0,3.7993153179275634,0.4876717427978292,0.0,8.545872560716816e-07,9.556935651744425e-07,1.7613439240449225e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5555555820465088,0.6801557540893555,1.16124427318573,2.029933214187622
all,upstream,CC(=O)_C(C#N)=C1\NC(=O)C(Cc2ccccc2)S1,4.0,1.2088724970817566,0.0,0.0625,0.23880960792303085,0.04716981202363968,0.2091469019651413,0.04545454680919647,0.0,0.0,0.0,0.0,3.0990693032474113,0.2671134863048792,0.0,8.424276956020549e-07,8.973270553269685e-07,1.3989959768423432e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.20000000298023224,1.2088725566864014,2.0511889457702637,1.7744863033294678
all,upstream,CC(=O)c1cc(CN2CCC(n3nccc3NC(=O)c3ccccc3Cl)CC2)cs1,8.0,1.4943760633468628,0.0,0.1785714253783226,0.5723050236701965,0.03061224427074194,0.019967240281403065,0.0,0.0,0.0,0.0,0.0,3.4198667022280915,0.35725173563696444,0.0,1.3254765462988871e-06,1.4731146791291394e-06,3.0719693882019783e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4943760633468628,2.5891289710998535,1.7593352794647217
all,upstream,CC(=O)c1ccc(OCC(=O)N2CCCC(Nc3ccc(C)c(C)c3)C2)cc1,10.0,1.4677928686141968,0.0,0.08620689809322357,0.12036700546741486,0.0,0.0,0.02777777798473835,0.0,0.0,0.0,0.0,3.200508630285193,0.14407642744481564,0.0,8.745575996726984e-07,9.70801607991234e-07,1.7689475839688384e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4677928686141968,2.335313081741333,2.2630105018615723
all,upstream,CC(=O)c1cccc(NC(=O)N2CCCC2C(=O)Nc2cccc(C)c2)c1,9.0,0.7189775705337524,0.0,0.07692307978868484,0.11116969212889671,0.0,0.0,0.029411764815449715,0.0,0.0,0.0,0.0,2.7054753463698513,0.13412726763635874,0.0,9.313476425631961e-07,1.0046348961623153e-06,1.7222453436716023e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36666667461395264,0.7189775705337524,1.7451863288879395,3.2181472778320312
