candidate,steps,records,molecules,bond_delta,angle_delta,clash_delta,weighted_bac_delta,acceptance_fraction,rollback_fraction,ring_delta,rmsd_delta,mat_p_delta,mat_r_delta,cov_p_delta,cov_r_delta,mean_displacement,angle_active_records,angle_active_molecules,angle_active_delta,angle_active_ci95_low,angle_active_ci95_high,clash_active_records,gradient_norm_logged_max,gradient_norm_logged_median,runtime_seconds,checkpoint_sha256,failure_rate,chirality_delta
A0,1000,1024,512,-0.0012375054666335,0.0,0.0,-0.0013051783324442,0.0517578125,0.9482421875,0.0,4.6083005145192157e-07,4.604880814440549e-07,3.551831468939781e-07,0.0,0.0,2.8906368932518638e-06,576,339,0.0,0.0,0.0,1,28.05668830871582,2.944907665252685,363.9070000000065,738a84dfabf8e9460e2b55608ffda2109197825018d732fce225c969263048b5,0.0,
D0,1000,1024,512,-0.0006006784697092,0.0,0.0,-0.0006218630531975,0.0244140625,0.9755859375,0.0,2.2584572434425357e-08,2.1711457520723343e-08,-9.19681042432785e-09,0.0,0.0,1.370984973117495e-06,576,339,0.0,0.0,0.0,1,36.5225944519043,5.974885940551758,866.2969999999914,ceedbc58d14b4f29529e852696dc4659d8d8b1e160dae296f842a86fc2317bba,0.0,
D1,1000,1024,512,-0.0915697282134715,-0.002332583113457,-8.624567726656096e-11,-0.1684208454605583,0.97265625,0.02734375,-0.0088310422906943,0.0004113252698516,0.0004113229297217,0.0007191404620243,0.0,0.0,0.0067013641112532,576,339,-0.00449766065777,-0.0052353594746099,-0.003873158033194,1,141.668212890625,11.900179862976074,867.9379999999946,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426,0.0,
J0,0,1024,512,-0.015871426801822963,-0.003394169324565155,0.0,-0.045166416232586756,0.265625,0.734375,-0.0036065756576135755,1.0111356459674425e-05,1.0110525181517005e-05,4.298672138247639e-06,0.0,0.0,0.0010729661414911745,576,339,-0.006042080721199776,-0.0070279859935667,-0.005099323439682424,1,,,34.451930699986406,not_applicable_non_learning_solver,0.0,0.0
