method,molecule_id,sample_id,source,severity,update_scale,rotatable_bond_count,has_ring,clean_valid,groups,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,reject_reasons,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score
upstream,Cc1ccc(SCC(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1,val::Cc1ccc(SCC(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1__gen0000,ETFlow_formal_upstream,normal,0.0,7,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.2320486307144165,0.0,0.095238097012043,0.1782267540693283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0465394991270514,0.13979478552937508,0.0,3.5283534316477017e-07,3.94778425061304e-07,6.078504952711228e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(SCC(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1,val::Cc1ccc(SCC(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1__gen0001,ETFlow_formal_upstream,normal,0.0,7,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.5686094760894775,0.0,0.0476190485060215,0.10781971365213394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6750216809854073,0.07457397691905499,0.0,6.787181519030128e-07,7.401126822514925e-07,1.2839233249906101e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(SCCC(=O)NCc2ccco2)cc1,val::Cc1ccc(SCCC(=O)NCc2ccco2)cc1__gen0000,ETFlow_formal_upstream,normal,0.0,8,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.3772262334823608,0.0,0.054054055362939835,0.1450105756521225,0.016129031777381897,0.04932386800646782,0.0,0.0,0.0,0.0,0.0,3.1907478989299776,0.11876669805496931,0.0,4.4890273898090527e-07,4.7014205506457074e-07,7.907449912636366e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(SCCC(=O)NCc2ccco2)cc1,val::Cc1ccc(SCCC(=O)NCc2ccco2)cc1__gen0001,ETFlow_formal_upstream,normal,0.0,8,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.8991217017173767,0.0,0.054054055362939835,0.471739798784256,0.016129031777381897,0.05555681139230728,0.0,0.0,0.0,0.0,0.0,3.2011725161226394,0.20200723968446255,0.0,2.2770319674236816e-07,2.4459711767121917e-07,4.129530850605079e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(_C=N_NC(=O)c2cccc(NC(=O)c3ccccc3C)c2)o1,val::Cc1ccc(_C=N_NC(=O)c2cccc(NC(=O)c3ccccc3C)c2)o1__gen0000,ETFlow_formal_upstream,normal,0.0,9,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.6487787365913391,0.0,0.125,0.4145945608615875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9522518414002863,0.22864864021539688,0.0,1.3793795687888633e-06,1.5043169696582481e-06,2.5850831661955453e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(_C=N_NC(=O)c2cccc(NC(=O)c3ccccc3C)c2)o1,val::Cc1ccc(_C=N_NC(=O)c2cccc(NC(=O)c3ccccc3C)c2)o1__gen0001,ETFlow_formal_upstream,normal,0.0,9,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.873679757118225,0.0,0.1666666716337204,0.4889726936817169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7996265446570465,0.2889098450541496,0.0,7.478873271793418e-07,8.157910542649915e-07,1.5266238051481196e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(_C=N_Nc2ncc(Cl)cc2Cl)s1,val::Cc1ccc(_C=N_Nc2ncc(Cl)cc2Cl)s1__gen0000,ETFlow_formal_upstream,normal,0.0,4,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.4885552227497101,0.0,0.14814814925193787,0.26764658093452454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4331020219825366,0.215059794485569,0.0,8.905132631298329e-07,9.659048600951792e-07,1.8810908386512892e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(_C=N_Nc2ncc(Cl)cc2Cl)s1,val::Cc1ccc(_C=N_Nc2ncc(Cl)cc2Cl)s1__gen0001,ETFlow_formal_upstream,normal,0.0,4,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.039502307772636414,0.0,0.07407407462596893,0.1944987177848816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1755747795586764,0.12269875407218933,0.0,9.68192239270138e-07,1.0262897376378532e-06,1.6858739400049672e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(_C=N_n2c(-c3ccncc3)n[nH]c2=S)cc1,val::Cc1ccc(_C=N_n2c(-c3ccncc3)n[nH]c2=S)cc1__gen0000,ETFlow_formal_upstream,normal,0.0,4,True,False,all;ETFlow_normal;rotatable_3_5;ring,1.5386550426483154,0.0,0.1944444477558136,0.8255205750465393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8912550004156565,0.4008245915174484,0.0,7.182509875747201e-07,7.689063750149217e-07,1.3696104588234448e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Cc1ccc(_C=N_n2c(-c3ccncc3)n[nH]c2=S)cc1,val::Cc1ccc(_C=N_n2c(-c3ccncc3)n[nH]c2=S)cc1__gen0001,ETFlow_formal_upstream,normal,0.0,4,True,False,all;ETFlow_normal;rotatable_3_5;ring,1.6996715068817139,0.0,0.1111111119389534,0.2051749974489212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.735216423147408,0.1624048613011837,0.0,7.908690804470098e-07,8.969443570094882e-07,1.811395350159728e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
