metric,component,formulation,seed,split,n_molecules,n_records,value,unit,status,evidence_type
xTB deltaE,greater than +100,Restricted,307,DEV,2500,5000,0,count,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
xTB deltaE,arithmetic mean,Restricted,307,DEV,2500,5000,-1.5818520888372816,kcal/mol,SECONDARY,ARTIFACT_FACT
xTB deltaE,median,Unrestricted,307,DEV,2500,5000,-1.3651997167478416,kcal/mol,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
xTB deltaE,fraction less than zero,Unrestricted,307,DEV,2500,5000,0.9974,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,5pct trimmed mean,Unrestricted,307,DEV,2500,5000,-1.454665766300005,kcal/mol,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,P90,Unrestricted,307,DEV,2500,5000,-0.6827252760872681,kcal/mol,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,P95,Unrestricted,307,DEV,2500,5000,-0.530433197406623,kcal/mol,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,P99,Unrestricted,307,DEV,2500,5000,-0.2691435292194419,kcal/mol,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,greater than +25,Unrestricted,307,DEV,2500,5000,2,count,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,greater than +50,Unrestricted,307,DEV,2500,5000,1,count,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,greater than +100,Unrestricted,307,DEV,2500,5000,1,count,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
xTB deltaE,arithmetic mean,Unrestricted,307,DEV,2500,5000,-1.570312882795349,kcal/mol,SECONDARY,ARTIFACT_FACT
tau,median,Restricted,307,DEV,2500,5000,0.005436190403997898,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P90,Restricted,307,DEV,2500,5000,0.006625592429190874,angstrom,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
tau,P95,Restricted,307,DEV,2500,5000,0.007065109629184008,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P99,Restricted,307,DEV,2500,5000,0.008392329951748257,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P99.5,Restricted,307,DEV,2500,5000,0.009178505865857015,angstrom,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
tau,P99.9,Restricted,307,DEV,2500,5000,0.009997811225242913,angstrom,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
tau,max,Restricted,307,DEV,2500,5000,0.009999999776482582,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,fraction greater than 0.01,Restricted,307,DEV,2500,5000,0.0,fraction,CURRENT_AUTHORITATIVE,CODE_FACT
tau,median,Unrestricted,307,DEV,2500,5000,0.005921839037910104,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P90,Unrestricted,307,DEV,2500,5000,0.00714298919774592,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P95,Unrestricted,307,DEV,2500,5000,0.007654774072580041,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P99,Unrestricted,307,DEV,2500,5000,0.009244887186214346,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P99.5,Unrestricted,307,DEV,2500,5000,0.01093804326374084,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,P99.9,Unrestricted,307,DEV,2500,5000,0.02292762717604641,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,max,Unrestricted,307,DEV,2500,5000,0.038546543568372726,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,fraction greater than 0.01,Unrestricted,307,DEV,2500,5000,0.007,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,fraction greater than 0.02,Unrestricted,307,DEV,2500,5000,0.0014,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
tau,fraction greater than 0.05,Unrestricted,307,DEV,2500,5000,0.0,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
per-atom displacement,median,Unrestricted,307,DEV,2500,223560,0.004162834538125458,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
per-atom displacement,P99,Unrestricted,307,DEV,2500,223560,0.01697453775507539,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
per-atom displacement,max,Unrestricted,307,DEV,2500,223560,0.1823133530834269,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
per-atom displacement,full distribution,Restricted,307,DEV,2500,5000,NOT AVAILABLE,angstrom,NOT_AVAILABLE,UNKNOWN
Adaptive BA,w_B mean,Restricted,307,DEV,2500,5000,0.5052601039052009,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Adaptive BA,w_B mean,Unrestricted,307,DEV,2500,5000,0.49232423605918885,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
Reliability,bond mean,Restricted,307,DEV,2500,233758,0.048695683682320495,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Reliability,angle mean,Restricted,307,DEV,2500,403114,0.09715910458076929,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Reliability,DEV distribution,Unrestricted,307,DEV,2500,5000,NOT AVAILABLE,fraction,NOT_AVAILABLE,UNKNOWN
sigma,bond mean,Restricted,307,DEV,2500,233758,0.004812464842674507,native Bond unit,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
sigma,angle mean,Restricted,307,DEV,2500,403114,0.01909321677468766,native cosine unit,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
sigma,DEV distribution,Unrestricted,307,DEV,2500,5000,NOT AVAILABLE,native family unit,NOT_AVAILABLE,UNKNOWN

