step,checkpoint,checkpoint_sha256,accuracy_noninferior,safety_qualified,validity_delta,mean_displacement,identity_fraction,learning_rate,max_core_relative_improvement,chirality_delta,severe_clash_delta,torsion_gate_max,torsion_contribution_max,rmsd_delta,mat_p_delta,mat_r_delta,high_flex_validity_delta,high_flex_rmsd_delta,high_flex_torsion_change,unseen_validity_delta,unseen_rmsd_delta
500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step000500.ckpt,2ce46a96da65b993af851d87eb9b4c34d47583e7fb2c86d49c30a99b39ad19ec,True,True,-0.053943233399269985,0.0016688913122613086,1.0,0.0002,0.08330982072806078,0.0,0.0,0.0,0.0,0.0003871503099799156,0.00038715048879384996,0.0002249269485473633,-0.053527826069749485,0.0004174922613182641,0.0016665436680499545,-0.10113065846766389,0.00048770837485778706
1000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step001000.ckpt,19a23d00f90e51f36965bf233ebae4fbbc18a625a32a9c9a0ab2a4c845bc52ed,True,True,-0.06888622396806754,0.0016568160710636447,1.0,0.00019457233587073176,0.07507228539209199,0.0,0.0,0.0,0.0,0.0006654655933380127,0.0006654656007885933,0.0007431448698043823,-0.07103074684503896,0.000707153564966756,0.001131754783905901,-0.1537854582644378,0.0012067761830985013
1500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step001500.ckpt,a2857edb835549e29edce47118ed44bb73473ec86200787fe211fb6b1765799b,True,True,-0.10571355390507853,0.002294487638336534,1.0,0.00017894399988070803,0.0965521915837098,0.0,0.0,0.0,0.0,0.0009252956435084343,0.000925294041633606,0.0011681454181671142,-0.11065336657176994,0.0009800982054160023,0.0014441922052276861,-0.2482521719997488,0.0019808950088917587
2000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step002000.ckpt,47189368db75c86f551a69cdbba5ef5f8c85a7e80929401aded309c246c5956d,True,True,-0.11945980211150298,0.002410404263729134,1.0,0.000155,0.12272397141617696,0.0,0.0,0.0,0.0,0.000923875369131565,0.00092387405782938,0.0010852476358413697,-0.1234712073050489,0.0009762890049782591,0.0012908633930435274,-0.2811949883595788,0.0020140957459806597
3000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step003000.ckpt,1fe49d26a0448c1ac1f1a87ae9c624f2617fb4cbca31adfe197a00c584626e08,True,True,-0.04009844404431562,0.0013899300536402849,1.0,9.437166400997627e-05,0.04681015575909513,0.0,0.0,0.0,0.0,0.0001931585744023323,0.00019315911829471589,0.00013786089420318604,-0.041323738963780055,0.00021557978597330774,0.0017880076130772384,-0.08788462188307666,0.00043693294748647915
5000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step005000.ckpt,0900b786bb9e7994085f0ff44ae5dbba4a25f490f890c7658c401ad735e20f35,True,True,-0.09941481389769091,0.0019112524348329884,1.0,2e-05,0.09124457420762484,0.0,0.0,0.0,0.0,0.0006441328078508377,0.0006441302821040153,0.0007807327508926392,-0.10068095019549839,0.0006706452543805419,0.0012341245613282333,-0.23649643211829252,0.0014802672527729488
