split,flow_loss_first,flow_loss_last,flow_loss_min,validity_mode_loss_first,validity_mode_loss_last,validity_mode_loss_min,identity_loss_first,identity_loss_last,identity_loss_min,anchor_loss_first,anchor_loss_last,anchor_loss_min,sparse_loss_first,sparse_loss_last,sparse_loss_min,torsion_mode_loss_first,torsion_mode_loss_last,torsion_mode_loss_min,torsion_anchor_loss_first,torsion_anchor_loss_last,torsion_anchor_loss_min,torsion_gate_sparsity_loss_first,torsion_gate_sparsity_loss_last,torsion_gate_sparsity_loss_min,high_flex_torsion_trust_loss_first,high_flex_torsion_trust_loss_last,high_flex_torsion_trust_loss_min,error_loss_first,error_loss_last,error_loss_min,uncertainty_loss_first,uncertainty_loss_last,uncertainty_loss_min,trust_loss_first,trust_loss_last,trust_loss_min,total_loss_first,total_loss_last,total_loss_min
train,0.0082715228199958,0.0117572883531283,0.0082632606879269,0.0005334191955626,0.0594974078777886,0.0005334191955626,0.0,2.632261418966664e-07,0.0,0.0,3.826893507721252e-05,0.0,0.0,1.3396567491099633e-05,0.0,0.0,0.0172415792141066,0.0,0.0,1.047579224085382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6827630996704102,0.3557029101252555,0.3549255505204201,0.1966208964586258,0.0184497277255377,0.008563038692082,0.0,9.73761398199713e-06,0.0,0.1889266967773437,0.1182113328576087,0.1143132422864437
val,0.0142526460213639,0.0142742664876095,0.0142526460213639,0.0757720921035797,0.0712867187997835,0.0701994520453445,1.0261976754577517e-07,2.179929614953835e-07,8.209357289956642e-08,9.199291442371304e-05,5.899561018509303e-05,5.899561018509303e-05,4.5895249717204936e-05,2.7235514215249167e-05,2.7235514215249167e-05,0.0400745784967148,0.0358313883087203,0.0358313883087203,1.7007120011385268e-05,1.2575438466111422e-05,8.803531482532989e-06,4.78202547355977e-07,9.839721613502661e-08,9.839721613502661e-08,0.0,0.0,0.0,0.4227795660495758,0.3770702192187309,0.3770702192187309,0.0128448229638161,0.0130449358426676,0.0107362227380872,9.746606559019712e-05,2.3169205819613124e-05,2.3169205819613124e-05,0.1435655568540096,0.1306111949682235,0.1306111949682235
