row_type,family,seed,records,mean,median,improved_fraction,p75,p90,p95,p99,max_harmful,positive_tail_mean,failure,timeout,nonfinite
seed,B,173.0,600,-0.7088211469701061,-0.6456167788238363,0.9183333333333333,-0.4284679473802098,-0.12689528184554474,0.0,0.0,0.0526766003140233,0.0526766003140233,0.0,0.0,0.0
seed,A,173.0,600,-0.21578997138901002,-0.17286670554174322,0.7383333333333333,0.0,0.05119321147284377,0.12693343097143975,0.27322595657157256,0.5410356677356409,0.11354343237283575,0.0,0.0,0.0
seed,BA,173.0,600,-0.7075900063282828,-0.6591771038733594,0.9033333333333333,-0.4158502557685513,-0.09870777621634506,0.0,0.0,0.13678470214272453,0.05430043690983416,0.0,0.0,0.0
seed,B,181.0,600,-0.7048892021186529,-0.6433769810197982,0.9183333333333333,-0.4145868153270833,-0.12436909725239553,0.0,0.0,0.04426446119048712,0.04426446119048712,0.0,0.0,0.0
seed,A,181.0,600,-0.2253813776646886,-0.19112742545203326,0.7416666666666667,0.0,0.031321330047875566,0.10815956290236424,0.277378200209042,0.5587799049861294,0.10476852282959606,0.0,0.0,0.0
seed,BA,181.0,600,-0.712392924400144,-0.649016626405045,0.9066666666666666,-0.4135879198633227,-0.10595812873605892,0.0,0.0,0.1414879559322098,0.08210539875059188,0.0,0.0,0.0
seed,B,193.0,600,-0.7065067766958439,-0.6501418949103688,0.915,-0.43276943054399863,-0.13522014167957835,0.0,0.0,0.12376503328591702,0.06993672435966206,0.0,0.0,0.0
seed,A,193.0,600,-0.22080822602277042,-0.1894423146482881,0.7416666666666667,0.0,0.05408361159387776,0.12815603369042952,0.2915859978508949,0.5667158823907426,0.11561564837432761,0.0,0.0,0.0
seed,BA,193.0,600,-0.7084178683282754,-0.6599328311059451,0.9033333333333333,-0.4169223230743623,-0.07231878151486788,0.0,0.0,0.15558708038384933,0.13496149281682382,0.0,0.0,0.0
seed_mean,A,,600,-0.22065985835882299,-0.18447881521402154,0.7405555555555555,0.0,0.0455327177048657,0.12108300918807784,0.2807300515438365,0.5555104850375043,0.11130920119225314,0.0,0.0,0.0
sample_sd_ddof1,A,,3,0.004797424132705025,0.010091616217731888,0.0019245008972987971,0.0,0.012391983601016303,0.011208714791487636,0.009628029885315461,0.013148581150959779,0.005758374325450509,0.0,0.0,0.0
seed_mean,B,,600,-0.706739041928201,-0.6463785515846677,0.9172222222222223,-0.4252747310837639,-0.12882817359250623,0.0,0.0,0.07356869826347581,0.05562592862139082,0.0,0.0,0.0
sample_sd_ddof1,B,,3,0.0019762357987696587,0.0034461918534909215,0.001924500897298733,0.009502596843416857,0.005677882014385086,0.0,0.0,0.04367430661638832,0.013087787328472432,0.0,0.0,0.0
seed_mean,BA,,600,-0.7094669330189007,-0.6560421871281165,0.9044444444444445,-0.4154534995687455,-0.09232822882242396,0.0,0.0,0.14461991281959455,0.09045577615908329,0.0,0.0,0.0
sample_sd_ddof1,BA,,3,0.002567568508353838,0.006096036295634385,0.001924500897298733,0.0017022405250172552,0.017703824137186505,0.0,0.0,0.009784642167136638,0.04097374875643929,0.0,0.0,0.0
