config_id,source_severity,accepted,aligned_RMSD,aligned_rms_displacement,angle_outlier_magnitude,angle_outlier_rate,angle_target_mae_rad,bond_outlier_magnitude,bond_outlier_rate,bond_target_mae,chirality_error,clash_penetration,clash_score,delta_aligned_RMSD,delta_angle_outlier_magnitude,delta_angle_outlier_rate,delta_angle_target_mae_rad,delta_bond_outlier_magnitude,delta_bond_outlier_rate,delta_bond_target_mae,delta_chirality_error,delta_clash_penetration,delta_clash_score,delta_ring_bond_outlier_rate,delta_ring_bond_target_mae,delta_ring_planarity_outlier_rate,delta_severe_clash_rate,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_torsion_reference_error,delta_total_thresholded_validity_score,gate,has_ring,input_aligned_RMSD,input_angle_outlier_magnitude,input_angle_outlier_rate,input_angle_target_mae_rad,input_bond_outlier_magnitude,input_bond_outlier_rate,input_bond_target_mae,input_chirality_error,input_clash_penetration,input_clash_score,input_ring_bond_outlier_rate,input_ring_bond_target_mae,input_ring_planarity_outlier_rate,input_severe_clash_rate,input_stereocenter_degenerate_rate,input_torsion_prior_outlier_score,input_torsion_reference_error,input_total_thresholded_validity_score,max_atom_displacement,mean_atom_displacement,raw_delta_aligned_RMSD,ring_bond_outlier_rate,ring_bond_target_mae,ring_planarity_outlier_rate,rollout_steps,rotatable_bond_count,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,torsion_reference_error,total_thresholded_validity_score,uncertainty,update_scale,validity_gain,view_cartesian_severity,view_etflow_normal,view_mixed,input_COV_P,input_COV_R,input_MAT_P,input_MAT_R,input_diversity,COV_P,COV_R,MAT_P,MAT_R,diversity,delta_COV_P,delta_COV_R,delta_MAT_P,delta_MAT_R,delta_diversity,molecules,records,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,raw_RMSD_worsened_fraction
e710de99acb266b0,normal,0.94,1.0192128532752394,7.229685499623883e-05,0.03262652158853598,0.018292565541341902,0.020553872920572758,0.3528249843791127,0.11790247660130262,0.013226509839296342,0.0,0.0,0.0,-8.381027728319168e-06,1.366191660054028e-05,0.0,-5.0367042422294616e-06,-0.00335300300270319,-0.0018230083584785462,-2.2931937128305435e-05,0.0,0.0,0.0,-0.0009999999403953552,-3.700537607073784e-05,0.0,0.0,0.0,0.0,-7.705686148256063e-06,-0.0036578435703995636,0.034767433591187,1.0,1.0192212343029678,0.03261285967193544,0.018292565541341902,0.020558909624814988,0.3561779873818159,0.11972548495978116,0.013249441776424646,0.0,0.0,0.0,0.0339305168017745,0.0162215974368155,0.0,0.0,0.0,2.8581215609659902,0.0819221120653674,0.2691462790663354,0.00019158200346282682,5.9206763107795265e-05,-9.350050240755082e-06,0.03293051686137915,0.01618459206074476,0.0,0.0,2.48,0.0,0.0,2.8581215609659902,0.08191440637921915,0.26548843549593587,0.024180680252611636,0.0,0.002079992282378953,0.0,1.0,1.0,0.64,0.33547826394438746,1.0192212123423814,1.4692867607623339,1.9122059799730777,0.64,0.33547826394438746,1.0192128638923168,1.4692816764861345,1.9121964718401432,0.0,0.0,-8.348450064588064e-06,-5.084276199385229e-06,-9.508132934543667e-06,25,50,0.94,0.06000000000000005,0.0,1.0,0.0,0.8,0.12,0.12
e710de99acb266b0,mild,1.0,1.593319335654378,0.00013505143157090062,0.1790423576440662,0.05285200266167522,0.036298298984766005,2.225945986509323,0.4746415084600449,0.029621965438127517,0.005,1.2902765593025834e-06,1.2902765593025834e-06,3.960601985454559e-05,-0.0006383199384436011,-0.00014705881476402284,-6.631165742874146e-05,-0.012008863687515258,-0.001906416416168213,-6.521206349134445e-05,0.0,9.726500138640404e-10,9.726500138640404e-10,-0.0026877474784851073,-7.375869899988175e-05,0.0,0.0,0.0,0.0,-3.531083464622498e-05,-0.007903017643257045,0.02787015937268734,1.0,1.5932797296345234,0.17968067758250983,0.052999061476439235,0.03636461064219475,2.2379548501968385,0.47654792487621306,0.029687177501618863,0.005,1.2893039092887192e-06,1.2893039092887192e-06,0.3397878557443619,0.041226485036313536,0.016666666666666666,0.0,0.0,3.156895749125116,0.09309364510700106,1.4904116800124272,0.00024189117189962417,0.0001237428440072108,3.960601985454559e-05,0.3371001082658768,0.04115272633731365,0.016666666666666666,1.0,8.12,0.0,0.0,3.156895749125116,0.09305833427235484,1.4825086623691701,0.023078219890594484,0.5,0.007903017643257045,1.0,0.0,0.0,0.2,0.32,1.982173433303833,1.5915060675144195,2.338570027351379,0.2,0.32,1.9822185516357422,1.591548228263855,2.338677725791931,0.0,0.0,4.511833190923298e-05,4.216074943541592e-05,0.00010769844055191768,25,50,1.0,0.0,0.0,1.0,0.0,0.04,0.96,0.96
e710de99acb266b0,medium,1.0,1.5815885183215141,0.00017495550448074938,0.4287789836525917,0.15340057611465455,0.04954756587743759,6.5188235092163085,0.6679695355892181,0.04971420258283615,0.005,1.185037472168915e-06,1.185037472168915e-06,4.939600825309753e-05,-0.002439623698592186,-0.0008972232043743133,-0.00010670475661754608,-0.016414284706115723,-0.0008773577213287354,-8.897729218006134e-05,0.0,1.716471160762012e-09,1.716471160762012e-09,-0.0013333338499069214,-0.00010189786553382874,0.0,0.0,0.0,0.0,-5.3693242371082306e-05,-0.007821390160315786,0.029462449699640274,1.0,1.581539122313261,0.4312186073511839,0.15429779931902884,0.049654270634055135,6.535237793922424,0.6688468933105469,0.049803179875016215,0.005,1.183321001008153e-06,1.183321001008153e-06,0.5358340382575989,0.06370126962661743,0.011666666666666665,0.0,0.0,3.1525596874459425,0.09655368039384485,3.1122606811932445,0.0003119998748297803,0.00015873667885898612,4.939600825309753e-05,0.5345007044076919,0.0635993717610836,0.011666666666666665,2.0,8.12,0.0,0.0,3.1525596874459425,0.09649998715147376,3.1044392910329286,0.023553307726979257,0.5,0.007821390160315786,1.0,0.0,0.0,0.22,0.36,1.9674965524673462,1.5784068965911866,2.3024909019470217,0.22,0.36,1.967554006576538,1.5784611845016479,2.302632460594177,0.0,0.0,5.745410919177907e-05,5.4287910461248146e-05,0.00014155864715537092,25,50,1.0,0.0,0.0,1.0,0.0,0.04,0.96,0.96
e710de99acb266b0,severe,1.0,1.559185946881771,0.0011378103037714027,1.5153105145692825,0.3060172317922115,0.09317402578890324,16.952737617492676,0.7906978458166123,0.09851116254925728,0.005,9.295464406022802e-07,9.295464406022802e-07,0.00030459463596343994,-0.023677955865859985,-0.001794566810131073,-0.0006770571321249009,-0.1409354591369629,-4.563212394714356e-05,-0.0006119300425052643,0.0,1.5217228792607785e-08,1.5217228792607785e-08,0.0,-0.0005874667316675186,0.0,0.0,0.0,0.0008725165321475803,-0.0004343201220035553,-0.042993537467555146,0.07410105518996715,1.0,1.5588813522458076,1.5389884704351424,0.3078117986023426,0.09385108292102813,17.09367307662964,0.7907434779405594,0.09912309259176254,0.005,9.143292118096724e-07,9.143292118096724e-07,0.6647911995649338,0.12158308129757643,0.011666666666666665,0.0,0.0,3.1628551787603163,0.11951107908040286,6.433179443869909,0.001759475467260927,0.0010464234626851975,0.00030459463596343994,0.6647911995649338,0.1209956145659089,0.011666666666666665,4.0,8.12,0.0,0.0,3.163727695292464,0.1190767589583993,6.390185906402354,0.028559095971286298,0.5,0.042993537467555146,1.0,0.0,0.0,0.22,0.36,1.9360132503509522,1.553087396621704,2.218811583518982,0.22,0.36,1.9363758254051209,1.5534169638156892,2.219808077812195,0.0,0.0,0.00036257505416870117,0.00032956719398513634,0.0009964942932128018,25,50,1.0,0.0,0.0,1.0,0.0,0.04,0.96,0.96
e710de99acb266b0,extrapolated_extreme,0.98,1.5385285353660583,0.0018137294572079553,1.9198710879683494,0.29342992350459096,0.09992834575474262,32.67800714492798,0.7269850939512252,0.14234246760606767,0.005,6.45768905087607e-07,6.45768905087607e-07,0.00033665835857391355,-0.03212131142616272,-0.00349189966917038,-0.000909096822142601,-0.25384552001953126,-0.0008560311794281006,-0.0010299725830554961,0.0,-1.2490454537328332e-08,-1.2490454537328332e-08,-0.004021079540252686,-0.0009782709553837776,0.0,0.0,0.0,-0.003788040613117367,-0.000689520463347435,-0.07986073074072919,0.10358357056975365,1.0,1.5381918770074845,1.951992399394512,0.29692182317376137,0.10083744257688522,32.93185266494751,0.7278411251306534,0.14337244018912315,0.005,6.582593596249353e-07,6.582593596249353e-07,0.5592493870854378,0.1220468107610941,0.011666666666666665,0.0,0.0,3.184714905192652,0.12793247673660516,10.316640926401384,0.003050112705677748,0.0016302602406358347,0.0003549665212631226,0.555228307545185,0.12106853980571032,0.011666666666666665,10.0,8.12,0.0,0.0,3.180926864579535,0.12724295627325774,10.236780195660655,0.024943213053047655,0.5,0.08058818039626203,1.0,0.0,1.0,0.22,0.36,1.9132450413703919,1.5306871104240418,2.158353910446167,0.22,0.36,1.913740894794464,1.5311026906967162,2.1598957633972167,0.0,0.0,0.0004958534240722123,0.00041558027267440956,0.0015418529510498047,25,50,0.98,0.020000000000000018,0.0,1.0,0.0,0.04,0.96,0.96
1dcc5d5b598b5dc3,normal,0.0,1.0192212343029678,0.0,0.03261285967193544,0.018292565541341902,0.020558909624814988,0.3561779873818159,0.11972548495978116,0.013249441776424646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03476743772625923,1.0,1.0192212343029678,0.03261285967193544,0.018292565541341902,0.020558909624814988,0.3561779873818159,0.11972548495978116,0.013249441776424646,0.0,0.0,0.0,0.0339305168017745,0.0162215974368155,0.0,0.0,0.0,2.8581215609659902,0.0819221120653674,0.2691462790663354,0.0,0.0,0.0,0.0339305168017745,0.0162215974368155,0.0,0.0,2.48,0.0,0.0,2.8581215609659902,0.0819221120653674,0.2691462790663354,0.024180680215358734,0.0,0.0,0.0,1.0,1.0,0.64,0.33547826394438746,1.0192212123423814,1.4692867607623339,1.9122059799730777,0.64,0.33547826394438746,1.0192212123423814,1.4692867607623339,1.9122059799730777,0.0,0.0,0.0,0.0,0.0,25,50,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1dcc5d5b598b5dc3,mild,0.0,1.5932797296345234,0.0,0.17968067758250983,0.052999061476439235,0.03636461064219475,2.2379548501968385,0.47654792487621306,0.029687177501618863,0.005,1.2893039092887192e-06,1.2893039092887192e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027870160005986692,1.0,1.5932797296345234,0.17968067758250983,0.052999061476439235,0.03636461064219475,2.2379548501968385,0.47654792487621306,0.029687177501618863,0.005,1.2893039092887192e-06,1.2893039092887192e-06,0.3397878557443619,0.041226485036313536,0.016666666666666666,0.0,0.0,3.156895749125116,0.09309364510700106,1.4904116800124272,0.0,0.0,0.0,0.3397878557443619,0.041226485036313536,0.016666666666666666,1.0,8.12,0.0,0.0,3.156895749125116,0.09309364510700106,1.4904116800124272,0.0230782201141119,0.5,0.0,1.0,0.0,0.0,0.2,0.32,1.982173433303833,1.5915060675144195,2.338570027351379,0.2,0.32,1.982173433303833,1.5915060675144195,2.338570027351379,0.0,0.0,0.0,0.0,0.0,25,50,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1dcc5d5b598b5dc3,medium,0.0,1.581539122313261,0.0,0.4312186073511839,0.15429779931902884,0.049654270634055135,6.535237793922424,0.6688468933105469,0.049803179875016215,0.005,1.183321001008153e-06,1.183321001008153e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029462449587881565,1.0,1.581539122313261,0.4312186073511839,0.15429779931902884,0.049654270634055135,6.535237793922424,0.6688468933105469,0.049803179875016215,0.005,1.183321001008153e-06,1.183321001008153e-06,0.5358340382575989,0.06370126962661743,0.011666666666666665,0.0,0.0,3.1525596874459425,0.09655368039384485,3.1122606811932445,0.0,0.0,0.0,0.5358340382575989,0.06370126962661743,0.011666666666666665,2.0,8.12,0.0,0.0,3.1525596874459425,0.09655368039384485,3.1122606811932445,0.023553307577967645,0.5,0.0,1.0,0.0,0.0,0.22,0.36,1.9674965524673462,1.5784068965911866,2.3024909019470217,0.22,0.36,1.9674965524673462,1.5784068965911866,2.3024909019470217,0.0,0.0,0.0,0.0,0.0,25,50,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1dcc5d5b598b5dc3,severe,0.08,1.5589656069874764,0.0002415211871266365,1.533531178832054,0.3075647397339344,0.09372164353728295,17.057988262176515,0.7907434779405594,0.0989875054359436,0.005,9.295464406022802e-07,9.295464406022802e-07,8.425474166870117e-05,-0.005457291603088379,-0.00024705886840820313,-0.0001294393837451935,-0.035684814453125,0.0,-0.00013558715581893921,0.0,1.5217228792607785e-08,1.5217228792607785e-08,0.0,-0.00010850250720977783,0.0,0.0,0.0,-0.0010031227012799616,-4.853785037994385e-05,-0.010532570165232756,0.0741010557115078,1.0,1.5588813522458076,1.5389884704351424,0.3078117986023426,0.09385108292102813,17.09367307662964,0.7907434779405594,0.09912309259176254,0.005,9.143292118096724e-07,9.143292118096724e-07,0.6647911995649338,0.12158308129757643,0.011666666666666665,0.0,0.0,3.1628551787603163,0.11951107908040286,6.433179443869909,0.00032486474141478537,0.00022592951077967882,8.425474166870117e-05,0.6647911995649338,0.12147457879036665,0.011666666666666665,4.0,8.12,0.0,0.0,3.1618520560590366,0.11946254123002291,6.422646873704676,0.028559096418321134,0.5,0.010532570165232756,1.0,0.0,0.0,0.22,0.36,1.9360132503509522,1.553087396621704,2.218811583518982,0.22,0.36,1.9360973358154296,1.553174648284912,2.2189996004104615,0.0,0.0,8.408546447746801e-05,8.725166320799893e-05,0.00018801689147940337,25,50,0.08,0.92,0.92,0.08,0.0,0.0,0.08,0.08
1dcc5d5b598b5dc3,extrapolated_extreme,0.58,1.5384820264577865,0.001338828238658607,1.9254275676608086,0.2940750847756863,0.10012699119746685,32.74179357528686,0.7269850939512252,0.14261381432414055,0.005,6.45768905087607e-07,6.45768905087607e-07,0.000290149450302124,-0.026564831733703612,-0.002846738398075104,-0.0007104513794183731,-0.19005908966064453,-0.0008560311794281006,-0.0007586258649826049,0.0,-1.2490454537328332e-08,-1.2490454537328332e-08,-0.004021079540252686,-0.0007411853969097138,0.0,0.0,0.0,-0.003788040613117367,-0.000533636324107647,-0.061879841956797466,0.10358357354998589,1.0,1.5381918770074845,1.951992399394512,0.29692182317376137,0.10083744257688522,32.93185266494751,0.7278411251306534,0.14337244018912315,0.005,6.582593596249353e-07,6.582593596249353e-07,0.5592493870854378,0.1220468107610941,0.011666666666666665,0.0,0.0,3.184714905192652,0.12793247673660516,10.316640926401384,0.0021736072842031716,0.0012189107621088625,0.00030845761299133303,0.555228307545185,0.12130562536418438,0.011666666666666665,10.0,8.12,0.0,0.0,3.180926864579535,0.12739884041249752,10.254761084444585,0.02494321346282959,0.5,0.06260729280442319,1.0,0.0,1.0,0.22,0.36,1.9132450413703919,1.5306871104240418,2.158353910446167,0.22,0.36,1.9136362814903258,1.5310293126106262,2.1594854307174685,0.0,0.0,0.00039124011993396657,0.00034220218658442825,0.0011315202713015893,25,50,0.58,0.42000000000000004,0.36,0.64,0.0,0.0,0.64,0.64
