Upstream,Raw_V3D,SIXS_U_V3D_seed307,SIXS_U_V3D_seed331,SIXS_U_V3D_seed353,SIXS_U_V3D_mean,SIXS_U_V3D_sd,Delta_V3D,Raw_PB,SIXS_U_PB_mean,Delta_PB,Source_RMSD_mean,Reference_RMSD_Raw,Reference_RMSD_SIXS,xTB_median_DeltaE,xTB_trimmed_DeltaE,xTB_lower_fraction,tau_median,tau_p99,tau_max
avgflow,0.5472,0.5708,0.5751,0.5806,0.5755,0.004912229636326071,0.028299999999999992,0.9529,0.9530666666666666,0.0001666666666666483,0.003512239466666666,0.6759700617,0.6760291524666666,0.28174577363333336,0.29604383360000003,0.017,0.003371642366666667,0.005561819433333334,0.0543897785
ditmc,0.1612,0.3931,0.3843,0.3936,0.39033333333333337,0.005230997355508174,0.22913333333333336,0.9186,0.9190333333333335,0.00043333333333350765,1.418711507166667,2.153034193,3.8544451557,-4.118883994966667,-4.5038474547,0.9933975277333333,0.009912321666666666,67.11008447753333,398.6802368164
