molecule_id,sample_id,method,source_type,rotatable_bond_count,has_ring,bond_violation,angle_violation,torsion_circular_error,ring_invalidity,clash_score,severe_clash,chirality_error,chirality_preserved,aligned_RMSD,MMFF_coverage,force_field_method,relaxation_energy_drop,relaxation_RMSD,optimization_success,ms_per_conformer,subsets
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0001,MMFF_50step,upstream_etflow_formal,1,True,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.05043131858110428,True,MMFF94s,5.765453850747335,0.05137471854686737,False,3.2296999997925013,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0000,upstream,upstream_etflow_formal,1,True,0.01745828427374363,0.019562380388379097,0.0012197959003970027,0.020083563402295113,0.0,False,0.0,True,0.011437006294727325,True,MMFF94s,5.12595559568112,0.04448555409908295,False,0.0,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0000,ECIR_4step_teacher,upstream_etflow_formal,1,True,0.014685356058180332,0.019633611664175987,0.0007195258513092995,0.01644451543688774,0.0,False,0.0,True,0.012780786491930485,True,MMFF94s,4.04427919483582,0.04308415949344635,False,66.50220000301488,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0000,MMFF_10step,upstream_etflow_formal,1,True,0.0027041123248636723,0.003811995266005397,0.0013775425031781197,0.0035574198700487614,0.0,False,0.0,True,0.04106837883591652,True,MMFF94s,5.12595559568112,0.04448555409908295,False,3.182200001901947,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0000,MMFF_50step,upstream_etflow_formal,1,True,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.05624222382903099,True,MMFF94s,5.32843937518021,0.06276143342256546,False,4.227199999149889,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0000,upstream,upstream_etflow_formal,1,True,0.011962909251451492,0.02010166458785534,0.2564617395401001,0.016284044831991196,0.0,False,0.0,True,1.2892018556594849,True,MMFF94s,5.66106692689128,0.034218937158584595,False,0.0,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0000,ECIR_4step_teacher,upstream_etflow_formal,1,True,0.01161410752683878,0.019093841314315796,0.24959993362426758,0.015601372346282005,0.0,False,0.0,True,1.2901136875152588,True,MMFF94s,4.74969167268587,0.03379137068986893,False,71.93479999841657,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0000,MMFF_10step,upstream_etflow_formal,1,True,0.0033231698907911777,0.00622105598449707,0.2123071551322937,0.004841955378651619,0.0,False,0.0,True,1.3008792400360107,True,MMFF94s,5.66106692689128,0.034218937158584595,False,2.8377999988151714,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0000,MMFF_50step,upstream_etflow_formal,1,True,0.0,0.0,0.0,0.0,0.0,False,0.0,True,1.4136521816253662,True,MMFF94s,6.683704653840984,0.16307203471660614,False,5.360499999369495,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0001,upstream,upstream_etflow_formal,1,True,0.01633615605533123,0.021205561235547066,0.21615219116210938,0.02236444130539894,0.0,False,0.0,True,1.3797518014907837,True,MMFF94s,6.842523331591572,0.03543880954384804,False,0.0,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0001,ECIR_4step_teacher,upstream_etflow_formal,1,True,0.01450271811336279,0.02031095139682293,0.2149641513824463,0.019548384472727776,0.0,False,0.0,True,1.3794385194778442,True,MMFF94s,5.218048174906514,0.03516535088419914,False,69.84469998860732,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0001,MMFF_10step,upstream_etflow_formal,1,True,0.0027429829351603985,0.004932620096951723,0.18837642669677734,0.0032727241050451994,0.0,False,0.0,True,1.3787119388580322,True,MMFF94s,6.842523331591572,0.03543880954384804,False,3.1433000112883747,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0001,MMFF_50step,upstream_etflow_formal,1,True,0.0,0.0,0.0,0.0,0.0,False,0.0,True,1.2676359415054321,True,MMFF94s,7.711859374793633,0.14874492585659027,False,4.0499000024283305,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,upstream,upstream_etflow_formal,1,True,0.013259150087833405,0.01977064460515976,0.142197847366333,0.014066179282963276,0.0,False,0.0,True,0.9318870306015015,True,MMFF94s,4.542565946911331,0.043303489685058594,False,0.0,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,ECIR_4step_teacher,upstream_etflow_formal,1,True,0.011070008389651775,0.019844336435198784,0.14230680465698242,0.012935137376189232,0.0,False,0.0,True,0.9299754500389099,True,MMFF94s,3.884830806451184,0.044192150235176086,False,69.64739999966696,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,MMFF_10step,upstream_etflow_formal,1,True,0.0026349094696342945,0.005273955874145031,0.15296292304992676,0.002340300939977169,0.0,False,0.0,True,0.9358535408973694,True,MMFF94s,4.542565946911331,0.043303489685058594,False,3.1390000076498836,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,MMFF_50step,upstream_etflow_formal,1,True,0.0,0.0,0.0,0.0,0.0,False,0.0,True,0.9785381555557251,True,MMFF94s,4.932284449259832,0.1546420454978943,False,5.34709999919869,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0000,upstream,upstream_etflow_formal,1,True,0.012214956805109978,0.0198564063757658,0.0010159015655517578,0.01571832410991192,0.0,False,0.0,True,0.9403852224349976,True,MMFF94s,4.042720221992425,0.03794978931546211,False,0.0,all;rotatable_le_2;ring;source_upstream_etflow_formal;MMFF_supported
