sample_id,bond_solver_failure_fraction,cartesian_bond_subspace_cosine,bond_cancellation_fraction,atom_clipping_fraction,graph_clip_scale_min
val::CC(=O)c1sc(-c2ccc(F)cc2)cc1NS(=O)(=O)c1ccc(C)cc1__gen0001,0.0,0.5721003860235214,0.0,0.0,1.0
val::CC(=O)c1sc(NCc2ccccc2)nc1C__gen0001,0.0,0.5510369390249252,0.0,0.0,1.0
val::CC(C)(C)C1CCc2c(sc(NC(=O)C3CCCO3)c2C(N)=O)C1__gen0000,0.0,0.6275030821561813,0.0,0.0,1.0
val::CC(C)(C)NC(=O)C(c1cccs1)N(Cc1ccc(F)cc1)C(=O)c1csnn1__gen0000,0.0,0.4779939651489258,0.0,0.0,1.0
val::CC(C)(C)[NH2+]C[C@H](O)COc1ccccc1C1CCCC1__gen0000::cartesian_s1_u0.350,0.0,0.8657838255167007,0.0,0.0,1.0
val::CC(C)(C)[NH2+]C[C@H](O)COc1ccccc1C1CCCC1__gen0000::cartesian_s2_u0.350,0.0,0.8910378366708755,0.0,0.0,1.0
val::CC(C)C(=O)Nc1cccc2nsnc12__gen0001::cartesian_s1_u0.350,0.0,0.5417973399162292,0.0,0.0,1.0
val::CC(C)C(=O)Nc1cccc2nsnc12__gen0001::cartesian_s2_u0.350,0.0,0.36624717712402344,0.0,0.0,1.0
val::CC(C)C(C(=O)NCc1ccco1)N(CC1CCCO1)C(=O)CNS(=O)(=O)c1ccccc1__gen0000,0.0,0.6524848937988281,0.0,0.0,1.0
val::CC(C)C(NC(=O)OCc1ccccc1)C(=O)OCC(=O)N1C(C)CCCC1C__gen0001,0.0,0.8041635006666183,0.0,0.0,1.0
val::CC(C)CC(=O)c1c[nH]c(C(=O)NCc2cccnc2)c1__gen0001::cartesian_s1_u0.350,0.0,0.7644842714071274,0.0,0.0,1.0
val::CC(C)CC(=O)c1c[nH]c(C(=O)NCc2cccnc2)c1__gen0001::cartesian_s2_u0.350,0.0,0.7561222016811371,0.0,0.0,1.0
val::CC(C)CC(NC(=O)C1CCC(C)CC1)C(=O)Nc1ccccc1F__gen0001::cartesian_s1_u0.350,0.0,0.9032324403524399,0.0,0.0,1.0
val::CC(C)CC(NC(=O)C1CCC(C)CC1)C(=O)Nc1ccccc1F__gen0001::cartesian_s2_u0.350,0.0,0.9103247970342636,0.0,0.0,1.0
val::CC(C)CC1=C_C(=C_c2ccc(-c3ccccc3)o2)C(=O)O1__gen0000,0.0,0.597139835357666,0.0,0.0,1.0
val::CC(C)N(C(=S)Nc1cccc(S(=O)(=O)N(C)C)c1)c1ccccc1__gen0000,0.0,0.75575852394104,0.0,0.0,1.0
val::CC(C)N1CC(C(=O)Nc2ccccc2)CC1=O__gen0000,0.0,0.8146736770868301,0.0,0.0,1.0
val::CC(C)N1C_C(=C_c2ccsc2)C(=O)_C(=C_c2ccsc2)C1__gen0001,0.0,0.3326387405395508,0.0,0.0,1.0
val::CC(C)NC(=O)NCCCCCCS(C)=O__gen0001,0.0,0.6877571046352386,0.0,0.0,1.0
val::CC(C)[C@H](NC(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)C(=O)NCc1ccncc1__gen0001,0.0,0.7466292828321457,0.0,0.0,1.0
val::CC(C)c1ccc(N(CC(=O)NCc2ccco2)C(=O)CCC(=O)Nc2nccs2)cc1__gen0001,0.0,0.5447973906993866,0.0,0.0,1.0
val::CC(C)c1ccc(NC2CCCN(C(=O)c3ccco3)C2)cc1__gen0001,0.0,0.6977617144584656,0.0,0.0,1.0
val::CC(C)c1ccc(NCCC(=O)c2ccc(Br)cc2)cc1__gen0000,0.0,0.8002225309610367,0.0,0.0,1.0
val::CC(C)c1nn2c(=O)cc(CSc3ccccc3NC(=O)c3ccccc3F)nc2s1__gen0001,0.0,0.5062451213598251,0.0,0.0,1.0
val::CC(C)n1c(-c2ccco2)csc1=Nc1cccnc1__gen0000,0.0,0.39829784631729126,0.0,0.0,1.0
val::CC(C)n1c(=O)c(C=Nc2cccc([N+](=O)[O-])c2)c(O)n(CCc2ccccc2)c1=O__gen0000::cartesian_s1_u0.350,0.0,0.8606375455856323,0.0,0.0,1.0
val::CC(C)n1c(=O)c(C=Nc2cccc([N+](=O)[O-])c2)c(O)n(CCc2ccccc2)c1=O__gen0000::cartesian_s2_u0.350,0.0,0.8396939486265182,0.0,0.0,1.0
val::CC(C)n1c(O)c(N=Nc2ccc(Cl)c(C(=O)O)c2)c2ccccc21__gen0001,0.0,0.7263916879892349,0.0,0.0,1.0
val::CC(CCc1ccccc1)NS(=O)(=O)c1ccccc1Cl__gen0001::cartesian_s1_u0.350,0.0,0.7645586878061295,0.0,0.0,1.0
val::CC(CCc1ccccc1)NS(=O)(=O)c1ccccc1Cl__gen0001::cartesian_s2_u0.350,0.0,0.8307299315929413,0.0,0.0,1.0
val::CC(C[NH+]1CCCC1)OC(=O)c1ccccc1Cl__gen0000::cartesian_s1_u0.350,0.0,0.7836145758628845,0.0,0.0,1.0
val::CC(C[NH+]1CCCC1)OC(=O)c1ccccc1Cl__gen0000::cartesian_s2_u0.350,0.0,0.7873833626508713,0.0,0.0,1.0
val::CC(NCc1ccccc1)C1COc2ccccc2O1__gen0001::cartesian_s1_u0.350,0.0,0.5954441577196121,0.0,0.0,1.0
val::CC(NCc1ccccc1)C1COc2ccccc2O1__gen0001::cartesian_s2_u0.350,0.0,0.6306326985359192,0.0,0.0,1.0
val::CC(Oc1ccc(F)cc1F)C(=O)NNC(=S)NCC1CCCO1__gen0001::cartesian_s1_u0.350,0.0,0.611192524433136,0.0,0.0,1.0
val::CC(Oc1ccc(F)cc1F)C(=O)NNC(=S)NCC1CCCO1__gen0001::cartesian_s2_u0.350,0.0,0.7202928364276886,0.0,0.0,1.0
val::CC(SC(=S)N(C)Cc1cccs1)C(=O)O__gen0000,0.0,0.4289620444178581,0.0,0.0,1.0
val::CC1(C)C(=O)C2(CCCC2)C(=O)OC1c1ccco1__gen0000::cartesian_s1_u0.350,0.0,0.6543979644775391,0.0,0.0,1.0
val::CC1(C)C(=O)C2(CCCC2)C(=O)OC1c1ccco1__gen0000::cartesian_s2_u0.350,0.0,0.695893332362175,0.0,0.0,1.0
val::CC1(C)CC(=O)C(C(=O)_C=C_NCCc2ccccc2)C(=O)C1__gen0000::cartesian_s1_u0.350,0.0,0.8672311902046204,0.0,0.0,1.0
val::CC1(C)CC(=O)C(C(=O)_C=C_NCCc2ccccc2)C(=O)C1__gen0000::cartesian_s2_u0.350,0.0,0.8917773962020874,0.0,0.0,1.0
val::CC1(C)CC(=O)C2=C(C1)NC(=O)NC2c1ccccc1__gen0000,0.0,0.8585069328546524,0.0,0.0,1.0
val::CC1(C)CC(=O)C=C(NC2=CC3OC(c4ccccc4)OCC3OC2=O)C1__gen0001,0.0,0.6941464096307755,0.0,0.0,1.0
val::CC1(C)Cc2c(cnn2-c2ccccc2)C(NC(=O)C2(C(N)=O)CC2)C1__gen0000::cartesian_s1_u0.350,0.0,0.5135751888155937,0.0,0.0,1.0
val::CC1(C)Cc2c(cnn2-c2ccccc2)C(NC(=O)C2(C(N)=O)CC2)C1__gen0000::cartesian_s2_u0.350,0.0,0.587884932756424,0.0,0.0,1.0
val::CC1CC(C)CN(C(=O)CSC2=Nc3ccccc3C3=NC(Cc4c[nH]c5ccccc45)C(=O)N23)C1__gen0000,0.0,0.6281980276107788,0.0,0.0,1.0
val::CC1CC(c2ccccc2)n2nc(NC(=O)c3ccco3)nc2N1__gen0001::cartesian_s1_u0.350,0.0,0.4350350350141525,0.0,0.0,1.0
val::CC1CC(c2ccccc2)n2nc(NC(=O)c3ccco3)nc2N1__gen0001::cartesian_s2_u0.350,0.0,0.4810127019882202,0.0,0.0,1.0
val::CC1CCC(C(C)C)C(OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(C)CCC2C(C)C)C1__gen0000::cartesian_s1_u0.350,0.0,0.8872231543064117,0.0,0.0,1.0
val::CC1CCC(C(C)C)C(OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(C)CCC2C(C)C)C1__gen0000::cartesian_s2_u0.350,0.0,0.784561812877655,0.0,0.0,1.0
val::CC1CCCCC1NC(=O)COC(=O)c1ccc(S(=O)(=O)N2CCOCC2)cc1__gen0001::cartesian_s1_u0.350,0.0,0.7686502635478973,0.0,0.0,1.0
val::CC1CCCCC1NC(=O)COC(=O)c1ccc(S(=O)(=O)N2CCOCC2)cc1__gen0001::cartesian_s2_u0.350,0.0,0.7509829252958298,0.0,0.0,1.0
val::CC1CCCCN1Cc1c(O)ccc2c(=O)c(-c3nc4ccccc4s3)c(N)oc12__gen0001::cartesian_s1_u0.350,0.0,0.5047295168042183,0.0,0.0,1.0
val::CC1CCCCN1Cc1c(O)ccc2c(=O)c(-c3nc4ccccc4s3)c(N)oc12__gen0001::cartesian_s2_u0.350,0.0,0.4735398292541504,0.0,0.0,1.0
val::CC1CCCN(C(=O)C2CCCN(S(=O)(=O)c3cccc4nsnc34)C2)C1__gen0000,0.0,0.5550500005483627,0.0,0.0,1.0
val::CC1CCN(CC(O)COc2cccc(F)c2)CC1__gen0001,0.0,0.7231797724962234,0.0,0.0,1.0
val::CC1CN(C(=O)CCC(=O)NCc2ccccc2)c2ccccc2O1__gen0001,0.0,0.7511078864336014,0.0,0.0,1.0
val::CCC(=O)Nc1cccc(-c2cc3ccccc3oc2=O)c1__gen0000,0.0,0.6922068148851395,0.0,0.0,1.0
val::CCC(=O)Nc1cccc2cccnc12__gen0000,0.0,0.7305472195148468,0.0,0.0,1.0
val::CCC(=O)Nc1cnc(NC(=O)c2cccc(F)c2)cc1C__gen0001::cartesian_s1_u0.350,0.0,0.7791140973567963,0.0,0.0,1.0
val::CCC(=O)Nc1cnc(NC(=O)c2cccc(F)c2)cc1C__gen0001::cartesian_s2_u0.350,0.0,0.778434082865715,0.0,0.0,1.0
val::CCC(=O)c1ccc(OCC(O)CNC(C)c2ccccc2)cc1__gen0001,0.0,0.7456154674291611,0.0,0.0,1.0
val::CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1__gen0000::cartesian_s1_u0.350,0.0,0.7008957117795944,0.0,0.0,1.0
val::CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1__gen0000::cartesian_s2_u0.350,0.0,0.7864151895046234,0.0,0.0,1.0
val::CCC(C)N1CCC(Oc2ccc(C(=O)NCc3ccccn3)cc2)CC1__gen0001,0.0,0.7679572850465775,0.0,0.0,1.0
val::CCC1(C)Cc2c(c(=O)n(-c3ccccc3)c3ncnc(N)c23)CO1__gen0000,0.0,0.731465294957161,0.0,0.0,1.0
val::CCC1CCCCN1C(=O)CSc1nc(C)cc(C)n1__gen0000,0.0,0.7374167442321777,0.0,0.0,1.0
val::CCCCC(=O)NCCNc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1__gen0000::cartesian_s1_u0.350,0.0,0.8246056437492371,0.0,0.0,1.0
val::CCCCC(=O)NCCNc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1__gen0000::cartesian_s2_u0.350,0.0,0.8533058315515518,0.0,0.0,1.0
val::CCCCC(=O)NS(=O)(=O)c1ccc(N=NN2CCOCC2)cc1__gen0001,0.0,0.7133501172065735,0.0,0.0,1.0
val::CCCCC(=O)Nc1cccc(NC(=O)c2cccc(Br)c2)c1__gen0000,0.0,0.7243703752756119,0.0,0.0,1.0
val::CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C__gen0000,0.0,0.8433467745780945,0.0,0.0,1.0
val::CCCCCCCC(=O)Nc1cc(C(=O)NCc2ccc(C)cc2)ccc1N1CCC2(CC1)CC(c1ccccc1)=NO2__gen0000,0.0,0.7164582461118698,0.0,0.0,1.0
val::CCCCCCCCCCCCCCCC(O)C(N)CO__gen0000::cartesian_s1_u0.350,0.0,0.8326068073511124,0.0,0.0,1.0
val::CCCCCCCCCCCCCCCC(O)C(N)CO__gen0000::cartesian_s2_u0.350,0.0,0.8261993378400803,0.0,0.0,1.0
val::CCCCN1CCc2c(c3ccccc3n2Cc2ccccc2)C1__gen0000,0.0,0.7585398256778717,0.0,0.0,1.0
val::CCCCNC(=O)N1CCCC(N(C)CCc2ccc(OC)c(OC)c2)C1__gen0000,0.0,0.8115666061639786,0.0,0.0,1.0
val::CCCCNC(=O)Oc1cccc(N2CCCC2=O)c1__gen0000::cartesian_s1_u0.350,0.0,0.7794025838375092,0.0,0.0,1.0
val::CCCCNC(=O)Oc1cccc(N2CCCC2=O)c1__gen0000::cartesian_s2_u0.350,0.0,0.8261432945728302,0.0,0.0,1.0
val::CCCCOC(=O)_C=C\C(=O)NC(N)=O__gen0000,0.0,0.7976640909910202,0.0,0.0,1.0
val::CCCCc1ccc(Nc2ncnc3nc[nH]c23)cc1__gen0000::cartesian_s1_u0.350,0.0,0.5926649272441864,0.0,0.0,1.0
val::CCCCc1ccc(Nc2ncnc3nc[nH]c23)cc1__gen0000::cartesian_s2_u0.350,0.0,0.5800998210906982,0.0,0.0,1.0
val::CCCN1C(=O)_C(=C\c2ccncc2)SC1=Nc1ccccc1__gen0000::cartesian_s1_u0.350,0.0,0.42501208186149597,0.0,0.0,1.0
val::CCCN1C(=O)_C(=C\c2ccncc2)SC1=Nc1ccccc1__gen0000::cartesian_s2_u0.350,0.0,0.4401745870709419,0.0,0.0,1.0
val::CCCN1C(=O)_C(=C_c2c(NCCCOCC)nc3c(C)cccn3c2=O)SC1=S__gen0000,0.0,0.6901224553585052,0.0,0.0,1.0
val::CCCN1C(=O)c2cc(C(=O)Nc3ccc(OC)c(OC)c3)ccc2C1Nc1ccc(OC)c(OC)c1__gen0001::cartesian_s1_u0.350,0.0,0.7990497797727585,0.0,0.0,1.0
val::CCCN1C(=O)c2cc(C(=O)Nc3ccc(OC)c(OC)c3)ccc2C1Nc1ccc(OC)c(OC)c1__gen0001::cartesian_s2_u0.350,0.0,0.761455163359642,0.0,0.0,1.0
val::CCCNC(=O)[C@H](C)NC(=O)c1ccc(Br)cc1__gen0000,0.0,0.7932220250368118,0.0,0.0,1.0
val::CCCNS(=O)(=O)c1ccc(OCC(=O)NCCCOC)cc1__gen0001::cartesian_s1_u0.350,0.0,0.7999186366796494,0.0,0.0,1.0
val::CCCNS(=O)(=O)c1ccc(OCC(=O)NCCCOC)cc1__gen0001::cartesian_s2_u0.350,0.0,0.7366669923067093,0.0,0.0,1.0
val::CCCOc1ccc(C(=O)NCc2cccnc2)cc1__gen0000,0.0,0.7050275206565857,0.0,0.0,1.0
val::CCCOc1ccc(N)cc1[NH3+]__gen0000::cartesian_s1_u0.350,0.0,0.84928297996521,0.0,0.0,1.0
