method,bond_relative_improvement,target_recovery
upstream,0.0,0.0
run_a_stage2b,0.12298385621463315,0.19813266820734565
v4_selected,0.09983529008081551,0.16083925983297265
d1_a_aux_only,0.12196959723425428,0.19649865018074375
d1_b_raw,-0.06749576814838905,-0.10873879749392266
d1_b_clipped,-0.06749576814838905,-0.10873879749392266
d1_b_safety_gated,0.10254556200338066,0.16520563298237298
d1_b_accepted,0.12272397141617696,0.19771398180305216
minimal_target,0.620714682376006,1.0
