stage,flex_bin,records,force_norm_median,B_fraction_median,A_fraction_median,T_fraction_median,BA_union_fraction_median,BAT_union_fraction_median,BAT_incremental_fraction_median,BA_projection_norm_median,T_projection_norm_median
after,all,18,0.04764226816553786,0.9502205653467413,0.8157983444793594,0.11765692475554343,0.9999649540008736,0.9999970950369557,3.0039475159716815e-05,0.047604712926923955,0.006036595599689417
before,all,18,0.06393592399840756,0.9733866384476735,0.8233535918177581,0.0974366513465992,0.9999836667298452,0.9999989237420162,1.2269976385011366e-05,0.06393555958592646,0.007400646024225471
after,high_ge_5,6,0.04764226816553786,0.9502205653467413,0.7832683491572361,0.1943172061606726,0.9995841574028184,0.9999897827190615,0.0003824877031997257,0.047604712926923955,0.009150513084469111
after,low_0_2,6,0.06119374767051826,0.9745083487938955,0.8143960202753482,0.05658210438625222,0.9999918621838365,0.9999970950369557,3.5894767991415666e-06,0.06118306330052524,0.003346622314222553
after,medium_3_4,6,0.03994052576227133,0.9395454206330667,0.8337397867947378,0.11765692475554343,0.9999893493366776,0.9999990145981521,9.398157160328185e-06,0.039940326345937735,0.00522552726411973
before,high_ge_5,6,0.0682235362145769,0.9733193402549241,0.7853099883194063,0.2055525112816975,0.99980164967805,0.9999978888441386,0.00019715186388296086,0.06812996476402863,0.013077196754147372
before,low_0_2,6,0.07092369079796676,0.9760374534833024,0.8332476015542898,0.05028454302374144,0.9999922532634147,0.999998617278117,3.505236873417895e-06,0.0709228852728058,0.003808382310836381
before,medium_3_4,6,0.05688704539787609,0.9696426935894318,0.8264021365893688,0.09733856888863712,0.9999958408917295,0.9999994513002648,3.6387649063767223e-06,0.05688680904230892,0.005841333078486855
