ba_seed,torsion_seed,kappa,dev_a_nll,dev_b_nll,selected
173,211,0.5,1.8138381809998958,1.8117162455882596,False
173,211,1.0,1.7656117076170097,1.7609524723602925,False
173,211,2.0,1.6521300445681735,1.6426906157471315,False
173,211,4.0,1.5120872268237473,1.4955497366020782,False
173,211,7.223849,1.4808736234108326,1.4550718699753633,True
173,211,8.0,1.4918766363365226,1.4639910103066953,False
173,211,16.0,1.775522286001554,1.7272245640589519,False
173,211,32.0,2.674533929557262,2.586569389126253,False
181,223,0.5,1.8119014525849648,1.809538717839961,False
181,223,1.0,1.7625451695906273,1.7579277342228463,False
181,223,2.0,1.6476544270803954,1.6402536458893784,False
181,223,4.0,1.5039650625019385,1.4943331661179469,False
181,223,7.242909,1.466646612042878,1.453626280797461,True
181,223,8.0,1.476133203882317,1.4622184477999776,False
181,223,16.0,1.7483496614856069,1.7242301592884017,False
181,223,32.0,2.6283857489682076,2.5831318197990374,False
193,239,0.5,1.8125171222689374,1.8096264108342952,False
193,239,1.0,1.763405316195966,1.7579025195208409,False
193,239,2.0,1.6489200815281775,1.6398624142799763,False
193,239,4.0,1.5090217000966104,1.4953160622785697,False
193,239,7.137179,1.479291799649086,1.4576370684307491,True
193,239,8.0,1.49208999278035,1.4681200994445347,False
193,239,16.0,1.7859346737457706,1.7400968533735597,False
193,239,32.0,2.708151858157144,2.6185034241615512,False
