method,records,success,failure,timeout,nonfinite,runtime_seconds
Source,600,600,0,0,0,108.25514435768127
BA_seed173,600,600,0,0,0,103.19191527366638
BA+C_seed173,600,600,0,0,0,101.9072597026825
BA_seed181,600,600,0,0,0,101.72867226600647
BA+C_seed181,600,600,0,0,0,99.62051749229431
BA_seed193,600,600,0,0,0,102.67458462715149
BA+C_seed193,600,600,0,0,0,101.02415800094604
