method,records,paired_success,failure,timeout,nonfinite,mean_delta_energy_kcal_mol,median_delta_energy_kcal_mol,improved_fraction,p75,p90,p95,p99,maximum,positive_tail_mean
BA_seed173,600,600,0,0,0,-0.9456574653527539,-0.9037755870675934,0.9366666666666666,-0.6109671476829075,-0.3569395411623038,0.0,0.0,0.06448456343370736,0.06448456343370736
BA+C_seed173,600,600,0,0,0,-0.9762466511358011,-0.9164825155565892,0.9916666666666667,-0.6327359048737188,-0.4342180803704321,-0.3257797652419745,-0.08815930915126913,0.06448456343370736,0.06448456343370736
BA_seed181,600,600,0,0,0,-0.9429591173522502,-0.9060349408863719,0.9316666666666666,-0.6076881133943715,-0.3683684682237534,0.0,0.0,0.0682558275997888,0.0682558275997888
BA+C_seed181,600,600,0,0,0,-0.9749171419218552,-0.9170869242024187,0.99,-0.6241183859799153,-0.4142806299238909,-0.3285433556860605,-0.0994788320648999,0.0682558275997888,0.0682558275997888
BA_seed193,600,600,0,0,0,-0.9404763630682051,-0.9043463210564917,0.9366666666666666,-0.6127464845301003,-0.3725136025974808,0.0,0.0,0.07398037251028743,0.07398037251028743
BA+C_seed193,600,600,0,0,0,-0.9723222279498657,-0.912769532580318,0.9916666666666667,-0.6277177933413312,-0.41572694701735313,-0.328351831512723,-0.11584081481569482,0.07398037251028743,0.07398037251028743
