group,method,molecules,records,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,mean_displacement,p95_displacement,max_displacement,mean_torsion_change,high_flex_torsion_change,selected_step,uncertainty
all,run_a_accepted,100,130,0.555,0.44499999999999995,0.445,0.56,0.0,0.03,0.53,0.0013587663616519308,0.007121750863734633,0.01182921463623643,0.000211517290554184,0.0005044153376366012,2.065,0.03608168258331716
all,run_a_raw,100,130,0.555,0.44499999999999995,0.0,0.54,0.46,0.03,0.97,0.0016769621803541669,0.007121750863734633,0.01182921463623643,0.00026297881894834065,0.0005241689129616134,2.065,0.03608168258331716
all,upstream,100,130,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.595224209604567e-07,1.2613921484216915e-06,2.6656007321435027e-06,0.0,0.0,0.0,0.0
ETFlow_normal,run_a_accepted,70,70,0.38571428571428573,0.6142857142857143,0.6142857142857143,0.38571428571428573,0.0,0.014285714285714285,0.37142857142857144,0.0002153552852628796,0.0015467992343474153,0.004963457118719816,2.9025870000103688e-05,2.1498118128095355e-05,1.3571428571428572,0.006456925344121243
ETFlow_normal,run_a_raw,70,70,0.38571428571428573,0.6142857142857143,0.0,0.35714285714285715,0.6428571428571429,0.014285714285714285,0.9857142857142858,0.0005726160855764257,0.0023540984606370313,0.005467089358717203,9.498271552794384e-05,4.887708595820836e-05,1.3571428571428572,0.006456925344121243
ETFlow_normal,upstream,70,70,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.240870137373479e-07,1.3657677584433257e-06,2.6656007321435027e-06,0.0,0.0,0.0,0.0
Cartesian_mild,run_a_accepted,22,22,0.9545454545454546,0.045454545454545414,0.045454545454545456,0.9545454545454546,0.0,0.045454545454545456,0.9090909090909091,0.004998808712674541,0.008039179095067083,0.014043995179235935,0.000637988696160557,0.0013604963632215831,3.727272727272727,0.1341399863700975
Cartesian_mild,run_a_raw,22,22,0.9545454545454546,0.045454545454545414,0.0,0.9545454545454546,0.045454545454545456,0.045454545454545456,0.9545454545454546,0.005383236725306647,0.008039179095067083,0.014043995179235935,0.0006587131872286343,0.0013604963632215831,3.727272727272727,0.1341399863700975
Cartesian_mild,upstream,22,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.772508222491193e-07,1.2463042821764246e-06,2.410858769508195e-06,0.0,0.0,0.0,0.0
Cartesian_medium,run_a_accepted,7,7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.007467654001499925,0.009657448530197144,0.014331852085888386,0.0017870396009779402,0.00614437460899353,4.0,0.3369537038462503
Cartesian_medium,run_a_raw,7,7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.007467654001499925,0.009657448530197144,0.014331852085888386,0.0017870396009779402,0.00614437460899353,4.0,0.3369537038462503
Cartesian_medium,upstream,7,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.631036829471018e-07,9.87844532573945e-07,1.945158146554604e-06,0.0,0.0,0.0,0.0
Cartesian_severe,upstream,0,0,,,,,,,,,,,,,,
Cartesian_severe,run_a_raw,0,0,,,,,,,,,,,,,,
Cartesian_severe,run_a_accepted,0,0,,,,,,,,,,,,,,
unseen_update_scale_0.35,run_a_accepted,30,60,0.95,0.050000000000000044,0.05,0.9666666666666667,0.0,0.06666666666666667,0.9,0.0040267255398930505,0.0077565648010931906,0.01182921463623643,0.0006373306051803714,0.001631222183156448,3.716666666666667,0.10520611614144097
unseen_update_scale_0.35,run_a_raw,30,60,0.95,0.050000000000000044,0.0,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.9333333333333333,0.004253769734835562,0.0077565648010931906,0.01182921463623643,0.0006549697269292665,0.0016331831759695584,3.716666666666667,0.10520611614144097
unseen_update_scale_0.35,upstream,30,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.42205037814377e-07,1.1977883247027421e-06,2.3672362203797093e-06,0.0,0.0,0.0,0.0
rotatable_le_2,run_a_accepted,29,34,0.5689655172413793,0.43103448275862066,0.43103448275862066,0.5862068965517241,0.0,0.10344827586206896,0.4827586206896552,0.0006945385732902211,0.003956784680485723,0.010100818704813719,5.014789850724026e-05,0.0,2.103448275862069,0.012638056979932148
rotatable_le_2,run_a_raw,29,34,0.5689655172413793,0.43103448275862066,0.0,0.5172413793103449,0.4827586206896552,0.10344827586206896,0.896551724137931,0.0009629825418132582,0.003956784680485723,0.010100818704813719,9.986915543338219e-05,0.0,2.103448275862069,0.012638056979932148
