group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement
rotatable_le_2,minimal_validity_target,29,34,1.3103448275862069,0.8549835173862761,0.0002697057829334818,0.03086209807801863,0.11943599309547451,0.013735994600273412,0.03111480217796333,0.024565981893703855,0.0,0.0,0.0,0.0,3.014537271596933,0.10680177339035536,0.0,0.0044743629539954685,0.006299074788199144,0.035925377160310745,0.034482758620689655,0.003284777560801213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1376738185705296,-0.534138768678531,-0.008729233984546414,-0.030530091611957497,-0.058134998355446194,0.0,0.0,0.0,0.0,0.0,0.0,-0.3457052659831443,0.7586206896551724,0.4384879004852525,0.854983517322047,1.354061010711152,0.004862982715512144,1.0,0.0,0.034482758620689655,0.9655172413793104,0.0,0.3448275862068966,0.6206896551724138,0.01382475839927792
rotatable_le_2,old_ecir_4step,29,34,1.3103448275862069,0.856363095343113,0.001649283739770281,0.13613451824619852,0.41454531477186185,0.016441306452555902,0.05469867470674217,0.0584725243649606,0.0,0.0,0.0,0.0,3.0172799286597285,0.32835934643336606,0.0,0.0080633120498909,0.009288083135696321,0.049315331503748894,0.0,0.0031121994984930315,0.0,1.0,4.0,0.03969016863868154,0.054278476356432355,0.0,0.0,0.0,0.0,-0.0324013984023497,-0.2390294470021437,-0.006023922132263924,-0.00694621908317866,-0.02422845588418944,0.0,0.0,0.0,0.0,0.0,0.002742657062794954,-0.12414769294013366,0.7586206896551724,0.4384879004852525,0.8563630943796758,1.355673059499983,0.003850912225657496,1.0,0.0,0.0,0.7586206896551724,0.2413793103448276,0.13793103448275862,0.8620689655172413,0.016913099773228166
rotatable_le_2,old_restrained_mmff_target,29,34,1.3103448275862069,0.870441502217075,0.015727690613732255,0.20002975135013976,0.44710826077337923,0.02709769245622487,0.16113080026919085,0.0924798940019361,0.0,0.0,0.0,0.0,3.2528601511260535,0.4716671030689432,0.0,0.1031463975407954,0.11637881321126017,0.34217798709869385,0.0,0.09034715319485885,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031493834701591526,-0.20646650100062633,0.004632463871405043,0.09948590647927004,0.009778913752786044,0.0,0.0,0.0,0.0,0.0,0.2383228795291195,0.019160063695443538,0.7241379310344828,0.4051545670834081,0.8704415054927612,1.3671945400279144,0.0016567364620076943,1.0,0.0,0.0,0.41379310344827586,0.5862068965517241,0.3103448275862069,0.6896551724137931,0.17098041474819184
rotatable_le_2,run_a_accepted,29,34,1.3103448275862069,0.8548595327562813,0.00014572115293864547,0.1556393426425498,0.5520507293143149,0.022465228584819828,0.05864338962971393,0.08126419846867693,0.0,0.0,0.0,0.0,3.014537271596933,0.4120422994320538,0.0,0.0006945385732902211,0.0008832224686208409,0.010100818704813719,0.43103448275862066,5.014789850724026e-05,0.0,0.5689655172413793,2.103448275862069,0.012638056979932148,0.10541841888736034,0.2516802056724655,0.0009607197148554782,0.0,0.0,-0.012896574005998414,-0.10152403245969065,0.0,-0.003001504160206893,-0.0014367817804731172,0.0,0.0,0.0,0.0,0.0,0.0,-0.04046473994144592,0.7586206896551724,0.4384879004852525,0.8548595327562813,1.3538824346173426,0.004222284809782587,0.5689655172413793,0.43103448275862066,0.43103448275862066,0.5862068965517241,0.0,0.10344827586206896,0.4827586206896552,0.003956784680485723
rotatable_le_2,run_a_raw,29,34,1.3103448275862069,0.8549454732765925,0.0002316616732498695,0.16653408694626956,0.575431704906554,0.022465228584819828,0.05871410302593019,0.08126419846867693,0.0,0.0,0.0,0.0,3.014537271596933,0.4287999659828874,0.0,0.0009629825418132582,0.0012286762854461719,0.010100818704813719,0.0,9.986915543338219e-05,0.0,0.5689655172413793,2.103448275862069,0.012638056979932148,0.10541841888736034,0.2516802056724655,0.0009607197148554782,0.0,0.0,-0.0020018297022786633,-0.0781430568674515,0.0,-0.0029307907639906324,-0.0014367817804731172,0.0,0.0,0.0,0.0,0.0,0.0,-0.023707073390612315,0.7586206896551724,0.4384879004852525,0.8549454732765925,1.353965270557794,0.004238297648984811,0.5689655172413793,0.43103448275862066,0.0,0.5172413793103449,0.4827586206896552,0.10344827586206896,0.896551724137931,0.003956784680485723
rotatable_le_2,stage_b_rescued,29,34,1.3103448275862069,0.8554049487193597,0.0006911371160170127,0.12894810549914837,0.4517836607992649,0.02108258712266026,0.051353026366118215,0.05364322521049401,0.0,0.0,0.0,0.0,3.0192035799641617,0.3294580896236484,0.0,0.0038374293541803073,0.004412773065255273,0.033041042275726795,0.2413793103448276,0.0010798212164884497,0.0,0.7586206896551724,1.5172413793103448,0.04017124337882831,0.05530530882292781,0.0,0.0,0.0,0.0,-0.039587811149399854,-0.20179110097474065,-0.0013826414621595678,-0.010291867423802614,-0.029057755038656038,0.0,0.0,0.0,0.0,0.0,0.004666308367227804,-0.12304894974985128,0.7586206896551724,0.4384879004852525,0.8554049496185677,1.3545498488920515,0.004194235043792889,0.7586206896551724,0.24137931034482762,0.2413793103448276,0.7586206896551724,0.0,0.10344827586206896,0.6551724137931034,0.01181182144209742
rotatable_le_2,upstream,29,34,1.3103448275862069,0.8547138116033427,0.0,0.16853591664854822,0.6535747617740055,0.022465228584819828,0.06164489378992083,0.08270098024915004,0.0,0.0,0.0,0.0,3.014537271596933,0.4525070393734997,0.0,5.288208195326723e-07,5.8383639268727e-07,1.6413280832239252e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586206896551724,0.4384879004852525,0.8547138083918855,1.353626453992108,0.0046253582013064416,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.943961006480093e-07
rotatable_3_5,minimal_validity_target,37,47,3.945945945945946,1.1596608190117657,0.000863501349010983,0.04732698589764737,0.135745239522736,0.01765680991465578,0.055700278910178994,0.036975792684667816,0.009909909909909911,0.0,0.0,0.0,3.210274547687306,0.15973087801510966,0.0,0.005592419963024542,0.00782176456373374,0.05839197710156441,0.02702702702702703,0.00573240123904307,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15479356609284878,-0.7410084628342727,-0.0043653456771091835,-0.06942280780247136,-0.05208485885649114,-0.0045045045045045045,0.0,0.0,0.0,0.0,-0.011958258820086092,-0.4183560927901396,0.5135135135135135,0.1704975739121437,1.1596608198172338,1.8950478547328227,0.00710751347847887,1.0,0.0,0.02702702702702703,0.972972972972973,0.0,0.43243243243243246,0.5405405405405406,0.0229221424087882
rotatable_3_5,old_ecir_4step,37,47,3.945945945945946,1.1642080046035148,0.005410686940760226,0.16266654663392016,0.47176791203988566,0.018062303711131617,0.1185394339515148,0.07002575730753911,0.014414414414414415,0.0,0.0,0.0,3.2169670153729286,0.4127458585648554,0.0,0.015147852056936638,0.01661442156025284,0.06458952464163303,0.0,0.007825200091984525,0.0,1.0,4.0,0.040844381409319674,0.06050247739295702,0.0,0.0,0.0,0.0,-0.03945400535657599,-0.404985790317123,-0.003959851880633348,-0.006583652761135553,-0.019034894233619846,0.0,0.0,0.0,0.0,0.0,-0.005265791134462731,-0.16534111224039383,0.5135135135135135,0.1704975739121437,1.1642080070199192,1.9007999864784446,0.005317151722674434,1.0,0.0,0.0,0.5945945945945946,0.40540540540540543,0.0,1.0,0.03543634638190269
rotatable_3_5,old_restrained_mmff_target,37,47,3.945945945945946,1.1839438098910693,0.025146492228314683,0.18434334933959148,0.3801756637120569,0.021335194717991997,0.12699171313323784,0.05314422036344941,0.007882882882882882,0.0,0.0,0.0,3.2806154071516485,0.39349749151523944,0.0,0.13088781547707481,0.14544579316232656,0.4022693336009979,0.0,0.10911605310802525,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017777202650904655,-0.49657803864495176,-0.0006869608737729691,0.0018686264205875027,-0.035916431177709554,-0.006531531531531532,0.0,0.0,0.0,0.0,0.05838260064425693,-0.1845894792900098,0.5135135135135135,0.1704975739121437,1.1839438123074737,1.9055272421321354,0.01164323599958742,1.0,0.0,0.0,0.4594594594594595,0.5405405405405406,0.21621621621621623,0.7837837837837838,0.18682708740234374
