record_id,molecule_id,seed,tau,source_rmsd_raw,max_atom_displacement,finite,w_B,w_A,reference_rmsd_angstrom,source_rmsd_angstrom,proposal_v3d,raw_v3d,proposal_pb,sanitization,all_atoms_connected,raw_pb,proposal_xtb_hartree,raw_xtb_hartree,delta_e_kcal_mol,matched_success,num_atoms,seed_concentration,topology_validity,raw_displacement_rms,kabsch_source_rmsd
ditmc-test-small:s00000:r000409:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,398.68023681640625,398.68023681640625,1536.0972534619327,True,0.48291489481925964,0.517085075378418,439.83169738782425,398.68023681640625,False,False,False,True,False,False,,,,False,41,True,False,398.68023681640625,398.68023681640625
ditmc-test-small:s00000:r002925:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,393.70245361328125,393.7024536132813,1506.3014501233563,True,0.48291489481925964,0.517085075378418,435.57600810736653,393.7024536132813,False,False,False,True,False,False,,,,False,41,True,False,393.7024536132813,393.7024536132813
ditmc-test-small:s00000:r001657:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,383.75518798828125,383.75518798828125,1491.1091870083194,True,0.48291489481925964,0.517085075378418,421.5229228337006,383.75518798828125,False,False,False,True,False,False,,,,False,41,True,False,383.75518798828125,383.75518798828125
ditmc-test-small:s00000:r001777:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,374.9910888671875,374.9910888671875,1373.6124118433736,True,0.48291489481925964,0.517085075378418,411.6381210567926,374.9910888671875,False,False,False,True,False,False,,,,False,41,True,False,374.9910888671875,374.9910888671875
ditmc-test-small:s00001:r001328:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,374.2742919921875,374.27429199218756,1466.8484592836073,True,0.48291489481925964,0.517085075378418,412.97473308019676,374.27429199218756,False,False,False,True,False,False,,,,False,41,True,False,374.27429199218756,374.27429199218756
ditmc-test-small:s00000:r002795:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,366.13763427734375,366.13763427734375,1352.2086328509874,True,0.48291489481925964,0.517085075378418,402.1662705679499,366.13763427734375,False,False,False,True,False,False,,,,False,41,True,False,366.13763427734375,366.13763427734375
ditmc-test-small:s00000:r001777:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,356.7705078125,356.7705078125,1309.3365393492218,True,0.48291489481925964,0.517085075378418,393.1728112233425,356.7705078125,False,False,False,True,False,False,,-58.537383165156,,False,41,True,False,356.7705078125,356.7705078125
ditmc-test-small:s00001:r000737:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,355.5777587890625,355.5777587890625,1338.605196704216,True,0.48291489481925964,0.517085075378418,390.4502200701021,355.5777587890625,False,False,False,True,False,False,,,,False,41,True,False,355.5777587890625,355.5777587890625
ditmc-test-small:s00001:r000320:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,352.03948974609375,352.0394897460937,1253.1171786216883,True,0.48291489481925964,0.517085075378418,387.52087382514526,352.0394897460937,False,False,False,True,False,False,,-59.913541464305,,False,41,True,False,352.0394897460937,352.0394897460937
ditmc-test-small:s00000:r000064:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,350.11444091796875,350.1144409179688,1216.4458147456035,True,0.48291489481925964,0.517085075378418,385.06652160159024,350.1144409179688,False,False,False,True,False,False,,,,False,41,True,False,350.1144409179688,350.1144409179688
ditmc-test-small:s00000:r000064:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,346.03704833984375,346.03704833984375,1261.0710127868301,True,0.48291489481925964,0.517085075378418,387.98746855792405,346.03704833984375,False,False,False,True,False,False,,2.714980392619,,False,41,True,False,346.03704833984375,346.03704833984375
ditmc-test-small:s00001:r001082:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,307,345.73193359375,345.73193359375,1288.207566926745,True,0.48291489481925964,0.517085075378418,379.68519134648443,345.73193359375,False,False,False,True,False,False,,,,False,41,True,False,345.73193359375,345.73193359375
