method,status,N,median_seconds_per_conformer,p95_seconds_per_conformer,hardware_mode
MMFF94s,DERIVED_FROM_FULL_RUN,5000,0.01752814999781549,0.04328923998546089,CPU; in-process RDKit; one optimization at a time
SIXS,NOT_RERUN__NO_SIXS_REINFERENCE_GUARD,0,,,GPU runtime benchmark requires separately authorized non-scientific re-inference
