comparison,metric,effect_definition,higher_is_better,finite_records,finite_molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,wins,ties,losses,cluster_unit,records_per_primary_molecule,bootstrap_resamples
source_to_unrestricted_seed307,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.0005953456855294078,0.0005753453556507451,0.0006175858121227639,0.0005431608047308245,-7.796102340232313e-06,0.0003168337264832788,0.0005431608047308245,0.0008137025981669321,0.0012893812590775064,131,0,2369,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0035588715107303707,-0.003627721753684758,-0.003489678321560826,-0.003454863310675825,-0.00630746119105875,-0.004423504968190745,-0.003454863310675825,-0.0024847107358823193,-0.0011983157893342249,2478,0,22,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0013451651705646028,-0.0014002992521423324,-0.001291763240680921,-0.0013394989781980293,-0.003461660629465015,-0.002204246384702701,-0.0013394989781980293,-0.0005180303362697231,0.0007827510060964995,2134,0,366,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.0005519989411129867,0.0005313630308864933,0.0005752698395923504,0.0005022913814207441,-2.9312971394507966e-05,0.00027516020432039046,0.0005022913814207441,0.000768467998684727,0.0012247316310635137,150,0,2350,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0035707656400645873,-0.0036437152776730595,-0.003499593973625338,-0.0034549213610506726,-0.006425409597652526,-0.004497890768206761,-0.0034549213610506726,-0.002462066448877833,-0.0010915776281023451,2470,0,30,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0014694532650099197,-0.0015250802799217228,-0.0014153719601571943,-0.0014348326748785684,-0.003774370516145414,-0.0023944333826847915,-0.0014348326748785684,-0.0006025268045742882,0.0008439740568445883,2158,0,342,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.00032575103854464463,0.00030877685483081277,0.0003444734898521937,0.00028867229067663924,-0.00017093217243171512,9.511037991791205e-05,0.00028867229067663924,0.0005073813737247468,0.0008802626824309148,381,0,2119,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0032332661781896994,-0.0033029545765568217,-0.003164771952797822,-0.0031242394706707437,-0.005957305100435035,-0.004152811154052999,-0.0031242394706707437,-0.0021437315483059474,-0.0008162191249056259,2465,0,35,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0015998073771795825,-0.0016547285959528021,-0.0015435202710481944,-0.001575763965689531,-0.003941919069482242,-0.0025370331394655296,-0.001575763965689531,-0.0006763030519390369,0.000710412051421646,2201,0,299,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
