source_type,subset,molecules,conformers,fraction_improved,fraction_worsened,fraction_nearly_unchanged,gate_mean,gate_p50,gate_p90,gate_p95,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,upstream_bond_violation,refined_bond_violation,delta_bond_violation,upstream_angle_violation,refined_angle_violation,delta_angle_violation,upstream_torsion_circular_error,refined_torsion_circular_error,delta_torsion_circular_error,upstream_ring_invalidity,refined_ring_invalidity,delta_ring_invalidity,upstream_clash_score,refined_clash_score,delta_clash_score,upstream_chirality_error,refined_chirality_error,delta_chirality_error,upstream_aligned_RMSD,refined_aligned_RMSD,delta_aligned_RMSD,delta_internal_error_sum,upstream_COV_P,refined_COV_P,delta_COV_P,upstream_COV_R,refined_COV_R,delta_COV_R,upstream_MAT_P,refined_MAT_P,delta_MAT_P,upstream_MAT_R,refined_MAT_R,delta_MAT_R,upstream_diversity,refined_diversity,delta_diversity
cartesian_teacher_100k,all,25,50,1.0,0.0,0.0,0.10243415324017406,0.10284873954951763,0.10547499549388885,0.10583479157090186,0.14842100337147712,0.13308828353881835,0.238677569180727,0.14337244018912312,0.06433033779263493,-0.0790421023964882,0.10083744257688519,0.04912232384085652,-0.05171511873602867,0.12793247673660516,0.09402308911085125,-0.03390938762575387,0.12204681076109405,0.05480609139427537,-0.06724071936681869,6.582593596249353e-07,1.1898171942448244e-06,5.31557834619889e-07,0.005,0.005,0.0,1.5381918555498124,1.5758115562796593,0.03761970072984693,-0.2319067965672548,0.22,0.22,0.0,0.36,0.36,0.0,1.913245005607605,1.9615386152267456,0.0482936096191406,1.530687117576599,1.5722161662578582,0.04152904868125917,2.158353967666626,2.289829158782959,0.13147519111633305
cartesian_teacher_100k,rotatable_3_5,10,20,1.0,0.0,0.0,0.09222020315937698,0.09203158747404813,0.09539009097963572,0.09589410604909063,0.11281683184206485,0.09931817017495632,0.1943099569529295,0.12543579265475271,0.06622807253152127,-0.059207720123231423,0.0851802825927734,0.04619487691670653,-0.038985405676066856,0.08593441098928448,0.06620361870154737,-0.019730792287737123,0.09616410285234447,0.04915036805905398,-0.0470137347932905,0.0,0.0,0.0,0.0,0.0,0.0,1.0321907818317413,1.052794837206602,0.020604055374860774,-0.16493765288032589,0.35,0.35,0.0,0.5,0.5,0.0,1.3991517066955566,1.4348571062088014,0.035705399513244626,1.087404692173004,1.1148600161075592,0.027455323934555055,1.5151410222053527,1.6245760798454285,0.10943505764007569
cartesian_teacher_100k,rotatable_ge_6,15,30,1.0,0.0,0.0,0.10924345329403877,0.1100601742664973,0.11219826517005761,0.11246191525210937,0.17215711772441863,0.15560169244805971,0.268255977332592,0.15533020521203675,0.06306518130004403,-0.0922650239119927,0.11127554923295972,0.05107395512362318,-0.060201594109336544,0.15593118723481894,0.11256940271705387,-0.04336178451776504,0.1393019493669271,0.058576573617756304,-0.0807253757491708,1.0970989327082256e-06,1.9830286570747074e-06,8.859297243664817e-07,0.008333333333333333,0.008333333333333333,0.0,1.8755259046951929,1.9244893689950306,0.0489634642998377,-0.2765528923585407,0.13333333333333333,0.13333333333333333,0.0,0.26666666666666666,0.26666666666666666,0.0,2.2559738715489703,2.3126596212387085,0.05668574968973791,1.826208734512329,1.8771202663580577,0.05091153184572859,2.5871625979741415,2.7333312114079793,0.14616861343383794
cartesian_teacher_100k,ring,25,50,1.0,0.0,0.0,0.10243415324017406,0.10284873954951763,0.10547499549388885,0.10583479157090186,0.14842100337147712,0.13308828353881835,0.238677569180727,0.14337244018912312,0.06433033779263493,-0.0790421023964882,0.10083744257688519,0.04912232384085652,-0.05171511873602867,0.12793247673660516,0.09402308911085125,-0.03390938762575387,0.12204681076109405,0.05480609139427537,-0.06724071936681869,6.582593596249353e-07,1.1898171942448244e-06,5.31557834619889e-07,0.005,0.005,0.0,1.5381918555498124,1.5758115562796593,0.03761970072984693,-0.2319067965672548,0.22,0.22,0.0,0.36,0.36,0.0,1.913245005607605,1.9615386152267456,0.0482936096191406,1.530687117576599,1.5722161662578582,0.04152904868125917,2.158353967666626,2.289829158782959,0.13147519111633305
upstream_etflow_formal,all,25,50,0.88,0.12,0.0,0.036135806469246745,0.03529837979003787,0.03810438076034189,0.03865759466774762,0.006512292390689254,0.0054068481782451275,0.016208913791924715,0.013249441776424597,0.011789496820419973,-0.0014599449560046241,0.020558909624814943,0.02066293843090529,0.0001040288060903458,0.08192211206536737,0.08112317420542237,-0.0007989378599449912,0.016221597436815456,0.013733220342546653,-0.002488377094268802,0.0,0.0,0.0,0.0,0.0,0.0,1.0192212381027639,1.0199407160282135,0.0007194779254495956,-0.004643231104128072,0.64,0.64,0.0,0.33547826394438746,0.33414493039250376,-0.0013333335518836958,1.0192212425917386,1.0199407321587204,0.0007194895669817688,1.4692867527157067,1.470325021930039,0.0010382692143320832,1.9122060593962669,1.914285321086645,0.002079261690378146
upstream_etflow_formal,rotatable_le_2,15,30,0.9333333333333333,0.06666666666666667,0.0,0.03671731110662222,0.0359163923189044,0.03870408955961466,0.039239941034466035,0.006288053002208471,0.004929821495898068,0.01622365089133382,0.013407311091820346,0.012171891269584446,-0.0012354198222359035,0.020414246680835836,0.020412631891667785,-1.6147891680503081e-06,0.07959518822996564,0.07828877170880633,-0.0013064165211593053,0.016435085547467025,0.01423101633166268,-0.00220406921580434,0.0,0.0,0.0,0.0,0.0,0.0,0.7619958831307788,0.7622114529212316,0.0002155697904527137,-0.004747520348367599,0.7666666666666667,0.7666666666666667,0.0,0.5155555595954259,0.5133333370089531,-0.0022222225864728263,0.7619958896189929,0.7622114668910702,0.00021557727207734747,1.0279855029036602,1.0283416751151284,0.00035617221146817086,1.4922284776965777,1.4931138512988886,0.0008853736023107889
upstream_etflow_formal,rotatable_3_5,8,16,0.75,0.25,0.0,0.03488290848326869,0.03397305536782369,0.036859446472954006,0.03745148751768283,0.006349189818138257,0.005668178549967706,0.0137647824594751,0.012861724360845943,0.011171948164701413,-0.0016897761961445312,0.02015091071370985,0.020164506509900045,1.359579619019378e-05,0.08832790562883014,0.08829294121824201,-3.4964410588137883e-05,0.01580412726616483,0.013069958135019936,-0.0027341691311448934,0.0,0.0,0.0,0.0,0.0,0.0,1.2805743347853422,1.2817102875560522,0.0011359527707099706,-0.004445313941687369,0.5,0.5,0.0,0.07753623370081182,0.07753623370081182,0.0,1.2805743291974068,1.2817103043198586,0.00113597512245181,2.052674174308777,2.054391175508499,0.0017170011997223178,2.3238916993141174,2.327263817191124,0.003372117877006392
upstream_etflow_formal,rotatable_ge_6,2,4,1.0,0.0,0.0,0.0367861136328429,0.03596458351239562,0.03858630191534758,0.03911442551761865,0.008846498094499111,0.007939226808957756,0.0258749108761549,0.0136162915732711,0.011391733074560699,-0.0022245584987104,0.0232758773490786,0.024533965159207523,0.0012580878101289246,0.07375086657702917,0.07370212487876412,-4.874169826504793e-05,0.016290317289531175,0.012652799254283274,-0.0036375180352479,0.0,0.0,0.0,0.0,0.0,0.0,1.9029990136623383,1.905831903219223,0.00283288955688471,-0.004652730422094423,0.25,0.25,0.0,0.01666666753590105,0.01666666753590105,0.0,1.9029990434646606,1.9058319330215454,0.0028328895568847656,2.445496439933777,2.4489355087280273,0.0034390687942504883,3.415295362472534,3.4211573600769043,0.005861997604370339
upstream_etflow_formal,ring,25,50,0.88,0.12,0.0,0.036135806469246745,0.03529837979003787,0.03810438076034189,0.03865759466774762,0.006512292390689254,0.0054068481782451275,0.016208913791924715,0.013249441776424597,0.011789496820419973,-0.0014599449560046241,0.020558909624814943,0.02066293843090529,0.0001040288060903458,0.08192211206536737,0.08112317420542237,-0.0007989378599449912,0.016221597436815456,0.013733220342546653,-0.002488377094268802,0.0,0.0,0.0,0.0,0.0,0.0,1.0192212381027639,1.0199407160282135,0.0007194779254495956,-0.004643231104128072,0.64,0.64,0.0,0.33547826394438746,0.33414493039250376,-0.0013333335518836958,1.0192212425917386,1.0199407321587204,0.0007194895669817688,1.4692867527157067,1.470325021930039,0.0010382692143320832,1.9122060593962669,1.914285321086645,0.002079261690378146
