molecule_id,sample_id,source_type,rotatable_bond_count,has_ring,gate_mean,gate_p50,gate_p90,gate_p95,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,upstream_bond_violation,refined_bond_violation,delta_bond_violation,upstream_angle_violation,refined_angle_violation,delta_angle_violation,upstream_torsion_circular_error,refined_torsion_circular_error,delta_torsion_circular_error,upstream_ring_invalidity,refined_ring_invalidity,delta_ring_invalidity,upstream_clash_score,refined_clash_score,delta_clash_score,upstream_chirality_error,refined_chirality_error,delta_chirality_error,upstream_aligned_RMSD,refined_aligned_RMSD,delta_aligned_RMSD,delta_internal_error_sum,repair_outcome,subsets
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,upstream_etflow_formal,1,True,0.03631666395813227,0.03527846559882164,0.03906151279807091,0.03968861885368824,0.007667146623134613,0.00624309154227376,0.020262103527784348,0.0117540825158357,0.0117835300043225,2.9447488486799775e-05,0.0189402364194393,0.0199146438390016,0.0009744074195623016,0.0062724947929382,0.0026203989982604,-0.0036520957946778003,0.0158925000578165,0.0151527523994445,-0.0007397476583719982,0.0,0.0,0.0,0.0,0.0,0.0,1.4835087060928345,1.483340859413147,-0.0001678466796875,-0.003387988545000697,improved,all;rotatable_le_2;ring
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,upstream_etflow_formal,1,True,0.03514334838837385,0.033952195197343826,0.03814075328409672,0.03886317554861307,0.007873676717281342,0.0064506069757044315,0.019590752199292183,0.0114568304270505,0.0107377665117383,-0.0007190639153122,0.0204851310700178,0.0207770634442567,0.0002919323742388985,0.0838404893875122,0.094297781586647,0.010457292199134813,0.013426000252366,0.0128290532156825,-0.0005969470366835004,0.0,0.0,0.0,0.0,0.0,0.0,1.4027998447418213,1.402923822402954,0.0001239776611328125,0.00943321362137801,worsened,all;rotatable_le_2;ring
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0001,upstream_etflow_formal,1,True,0.04395531490445137,0.04254554770886898,0.047054748982191086,0.0479147769510746,0.006888127885758877,0.005379126872867346,0.015082334168255329,0.0196160692721605,0.0165693815797567,-0.0030466876924038003,0.0200734864920377,0.0183963812887668,-0.0016771052032709018,0.0154588222503662,0.0133721828460693,-0.002086639404296901,0.0236445181071758,0.0183240249752998,-0.005320493131875999,0.0,0.0,0.0,0.0,0.0,0.0,0.0127643411979079,0.0138016985729336,0.001037357375025699,-0.012130925431847602,improved,all;rotatable_le_2;ring
Brc1ccc(-c2nc3ccccc3s2)s1,val::Brc1ccc(-c2nc3ccccc3s2)s1__gen0000,upstream_etflow_formal,1,True,0.03500177711248398,0.03380131348967552,0.03767038397490979,0.038399269245564936,0.005195898469537497,0.004464549478143454,0.011062038131058216,0.0174582842737436,0.0146853560581803,-0.0027729282155633025,0.019562380388379,0.0196336116641759,7.123127579690067e-05,0.001219795900397,0.0007195258513092,-0.0005002700490878,0.0200835634022951,0.0164445154368877,-0.0036390479654073993,0.0,0.0,0.0,0.0,0.0,0.0,0.0114370062947273,0.0127807864919304,0.0013437801972031004,-0.0068410149542616015,improved,all;rotatable_le_2;ring
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0000,upstream_etflow_formal,1,True,0.03722478821873665,0.03595002926886082,0.04020674489438534,0.04101403784006834,0.007534427102655172,0.005886375904083252,0.018018586561083794,0.0119629092514514,0.0116141075268387,-0.0003488017246127007,0.0201016645878553,0.0190938413143157,-0.0010078232735396021,0.2564617395401001,0.2495999336242675,-0.006861805915832603,0.0162840448319911,0.015601372346282,-0.0006826724857090984,0.0,0.0,0.0,0.0,0.0,0.0,1.2892018556594849,1.2901136875152588,0.0009118318557739258,-0.008901103399694004,improved,all;rotatable_le_2;ring
Brc1ccc(C2=CSC3=NCCN23)cc1,val::Brc1ccc(C2=CSC3=NCCN23)cc1__gen0001,upstream_etflow_formal,1,True,0.04268610663712025,0.04135242849588394,0.04588116928935051,0.04673867598176002,0.008850537240505219,0.006614319514483213,0.019566986709833145,0.0163361560553312,0.0145027181133627,-0.0018334379419684983,0.021205561235547,0.0203109513968229,-0.0008946098387240982,0.2161521911621093,0.2149641513824463,-0.0011880397796630027,0.0223644413053989,0.0195483844727277,-0.0028160568326712,0.0,0.0,0.0,0.0,0.0,0.0,1.3797518014907837,1.3794385194778442,-0.0003132820129394531,-0.006732144393026799,improved,all;rotatable_le_2;ring
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,upstream_etflow_formal,1,True,0.04265868291258812,0.04176047071814537,0.0450409933924675,0.045655313134193416,0.008418207056820393,0.006272167433053255,0.02396843396127224,0.0132591500878334,0.0110700083896517,-0.0021891416981816986,0.0197706446051597,0.0198443364351987,7.369183003900007e-05,0.142197847366333,0.1423068046569824,0.00010895729064938631,0.0140661792829632,0.0129351373761892,-0.001131041906773999,0.0,0.0,0.0,0.0,0.0,0.0,0.9318870306015016,0.92997545003891,-0.0019115805625915527,-0.003137534484267311,improved,all;rotatable_le_2;ring
Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0000,upstream_etflow_formal,1,True,0.04182082507759333,0.04094633832573891,0.044148615747690204,0.04474764466285706,0.007681152783334255,0.005849918350577354,0.022806977853178978,0.0122149568051099,0.0117571176961064,-0.0004578391090035005,0.0198564063757658,0.019269136711955,-0.0005872696638107994,0.0010159015655517,0.0007510185241699,-0.00026488304138179994,0.0157183241099119,0.0151224052533507,-0.0005959188565612013,0.0,0.0,0.0,0.0,0.0,0.0,0.9403852224349976,0.9382913708686828,-0.0020938515663148083,-0.001905910670757301,improved,all;rotatable_le_2;ring
Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,val::Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1__gen0000,upstream_etflow_formal,4,True,0.037097105756402016,0.03521655313670635,0.04108683317899704,0.042243716865777964,0.0067117647267878056,0.00608180183917284,0.015873296186327934,0.0135959461331367,0.011413000524044,-0.0021829456090927003,0.0228091422468423,0.0217316765338182,-0.0010774657130241012,0.0909625068306922,0.0863890945911407,-0.004573412239551489,0.0145931029692292,0.0111069120466709,-0.0034861909225583007,0.0,0.0,0.0,0.0,0.0,0.0,0.5904262661933899,0.5909175872802734,0.0004913210868835449,-0.011320014484226591,improved,all;rotatable_3_5;ring
Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,val::Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1__gen0001,upstream_etflow_formal,4,True,0.036522479727864265,0.03475266322493553,0.040272340178489685,0.041365060955286026,0.006447491701692343,0.006036823149770498,0.011767245829105377,0.0129739791154861,0.0100706741213798,-0.0029033049941062997,0.0195383485406637,0.0196937676519155,0.0001554191112518033,0.0490271598100662,0.0501205176115036,0.0010933578014373987,0.0162130668759346,0.0122994882985949,-0.003913578577339701,0.0,0.0,0.0,0.0,0.0,0.0,0.2657491266727447,0.2659560143947601,0.00020688772201538086,-0.005568106658756799,improved,all;rotatable_3_5;ring
