method,bond_delta,angle_delta,active_angle_delta,clash_delta,ring_delta,chirality_delta,weighted_bac_delta,rmsd_delta,mat_p_delta,mat_r_delta,cov_p_delta,cov_r_delta,acceptance,rollback,mean_displacement,evaluation_seconds,checkpoint_sha256,config_sha256
D1,-0.09357415296848241,-0.002480977735373498,-0.004571566619313329,-3.9160543109870034e-10,-0.010889749965816728,0.0,-0.17161077699483204,0.00039310376072923477,0.00039310354972258365,0.0006523855018429457,-0.00020000000596046447,-0.00015372396074235436,0.9698333333333332,0.030166666666666786,0.006691271268002683,1944.2190000000119,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426,cea71c6d9e5c12565707a127c7b7390f4caed7d22611fadaebb1fab321cfa645
V5-B,-0.09554934737232201,-0.003183540273193885,-0.005859716555873399,-1.1105959079790279e-08,-0.012984817643401515,0.0,-0.1872241186246925,0.00038946865079924573,0.0003894680815748861,0.0006432627029716991,-0.0002333333373069763,-0.00015265511833131309,0.9738666666666667,0.026133333333333342,0.007348858237583261,3481.2969999999914,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426,d1e70583f77d98e95194fe7ee06eac797da4cc268ef875d54a267295eef92a41
V7,-0.09231222247543433,-0.00410503833803037,-0.00736170848441517,-1.8853959522847867e-08,-0.011430191853580367,0.0,-0.17624497704748573,0.0003855084590303398,0.0003855083229020232,0.000641806724108753,-0.00020000000596046447,-0.00014512746818363663,0.9686333333333333,0.031366666666666654,0.007062350113696625,3652.3279999999795,9348744817ef7eec6d9d682dd95a35f0be86f0565b6dd060e8d5fe54e609e426,cea71c6d9e5c12565707a127c7b7390f4caed7d22611fadaebb1fab321cfa645
