method,molecule_id,sample_id,source,severity,update_scale,rotatable_bond_count,has_ring,clean_valid,groups,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,reject_reasons,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score
B,COc1ccc(N2CC(C(=O)O)CC2=O)cc1,val::COc1ccc(N2CC(C(=O)O)CC2=O)cc1__gen0000,ETFlow_formal_upstream,normal,0.0,5,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.4609226286411285,-0.0006734728813171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0552232447494543,0.0,0.0,0.0071901986375451,0.009253179654479,0.0255257412791252,0.0,0.00329608656466,0.0,1.0,4.0,0.0,,0.0,0.4200926125049591,0.0051563032902777,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322580635547637,-0.0747821182012558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446287102628422,-0.0509535931050777
B,COc1ccc(N2CC(C(=O)O)CC2=O)cc1,val::COc1ccc(N2CC(C(=O)O)CC2=O)cc1__gen0001,ETFlow_formal_upstream,normal,0.0,5,True,False,all;ETFlow_normal;rotatable_3_5;ring,0.7283532619476318,-0.0004231333732604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2475796177346803,0.0,0.0,0.0069356067106127,0.0096434941515326,0.0271626953035593,0.0,0.0021702230442315,0.0,1.0,4.0,0.0,,0.0,0.425036609172821,0.005138287320733,0.0,0.0,0.0,0.0,0.0,0.0,-0.0967741906642913,-0.2127358764410019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1499581597745418
B,COc1ccc(N2CCN(C(c3cccs3)C(C)NC(=O)C(=O)N3CCCC3)CC2)cc1,val::COc1ccc(N2CCN(C(c3cccs3)C(C)NC(=O)C(=O)N3CCCC3)CC2)cc1__gen0000,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.6398197412490845,0.0001312494277954,0.1791044771671295,0.3940523564815521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.749662825441195,0.2776175662875175,0.0,0.0013897917233407,0.0017121855635195,0.004614230711013,0.0,0.0009448457276448,0.0021882054861634,1.0,1.0,0.0,,0.0,0.4312357902526855,0.0110992034897208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0149253755807876,-0.2584222257137298,0.0,0.0,-0.0454545468091964,0.0,0.0,0.0,0.0,0.0,0.0,-0.1249854788184166
B,COc1ccc(N2CCN(C(c3cccs3)C(C)NC(=O)C(=O)N3CCCC3)CC2)cc1,val::COc1ccc(N2CCN(C(c3cccs3)C(C)NC(=O)C(=O)N3CCCC3)CC2)cc1__gen0001,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.5850430727005005,0.0003175735473632,0.0298507455736398,0.0279812812805175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3578165241477573,0.0368460658937692,0.0,0.004687197972089,0.0052922503091394,0.0096694650128483,0.0,0.0052949259988963,0.0154398679733276,1.0,2.0,0.0,,0.0,0.5191101431846619,0.0087467161938548,0.0,0.0,0.0,0.0,0.0,0.0,-0.1044776197522878,-0.185623750090599,0.0,0.0,-0.0454545468091964,0.0,0.0,0.0,0.0,0.0,0.0,-0.1963381040841341
B,COc1ccc(NC(=O)CCCN2C(=O)C(c3ccccc3)Oc3cccnc32)cc1OC,val::COc1ccc(NC(=O)CCCN2C(=O)C(c3ccccc3)Oc3cccnc32)cc1OC__gen0000,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.0033650398254397,-0.0006850957870483,0.0327868834137916,0.0043673943728208,0.0,0.0,0.0869565233588218,0.0,0.0,0.0,0.0,3.003175619510529,0.1208352553658187,0.0,0.0071824113838374,0.0086267013102769,0.0204617045819759,0.0,0.004187342710793,0.0100964307785034,1.0,3.0,0.0,,0.0,0.4972014129161834,0.0084499409422278,0.0,0.0,0.0,0.0,0.0,0.0,-0.1639344319701194,-0.5582541991025209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435975527510805,-0.3034979817457497
B,COc1ccc(NC(=O)CCCN2C(=O)C(c3ccccc3)Oc3cccnc32)cc1OC,val::COc1ccc(NC(=O)CCCN2C(=O)C(c3ccccc3)Oc3cccnc32)cc1OC__gen0001,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.5562119483947754,0.0013720989227294,0.0163934417068958,0.0046983249485492,0.0,0.0,0.0434782616794109,0.0,0.0,0.0,0.0,2.965048669337847,0.061046284623444,0.0,0.0065949126146733,0.0078448643907904,0.0143310436978936,0.0,0.0036494708620011,0.0079503990709781,1.0,3.0,0.0,,0.0,0.500097393989563,0.0080781364813447,0.0,0.0,0.0,0.0,0.0,0.0,-0.147540982812643,-0.3746079616248607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2411929732188582
B,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)CCC(=O)N3)c(OC)c1,val::COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)CCC(=O)N3)c(OC)c1__gen0000,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.8636590838432312,-0.0011835098266601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.871520573691345,0.0,0.0,0.0079334015026688,0.0097840316593647,0.0273297484964132,0.0,0.0122683700174093,0.0396992564201355,1.0,4.0,0.0,,0.0,0.5051428079605103,0.0062595596536993,0.0,0.0,0.0,0.0,0.0,0.0,-0.072727270424366,-0.3598522841930389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1626903414726257
B,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)CCC(=O)N3)c(OC)c1,val::COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)CCC(=O)N3)c(OC)c1__gen0001,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.187858819961548,0.0002748966217041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.053404479722861,0.0,0.0,0.0052833845838904,0.006370997056365,0.0159307811409235,0.0,0.0062972921878099,0.0172955989837646,1.0,2.0,0.0,,0.0,0.5120863914489746,0.0100963721051812,0.0,0.0,0.0,0.0,0.0,0.0,-0.0909090936183929,-0.2404845654964447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1510302349925041
B,COc1ccc(NC(=O)CSc2nccn2Cc2ccccc2)c(OC)c1,val::COc1ccc(NC(=O)CSc2nccn2Cc2ccccc2)c(OC)c1__gen0000,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.9049261212348938,-0.0013474822044372,0.0,0.0,0.0121951214969158,0.0043483385816216,0.0,0.0,0.0,0.0,0.0,2.811510615637158,0.0132822061423212,0.0,0.0094714006409049,0.010846116580069,0.0218474175781011,0.0,0.0036053494550287,0.00754976272583,1.0,3.0,0.0,,0.0,0.5763263702392578,0.0103373657912015,0.0,0.0,0.0,0.0,0.0,0.0,-0.1000000014901161,-0.3421134054660797,-0.0243902429938316,-0.0356337903067469,0.0,0.0,0.0,0.0,0.0,0.0,-0.0247212468621493,-0.2188270434271544
B,COc1ccc(NC(=O)CSc2nccn2Cc2ccccc2)c(OC)c1,val::COc1ccc(NC(=O)CSc2nccn2Cc2ccccc2)c(OC)c1__gen0001,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.2758324146270752,-0.0004739761352539,0.0,0.0,0.0121951214969158,0.0040756608359515,0.0,0.0,0.0,0.0,0.0,2.9019240813913174,0.0132140367059037,0.0,0.0089445374906063,0.0102598620578646,0.0201396085321903,0.0,0.0028463252820074,0.0058494806289672,1.0,3.0,0.0,,0.0,0.5799316763877869,0.0096693895757198,0.0,0.0,0.0,0.0,0.0,0.0,-0.1000000014901161,-0.3836719095706939,0.0,-0.0263564945198595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2025071025127545
