method,bond_delta,angle_delta,active_angle_delta,clash_delta,ring_delta,rmsd_delta,mat_p_delta,mat_r_delta,cov_p_delta,cov_r_delta,acceptance,rollback,mean_displacement,active_angle_per_displacement
D1,-0.09156972821347154,-0.0023325831134570763,-0.004497660657770074,-8.624567726656096e-11,-0.008831042290694313,0.00041132526985165896,0.0004113229297217913,0.0007191404620243702,0.0,0.0,0.97265625,0.02734375,0.006701364111253216,0.6711559890048969
A,-0.09619866018419998,-0.002385367522492743,-0.004600152081417079,-1.8413146563034388e-09,-0.01042101417624508,0.00016801723359094467,0.00016801799938548356,0.0004041004540340509,0.0,0.0,0.9775390625,0.0224609375,0.005382129235159294,0.854708588446024
B,-0.09441000466176774,-0.0029979796340739995,-0.005717280983600689,0.0,-0.01159740782532026,0.0004064798959007021,0.0004064765671500936,0.0007166422910813708,0.0,0.0,0.974609375,0.025390625,0.007392999982241799,0.7733370752514221
