quadrant,count,median_delta_energy_kcal_mol,improved_fraction,p95,p99,mean_movement_rms_angstrom,mode_switch_fraction
high_BA/Source_high_energy,122,-0.7169817069012138,0.9098360655737705,0.0,0.0,0.00272950819672131,0.0
high_BA/Source_low_energy,16,-0.41323528699220924,0.9375,-0.20722441111515902,-0.0414448822230319,0.0028125000000000016,0.0
low_BA/Source_high_energy,3,-0.5366379890926278,1.0,-0.414772108644834,-0.4039395859383634,0.003000000000000004,0.0
low_BA/Source_low_energy,3,-0.44792835464683006,1.0,-0.34993057860595855,-0.34121966518010327,0.002999999999999983,0.0
