condition,seed,records,mean_delta_energy_kcal_mol,median_delta_energy_kcal_mol,improved_fraction,p90,p95,p99,max_harmful,positive_tail_mean,mean_movement_rms_angstrom,p95_movement_rms_angstrom,accepted_fraction,topology_guard_fraction,chirality_fraction,mode_switch_fraction
A_seed173,173.0,144,-0.3477262071228385,-0.1974463799653725,0.7638888888888888,0.0,0.07513705761783036,0.18692935808859212,0.25773909727509786,0.09990604507151997,0.0025833333333333337,0.003000000000000025,0.8611111111111112,1.0,1.0,0.0
A_seed181,181.0,144,-0.3422101032240852,-0.18346041680621378,0.75,0.00020395608062317427,0.03566590349882856,0.15248805413094324,0.26563434492298077,0.06271090493342363,0.0025624999999999992,0.003000000000000025,0.8541666666666666,1.0,1.0,0.0
A_seed193,193.0,144,-0.35590811444817017,-0.18473103030634153,0.75,0.02219755439418656,0.08140892473573323,0.25022550758207796,0.3487209378800143,0.11376922466340855,0.0026041666666666657,0.003000000000000026,0.8680555555555556,1.0,1.0,0.0
BA_abnormal_seed181,181.0,144,-0.5616886365434456,-0.31893910920313717,0.8680555555555556,0.0,0.0,0.018229247907412215,0.0822967003471532,0.027863440599704442,0.0027083333333333326,0.0030000000000000243,0.9027777777777778,1.0,1.0,0.0
BA_seed173,173.0,144,-0.9360888172488904,-0.6591078177303615,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0026666666666666696,0.0030000000000000304,0.8888888888888888,1.0,1.0,0.0
BA_seed181,181.0,144,-0.9443160910731577,-0.669660943562506,0.9166666666666666,-0.2683777087267258,0.0,0.0,0.0,0.0,0.002749999999999999,0.0030000000000000256,0.9166666666666666,1.0,1.0,0.0
BA_seed193,193.0,144,-0.929261862343449,-0.6515665930485421,0.9027777777777778,-0.1779664967497461,0.0,0.0,0.0,0.0,0.0027083333333333334,0.0030000000000000248,0.9027777777777778,1.0,1.0,0.0
B_seed173,173.0,144,-0.9067251754484951,-0.6413941994825398,0.8819444444444444,0.0,0.0,0.0,0.0034180917950603616,0.0034180917950603616,0.0026666666666666705,0.0030000000000000335,0.8888888888888888,1.0,1.0,0.0
B_seed181,181.0,144,-0.8897261099094982,-0.6407920235132627,0.8819444444444444,0.0,0.0,0.0,0.0013594773138836628,0.0013594773138836628,0.002666666666666669,0.003000000000000029,0.8888888888888888,1.0,1.0,0.0
B_seed193,193.0,144,-0.8770531825223411,-0.6237566959454056,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0026666666666666674,0.003000000000000033,0.8888888888888888,1.0,1.0,0.0
